ligand	receptor	pathway	pair_origin	n_sender	n_receiver	ligand_mean_high	receptor_mean	ligand_frac_high	receptor_frac	cpdb_mean_score_high	product_score	pass_expr_prop_high	cpdb_mean_score_low	pass_expr_prop_low	ligand_frac_low	ligand_mean_low	delta_high_minus_low
PPIA	BSG	other	cellphonedb_v5_interactors	15569	48012	2.363445997238159	0.5142446756362915	0.9574796069111696	0.3252936765808548	1.4388453364372253	1.2153895202336287	True	1.3918058276176453	True	0.9411575769255476	2.269366979598999	0.04703950881958008
CXCL14	CXCR4	T_recruit_partial	cellphonedb_v5_interactors	15569	48012	0.6987977027893066	2.102832078933716	0.31158070524760745	0.7897608931100558	1.4008148908615112	1.4694542261105425	True	1.2693803012371063	True	0.21442795657480568	0.4359285235404968	0.1314345896244049
APP	CD74	other	cellphonedb_v5_interactors	15569	48012	0.8320120573043823	1.7939642667770386	0.699274198728242	0.7701616262601017	1.3129881620407104	1.4925999003317116	True	1.2569313943386078	True	0.6256182951114537	0.719898521900177	0.05605676770210266
HLA-A	CD8A	MHC_I	curated_overlay	15569	48012	2.0061848163604736	0.5014652013778687	0.8473890423277025	0.2376905773556611	1.2538250088691711	1.0060318729374274	True	1.154870629310608	True	0.8080555020235113	1.8082760572433472	0.09895437955856323
HLA-B	CD8A	MHC_I	curated_overlay	15569	48012	1.9099339246749878	0.5014652013778687	0.8722461301303873	0.2376905773556611	1.2056995630264282	0.9577654001555658	True	1.0931605100631714	True	0.8205820003854307	1.6848558187484741	0.11253905296325684
HLA-A	CD8B	MHC_I	curated_overlay	15569	48012	2.0061848163604736	0.4012211561203003	0.8473890423277025	0.1995959343497459	1.203702986240387	0.8049237914111416	True	1.1047486066818237	True	0.8080555020235113	1.8082760572433472	0.09895437955856323
HLA-B	CD8B	MHC_I	curated_overlay	15569	48012	1.9099339246749878	0.4012211561203003	0.8722461301303873	0.1995959343497459	1.155577540397644	0.7663058973714811	True	1.0430384874343872	True	0.8205820003854307	1.6848558187484741	0.11253905296325684
HLA-C	CD8A	MHC_I	curated_overlay	15569	48012	1.7257287502288818	0.5014652013778687	0.8458475175027298	0.2376905773556611	1.1135969758033752	0.8653929152571038	True	1.0203998684883118	True	0.7925097963641036	1.5393345355987549	0.09319710731506348
HLA-C	CD8B	MHC_I	curated_overlay	15569	48012	1.7257287502288818	0.4012211561203003	0.8458475175027298	0.1995959343497459	1.063474953174591	0.6923988843168729	True	0.9702778458595276	True	0.7925097963641036	1.5393345355987549	0.09319710731506348
CD58	CD2	other	cellphonedb_v5_interactors	15569	48012	0.10943789780139923	1.554734230041504	0.18010148371764403	0.7314213113388319	0.8320860639214516	0.17014684577561923	True	0.8185383267700672	True	0.15275904156227918	0.08234242349863052	0.013547737151384354
SEMA4D	PTPRC	other	cellphonedb_v5_interactors	15569	48012	0.05859959125518799	1.3278650045394897	0.10944826257306185	0.6883070898941931	0.6932322978973389	0.07781234650808244	True	0.6917594783008099	True	0.10766364745936918	0.055653952062129974	0.001472819596529007
PTGES3	PTGER4	other	cellphonedb_v5_interactors	15569	48012	0.9715399742126465	0.3421470522880554	0.778277346008093	0.20536532533533283	0.656843513250351	0.33240953835687037	True	0.656575471162796	True	0.7483779790582643	0.9710038900375366	0.00026804208755493164
HLA-E	KLRD1	MHC_I	curated_overlay	15569	48012	0.8530488610267639	0.38501396775245667	0.7042841544094033	0.17695576105973507	0.6190314143896103	0.32843572667062837	True	0.5647501796483994	True	0.645789169396801	0.744486391544342	0.05428123474121094
IGFBP3	TMEM219	other	cellphonedb_v5_interactors	15569	48012	0.8106093406677246	0.4017215073108673	0.46444858372406705	0.267120719820045	0.606165423989296	0.32563920617330666	True	0.47816799581050873	True	0.30429755251493545	0.5546144843101501	0.12799742817878723
PTGES3	PTGER2	other	cellphonedb_v5_interactors	15569	48012	0.9715399742126465	0.1595057100057602	0.778277346008093	0.10370324085645255	0.5655228421092033	0.15496617338576613	True	0.5652548000216484	True	0.7483779790582643	0.9710038900375366	0.00026804208755493164
CD55	ADGRE5	other	cellphonedb_v5_interactors	15569	48012	0.7428856492042542	0.38226115703582764	0.6403108741730361	0.23394151462134466	0.5625734031200409	0.28397632781013016	True	0.5881699621677399	True	0.6161110040470226	0.7940787672996521	-0.025596559047698975
APP	SORL1	other	cellphonedb_v5_interactors	15569	48012	0.8320120573043823	0.24007946252822876	0.699274198728242	0.1591268849454303	0.5360457599163055	0.19974900753464198	True	0.4799889922142029	True	0.6256182951114537	0.719898521900177	0.05605676770210266
CD47	SIRPG	other	cellphonedb_v5_interactors	15569	48012	0.8902121186256409	0.1671549677848816	0.680711670627529	0.1112013663250854	0.5286835432052612	0.1488033780105802	True	0.4594142735004425	True	0.6112931200616689	0.7516735792160034	0.06926926970481873
DHCR24	RORA	other	cellphonedb_v5_interactors	15569	48012	0.4320518374443054	0.5702505111694336	0.47055045282291735	0.3354786303424144	0.5011511743068695	0.2463777811543082	True	0.5463240146636963	True	0.5103745101817948	0.522397518157959	-0.04517284035682678
ICAM1	SPN	other	cellphonedb_v5_interactors	15569	48012	0.6177547574043274	0.3201309144496918	0.5153831331492068	0.2072190285761893	0.4689428359270096	0.19776239539349483	True	0.40942592918872833	True	0.47048243078306673	0.4987209439277649	0.05951690673828125
CDH1	ITGAE+ITGB7	other	cellphonedb_v5_interactors	15569	48012	0.7194934487342834	0.21340720355510712	0.6626629841351404	0.1410272431892027	0.4664503261446953	0.15354508487060325	True	0.38784822076559067	True	0.5629215648487185	0.5622892379760742	0.07860210537910461
CDH1	KLRG1	other	cellphonedb_v5_interactors	15569	48012	0.7194934487342834	0.193137988448143	0.6626629841351404	0.11474214779638424	0.4563157185912132	0.1389615173901566	True	0.3777136132121086	True	0.5629215648487185	0.5622892379760742	0.07860210537910461
ALCAM	CD6	other	cellphonedb_v5_interactors	15569	48012	0.413857638835907	0.47439736127853394	0.44684950863896206	0.29569690910605684	0.44412750005722046	0.19633297180871878	True	0.44652585685253143	True	0.4555791096550395	0.41865435242652893	-0.002398356795310974
CD44	TYROBP	other	cellphonedb_v5_interactors	15569	48012	0.4003581702709198	0.46806392073631287	0.40150298670434836	0.21544613846538366	0.43421104550361633	0.18739321487582306	True	0.47570063173770905	True	0.4424744652148776	0.4833373427391052	-0.04148958623409271
CEACAM5	CD8A	MHC_I_partial	cellphonedb_v5_interactors	15569	48012	0.30930155515670776	0.5014652013778687	0.2726572034170467	0.2376905773556611	0.4053833782672882	0.1551039666431464	True	0.41483795642852783	True	0.2796299865099248	0.328210711479187	-0.009454578161239624
ICAM1	ITGAL	other	cellphonedb_v5_interactors	15569	48012	0.6177547574043274	0.17779541015625	0.5153831331492068	0.11894942930933933	0.3977750837802887	0.1098339604686771	True	0.33825817704200745	True	0.47048243078306673	0.4987209439277649	0.05951690673828125
ICAM1	ITGAL+ITGB2	other	cellphonedb_v5_interactors	15569	48012	0.6177547574043274	0.17779541015625	0.5153831331492068	0.11894942930933933	0.3977750837802887	0.1098339604686771	True	0.33825817704200745	True	0.47048243078306673	0.4987209439277649	0.05951690673828125
SFTPD	ADGRE5	other	cellphonedb_v5_interactors	15569	48012	0.4048113524913788	0.38226115703582764	0.2885220630740574	0.23394151462134466	0.3935362547636032	0.15474365598459272	True	0.4236074686050415	True	0.3008286760454808	0.46495378017425537	-0.030071213841438293
LGALS9	P4HB	other	cellphonedb_v5_interactors	15569	48012	0.20468410849571228	0.516602098941803	0.28132828055751813	0.32798050487378155	0.36064310371875763	0.10574024006891669	True	0.35455668717622757	True	0.2664611036166249	0.19251127541065216	0.00608641654253006
