source	target	weight	confidence
MYC	TERT	1.0	A
SMAD3	JUN	1.0	A
SMAD4	JUN	1.0	A
SP1	ALDOA	1.0	A
TP53	IGF1R	-1.0	A
ZBTB16	CCNA2	-1.0	A
RUNX1	IL3	-1.0	A
STAT1	CDKN1A	1.0	A
STAT3	CDKN1A	1.0	A
RELA	ABCB1	1.0	A
TP53	CDKN1A	1.0	A
TP53	RB1	-1.0	A
E2F1	CDKN1A	1.0	A
E2F3	CDKN1A	1.0	A
YY1	NR3C1	1.0	A
TP53	BCL2	-1.0	A
STAT4	IRF1	1.0	A
WT1	ODC1	1.0	A
IRF3	IFNA1	1.0	A
HNF1A	IGF1	1.0	A
STAT5A	IGF1	1.0	A
ETS1	TIMP1	1.0	A
ARNT	CYP1B1	1.0	A
AHR	CYP1B1	1.0	A
TP53	CCNB1	-1.0	A
STAT5A	CCND1	1.0	A
TP53	MDM2	1.0	A
RBPJ	HES1	1.0	A
ATF2	CCND1	1.0	A
JUN	CCND1	1.0	A
NFATC2	IL4	1.0	A
RARA	SFTPB	1.0	A
HNF4A	GUCY2C	1.0	A
JUN	CDKN1A	1.0	A
JUN	TP53	-1.0	A
STAT3	PRF1	1.0	A
PPARG	SERPINE1	-1.0	A
SP1	FASLG	1.0	A
AR	KLK3	1.0	A
ATF1	CFTR	1.0	A
SP1	GAST	1.0	A
GATA4	NPPA	1.0	A
RARB	RARG	-1.0	A
RARG	RARB	1.0	A
JUN	CCL5	1.0	A
RELA	CD40	1.0	A
RELA	IFNG	1.0	A
ESR2	RARA	1.0	A
ESR1	RARA	1.0	A
PAX6	KRT12	1.0	A
EGR1	LHB	1.0	A
FOS	TP53	1.0	A
TP53	FOS	-1.0	A
SP1	FOS	1.0	A
SP1	EGR1	1.0	A
MYC	ENO1	1.0	A
TP53	CCND1	-1.0	A
CREB1	PCK1	1.0	A
RELA	NOS2	1.0	A
NFKB1	NOS2	1.0	A
ATF4	DDIT3	1.0	A
ATF4	ATF3	1.0	A
ATF3	DDIT3	1.0	A
SMAD4	SERPINE1	1.0	A
SMAD3	SERPINE1	1.0	A
STAT1	IRF8	1.0	A
TP53	S100A2	1.0	A
TP53	BAX	1.0	A
TP53	CCNG1	1.0	A
TP53	GADD45A	1.0	A
STAT4	IFNG	1.0	A
PPARG	LPL	1.0	A
NR5A1	CYP17A1	1.0	A
FOXO3	FASLG	1.0	A
ELK1	SOD1	1.0	A
FLI1	GP9	1.0	A
USF1	FASN	1.0	A
FLI1	ITGA2B	1.0	A
EGR1	ELK1	1.0	A
ELK1	EGR1	1.0	A
POU1F1	PRL	1.0	A
CEBPA	ALB	1.0	A
CREB1	CCND1	1.0	A
STAT1	IFNG	1.0	A
JUN	IL6	1.0	A
HIF1A	EPO	1.0	A
MYC	CDC25A	1.0	A
ARNT	EPO	1.0	A
TP73	MDM2	1.0	A
TP53	TP73	1.0	A
TP73	CDKN1A	1.0	A
E2F4	E2F1	-1.0	A
SP1	CDKN1A	1.0	A
ETS2	IL5	1.0	A
GATA3	IL5	1.0	A
ETS1	IL5	1.0	A
SP1	TGFB1	1.0	A
JUN	OXTR	1.0	A
REL	IL2RA	1.0	A
SP1	LDLR	1.0	A
YY1	LDLR	-1.0	A
CEBPA	PCK1	1.0	A
WT1	CDKN1A	1.0	A
FOS	ERCC1	1.0	A
YY1	CXCR4	-1.0	A
MYC	CXCR4	1.0	A
USF1	CXCR4	1.0	A
NR5A1	LHB	1.0	A
ATF2	TNF	1.0	A
JUN	TNF	1.0	A
LEF1	CCND1	1.0	A
CEBPB	STAR	1.0	A
NR5A1	STAR	1.0	A
SRF	FOS	1.0	A
MYC	CDKN1A	-1.0	A
JUN	IL2	1.0	A
SOX9	MIA	1.0	A
IRF1	IFNA1	1.0	A
IRF1	IRF2	1.0	A
TP53	LITAF	1.0	A
TP53	BTG2	1.0	A
SP3	CDKN1A	1.0	A
TP53	PCNA	1.0	A
STAT1	IFNB1	-1.0	A
ATF2	JUN	1.0	A
EGR1	F3	1.0	A
SRF	EGR1	1.0	A
HNF4A	SERPINA1	1.0	A
JUN	CSF2	1.0	A
NFATC2	CSF2	1.0	A
MEF2A	JUN	1.0	A
RUNX2	MMP13	1.0	A
YBX1	MMP13	-1.0	A
PDX1	INS	1.0	A
HNF1A	HNF4A	1.0	A
HNF4A	HNF1A	1.0	A
HNF1A	INS	1.0	A
RFX1	PCNA	-1.0	A
E2F1	DHFR	1.0	A
WT1	THBS1	1.0	A
SP1	IGFBP4	1.0	A
MYC	TP53	1.0	A
TP53	MYC	-1.0	A
NFKB1	TP53	1.0	A
TP53	RELA	1.0	A
RELA	TP53	1.0	A
FOXO1	IGFBP1	1.0	A
STAT5A	CSN2	1.0	A
AHR	CYP1A1	1.0	A
SP1	PLAU	1.0	A
STAT1	SOCS3	1.0	A
STAT3	SOCS3	1.0	A
POU2F1	IL5	1.0	A
YY1	IL5	1.0	A
RARA	PLAU	1.0	A
LEF1	MMP7	1.0	A
SPI1	BTK	1.0	A
SP1	BTK	1.0	A
SP3	BTK	1.0	A
SP1	SP3	1.0	A
STAT6	IL4	1.0	A
EGR1	PDGFA	1.0	A
JUN	ABCB1	-1.0	A
RELA	CD40LG	1.0	A
CEBPA	SP1	1.0	A
SP1	ODC1	1.0	A
MYC	BRCA1	1.0	A
NR5A1	CYP19A1	1.0	A
MYC	ODC1	1.0	A
MYC	PTMA	1.0	A
MYCN	NDRG1	-1.0	A
MYC	NDRG1	-1.0	A
TP63	CDKN1A	1.0	A
