gene	logFC	AveExpr	t	p	se	df	fdr	compartment	cohort	contrast	n_q1	n_q4	family
FZD5	2.0651080961846384	3.5961859628369344	8.121013883197097	0.0004593725712983664	0.2542919056520123	5	0.4139855665794076	malignant	GSE123902	q4q1_single	4.0	3.0	TJ
TBCD	1.337854503748912	4.067895891440698	6.886746876536116	0.0009881144680581647	0.19426509028626063	5	0.43193771992003577	malignant	GSE123902	q4q1_single	4.0	3.0	TJ
IL15RA	-2.837544235143646	3.2183286717878343	-5.950523618536267	0.0019157701022528197	0.4768562259469926	5	0.438741427596157	malignant	GSE123902	q4q1_single	4.0	3.0	IFN
ARID5B	-1.9881560320526068	5.903678143241954	-5.630039114218336	0.00244971766920399	0.35313360914875963	5	0.4406632174429488	malignant	GSE123902	q4q1_single	4.0	3.0	IFN
EIF4E3	1.1322979408454392	3.37718661906499	5.347450293454082	0.0030705545539228816	0.21174538868206166	5	0.4527187502889006	malignant	GSE123902	q4q1_single	4.0	3.0	IFN
RAB13	-0.8148362834997838	7.3053786178305815	-4.899168799460215	0.004477695729153042	0.16632133262882504	5	0.494693495842692	malignant	GSE123902	q4q1_single	4.0	3.0	TJ
CLDN3	1.887682352072961	6.876479483326628	4.8076739213223965	0.004850748682125801	0.39263943082764985	5	0.5027753094744936	malignant	GSE123902	q4q1_single	4.0	3.0	TJ
CSF2RB	-3.0335459827237146	2.3613538407154246	-4.593234637952959	0.005876314518704168	0.6604378443152336	5	0.5027753094744936	malignant	GSE123902	q4q1_single	4.0	3.0	IFN
B2M	-1.4501263101664965	12.346507182188363	-4.323163328531616	0.007547986182342667	0.3354317660394846	5	0.5027753094744936	malignant	GSE123902	q4q1_single	4.0	3.0	IFN|MHC-I/APM
CFH	-3.0300328386144577	4.120227142375626	-4.18468720598824	0.008615860296609478	0.7240763023526621	5	0.5027753094744936	malignant	GSE123902	q4q1_single	4.0	3.0	IFN
ILDR1	1.4821864472996904	2.2393648925233154	4.150009756143073	0.00890999093378677	0.3571525211731554	5	0.5027753094744936	malignant	GSE123902	q4q1_single	4.0	3.0	TJ
SAMHD1	-1.4058766844919437	4.148502737682365	-4.040947864430261	0.00991345419030812	0.3479076522780529	5	0.5027753094744936	malignant	GSE123902	q4q1_single	4.0	3.0	IFN
ARPC2	-0.9102334390976123	8.217184525791208	-3.8844242910785662	0.01158998805892975	0.23432904618276726	5	0.5027753094744936	malignant	GSE123902	q4q1_single	4.0	3.0	TJ
ELF1	-0.9728092915243676	5.670297769932579	-3.79067591208041	0.012749589712012184	0.2566321453185027	5	0.5027753094744936	malignant	GSE123902	q4q1_single	4.0	3.0	IFN
ZEB1	-3.281590786933327	3.056755894724289	-3.745603335740092	0.01335411616165482	0.876118075723819	5	0.5071003299085002	malignant	GSE123902	q4q1_single	4.0	3.0	TJ
FGL2	-2.3451329777234924	3.112857785136151	-3.7270144296077143	0.013612950623411566	0.6292256233551338	5	0.5071003299085002	malignant	GSE123902	q4q1_single	4.0	3.0	IFN
WAS	-1.8788850725807351	2.578772174582293	-3.694825917261922	0.014074849262379726	0.5085178881642946	5	0.5071003299085002	malignant	GSE123902	q4q1_single	4.0	3.0	TJ
F11R	0.7714996732976008	5.481589868582768	3.662014022721086	0.01456423924019191	0.21067632961283211	5	0.5071003299085002	malignant	GSE123902	q4q1_single	4.0	3.0	TJ
CLDN12	1.2063693207626687	4.127567444288237	3.3134836123150926	0.021159223758921073	0.3640788553409481	5	0.5327026946618616	malignant	GSE123902	q4q1_single	4.0	3.0	TJ
HCLS1	-2.552328675790884	3.964294163772337	-3.3051106930147207	0.02135499667365592	0.7722369726330724	5	0.5327026946618616	malignant	GSE123902	q4q1_single	4.0	3.0	TJ
PRKAB1	1.7936268246074687	4.304474004912403	3.281051066735839	0.021929053133614287	0.5466622701462134	5	0.5327026946618616	malignant	GSE123902	q4q1_single	4.0	3.0	TJ
RAPGEF6	1.3239502916473278	2.6474325424021714	3.235759189046535	0.02305767288112239	0.40916218244209007	5	0.5352513471934747	malignant	GSE123902	q4q1_single	4.0	3.0	IFN|TJ
ERBB2	1.9222608109821018	4.681646042142253	3.179269727596376	0.024558310810333498	0.6046233807395099	5	0.5444001207309737	malignant	GSE123902	q4q1_single	4.0	3.0	TJ
TNFAIP2	-1.220752896096621	4.949582719961569	-3.156105660004913	0.025205245749262056	0.38679088332382405	5	0.5444001207309737	malignant	GSE123902	q4q1_single	4.0	3.0	IFN
OASL	-1.7130917000975838	2.1565366463446662	-3.0938320004825517	0.027041624655209963	0.5537119338834136	5	0.5569485642997138	malignant	GSE123902	q4q1_single	4.0	3.0	IFN
LPAR6	-1.5183282442354908	3.037000585185612	-3.0930247757149543	0.027066396159431894	0.4908878377427573	5	0.5569485642997138	malignant	GSE123902	q4q1_single	4.0	3.0	IFN
EPSTI1	-2.414344712213652	3.7631367909476787	-3.0468259342729214	0.02852748229192422	0.7924130765250949	5	0.5618431057117423	malignant	GSE123902	q4q1_single	4.0	3.0	IFN
MVB12A	-1.1465303934080593	4.869292912091669	-3.046516914940302	0.028537548677716764	0.3763413844135922	5	0.5618431057117423	malignant	GSE123902	q4q1_single	4.0	3.0	IFN
MARVELD2	1.7447539625857438	3.767653841489934	3.0342414075880626	0.028940665466236325	0.5750214726562115	5	0.5618431057117423	malignant	GSE123902	q4q1_single	4.0	3.0	TJ
HLA-C	-1.4847604096385973	10.39734656662913	-2.994024124662406	0.03030672065236576	0.4959079646046649	5	0.5618431057117423	malignant	GSE123902	q4q1_single	4.0	3.0	IFN|MHC-I/APM
HLA-DQA1	-2.350935306557615	6.31649998425806	-2.988780703931996	0.030490082096181894	0.7865867520707555	5	0.5618431057117423	malignant	GSE123902	q4q1_single	4.0	3.0	IFN
NEDD4L	2.499974520500511	5.69724861521925	2.9329344699615985	0.032521882461444086	0.8523799444224349	5	0.5618431057117423	malignant	GSE123902	q4q1_single	4.0	3.0	TJ
RDX	-0.8184028040872853	6.202551217075027	-2.9320154862535497	0.03255655786722964	0.27912635793510704	5	0.5618431057117423	malignant	GSE123902	q4q1_single	4.0	3.0	TJ
IL10RA	-1.683008993746322	3.1289443387992626	-2.914135144310383	0.03323949967064508	0.5775329250025563	5	0.5618431057117423	malignant	GSE123902	q4q1_single	4.0	3.0	IFN
IRF2	-0.4698251313172798	4.823719611855859	-2.8925512018673074	0.03408526485659911	0.16242586510274418	5	0.5618431057117423	malignant	GSE123902	q4q1_single	4.0	3.0	IFN
GBP2	-2.5766311191520193	4.757095747414787	-2.888051996665584	0.03426456948316861	0.8921692276063181	5	0.5618431057117423	malignant	GSE123902	q4q1_single	4.0	3.0	IFN
