gene,spearman_rank,spearman_r,spearman_p,pearson_r,pearson_p,mean_log2_tpm,pct_expressed,spearman_q,pearson_q,pearson_rank
LYPD3,1,0.38884055506815957,5.562309711019698e-18,0.412258310959485,3.217220992534929e-20,2.2582280268668335,100.0,1.4862491547844634e-14,8.596414492053331e-17,1
MSLN,2,0.3794847322702121,3.8956195920173025e-17,0.3737817197287147,1.2378222318307688e-16,5.274755807168298,100.0,5.2045477749351163e-14,1.6537305017259072e-13,2
PTPRU,3,0.35833022783229657,2.535039695374886e-15,0.35586197418642507,4.045334401911274e-15,2.681221584398798,100.0,1.771021174244969e-12,3.6030445073023078e-12,3
PSCA,4,0.3571679132542777,3.16070973452117e-15,0.31881177521745196,2.800664025442298e-12,1.0727108935127196,92.35807860262008,1.771021174244969e-12,8.59127867870099e-10,7
ALPP,5,0.35691768730296153,3.3140366284524122e-15,0.3106920907735753,1.0466565551541855e-11,0.355906193176075,70.3056768558952,1.771021174244969e-12,2.5424239230654396e-09,11
GJB4,6,0.35519948158571757,4.582811957436185e-15,0.35134206045244254,9.420483666860293e-15,2.225521842454869,99.12663755458514,2.0408789250449144e-12,6.292883089462676e-12,4
GJB3,7,0.34734727757945666,1.9663784509730917e-14,0.31824007492776357,3.0771232414142958e-12,5.1520939227860225,100.0,7.505947458571572e-12,8.59127867870099e-10,9
ADAM8,8,0.3267060887838575,7.477629900802721e-13,0.33752497681566795,1.1489684623436504e-13,3.4203905499803797,100.0,2.497528386868109e-10,6.140087462764468e-11,5
GJB5,9,0.32065345863991557,2.0652102106346536e-12,0.31797290169921744,3.215298906699472e-12,2.2128964699950777,96.06986899563319,6.131379647573105e-10,8.59127867870099e-10,10
CHRNB1,10,0.31318715067601105,7.010071584462001e-12,0.30747089600830235,1.7463741778361716e-11,2.6286624332972344,100.0,1.8730911273682464e-09,3.8885931693152086e-09,12
TLR5,11,0.3047771261724189,2.666807854587909e-11,0.3182454115280922,3.074423264292438e-12,1.0381741213491127,100.0,6.477918715871721e-09,8.59127867870099e-10,8
SEMA4A,12,0.30359510235772347,3.206809770685386e-11,0.30398840913374625,3.0162475527131524e-11,2.8095324876844723,100.0,7.1404964227261256e-09,5.372942307233029e-09,15
CALHM2,13,0.29267134855687726,1.695053468259226e-10,0.3024098444271101,3.854884872218195e-11,3.317026011040296,100.0,3.4839868209143476e-08,6.437657736604385e-09,16
VTCN1,14,0.2888514685877306,2.9846530299869134e-10,0.27702042411380307,1.6323239282669254e-09,0.41658078994998077,75.10917030567686,5.696423497232166e-08,2.0769378744424882e-07,21
VSIG2,15,0.28774126807740413,3.5125195183171966e-10,0.283247467323192,6.741386068742567e-10,4.514488350221547,100.0,6.256968101962367e-08,1.0595872691576553e-07,17
RTN4RL1,16,0.283261084277448,6.728199493421832e-10,0.21199689735042232,4.724679144852506e-06,0.8780621029677854,94.32314410480349,1.123609315401446e-07,0.00012567406244243806,92
NRP2,17,0.27356581904131483,2.6409625628937828e-09,0.27941169716660447,1.1653436143822974e-09,2.7450495033835947,100.0,4.1509717459130515e-07,1.645023800870838e-07,18
RHBDL2,18,0.26548033716654273,7.933852430362845e-09,0.26150785618820777,1.3440896752677569e-08,2.8970830908852387,99.78165938864629,1.1157501944173432e-06,1.2826455758269452e-06,28
