panel	family	dropped	dropped_arm	U	p	n_kl_gt_kp	n_kl_lt_kp	n_tie_pairs	cliffs_delta	complete_separation	hits_floor	delta_mean	mean_kl	mean_kp	complete_kl_lower	kl_max	kp_min	n_kl	n_kp	exact_floor_p
HALLMARK_INTERFERON_GAMMA_RESPONSE__2022_1	IFN	KL KLE	KL	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.6337789788181767	2.2937666112226283	2.927545590040805	False	2.600388396552628	2.2560843387447904	4	5	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2023_1	IFN	KP B6AL10-1	KP	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.609780356314912	2.5206152494911067	3.1303956058060187	False	3.128422165379604	2.408176334456605	5	4	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2023_1	IFN	KP B6AL10-2	KP	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.6212798791246503	2.5206152494911067	3.141895128615757	False	3.128422165379604	2.408176334456605	5	4	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2023_1	IFN	KP B6AL10-3	KP	0.0	0.015873015873015872	0	20	0	-1.0	True	False	-0.8525604249434795	2.5206152494911067	3.373175674434586	True	3.128422165379604	3.333298517731922	5	4	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2023_1	IFN	KP B6AL10-4	KP	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.5988938492800346	2.5206152494911067	3.1195090987711414	False	3.128422165379604	2.408176334456605	5	4	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2023_1	IFN	KP B6AL10-5	KP	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.6152882750763395	2.5206152494911067	3.1359035245674463	False	3.128422165379604	2.408176334456605	5	4	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2023_1	IFN	KL KL155	KL	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.5920877358974388	2.588088070541551	3.18017580643899	False	3.128422165379604	2.408176334456605	4	5	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2023_1	IFN	KL KL47	KL	1.0	0.031746031746031744	1	19	0	-0.9	False	False	-0.678346403736263	2.501829402702727	3.18017580643899	False	3.128422165379604	2.408176334456605	4	5	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2023_1	IFN	KL KLC	KL	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.6059127183827147	2.5742630880562754	3.18017580643899	False	3.128422165379604	2.408176334456605	4	5	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2023_1	IFN	KL KLD	KL	1.0	0.031746031746031744	1	19	0	-0.9	False	False	-0.8115122859200077	2.3686635205189823	3.18017580643899	False	2.5957586366446255	2.408176334456605	4	5	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2023_1	IFN	KL KLE	KL	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.6099436408029928	2.570232165635997	3.18017580643899	False	3.128422165379604	2.408176334456605	4	5	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2023_1	IFN	KP B6AL10-1	KP	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.6079708689327257	2.2753774326360583	2.883348301568784	False	2.600388396552628	2.2560843387447904	5	4	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2023_1	IFN	KP B6AL10-2	KP	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.614796561762478	2.2753774326360583	2.8901739943985363	False	2.600388396552628	2.2560843387447904	5	4	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2023_1	IFN	KP B6AL10-3	KP	0.0	0.015873015873015872	0	20	0	-1.0	True	False	-0.8200334702287506	2.2753774326360583	3.095410902864809	True	2.600388396552628	3.0770319726098796	5	4	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2023_1	IFN	KP B6AL10-4	KP	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.6042880479444488	2.2753774326360583	2.879665480580507	False	2.600388396552628	2.2560843387447904	5	4	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2023_1	IFN	KP B6AL10-5	KP	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.6137518381553306	2.2753774326360583	2.889129270791389	False	2.600388396552628	2.2560843387447904	5	4	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2023_1	IFN	KL KL155	KL	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.6108758180291183	2.3166697720116867	2.927545590040805	False	2.600388396552628	2.2560843387447904	4	5	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2023_1	IFN	KL KL47	KL	1.0	0.031746031746031744	1	19	0	-0.9	False	False	-0.6489120841017959	2.278633505939009	2.927545590040805	False	2.600388396552628	2.2560843387447904	4	5	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2023_1	IFN	KL KLC	KL	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.633853007690754	2.293692582350051	2.927545590040805	False	2.600388396552628	2.2560843387447904	4	5	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2023_1	IFN	KL KLD	KL	1.0	0.031746031746031744	1	19	0	-0.9	False	False	-0.7334208983838892	2.1941246916569157	2.927545590040805	False	2.2623531394242535	2.2560843387447904	4	5	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2023_1	IFN	KL KLE	KL	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.6337789788181767	2.2937666112226283	2.927545590040805	False	2.600388396552628	2.2560843387447904	4	5	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2023_2	IFN	KP B6AL10-1	KP	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.609780356314912	2.5206152494911067	3.1303956058060187	False	3.1284221653796034	2.408176334456605	5	4	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2023_2	IFN	KP B6AL10-2	KP	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.6212798791246503	2.5206152494911067	3.141895128615757	False	3.1284221653796034	2.408176334456605	5	4	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2023_2	IFN	KP B6AL10-3	KP	0.0	0.015873015873015872	0	20	0	-1.0	True	False	-0.8525604249434795	2.5206152494911067	3.373175674434586	True	3.1284221653796034	3.3332985177319214	5	4	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2023_2	IFN	KP B6AL10-4	KP	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.5988938492800346	2.5206152494911067	3.1195090987711414	False	3.1284221653796034	2.408176334456605	5	4	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2023_2	IFN	KP B6AL10-5	KP	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.6152882750763395	2.5206152494911067	3.1359035245674463	False	3.1284221653796034	2.408176334456605	5	4	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2023_2	IFN	KL KL155	KL	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.5920877358974388	2.588088070541551	3.18017580643899	False	3.1284221653796034	2.408176334456605	4	5	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2023_2	IFN	KL KL47	KL	1.0	0.031746031746031744	1	19	0	-0.9	False	False	-0.678346403736263	2.501829402702727	3.18017580643899	False	3.1284221653796034	2.408176334456605	4	5	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2023_2	IFN	KL KLC	KL	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.6059127183827147	2.5742630880562754	3.18017580643899	False	3.1284221653796034	2.408176334456605	4	5	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2023_2	IFN	KL KLD	KL	1.0	0.031746031746031744	1	19	0	-0.9	False	False	-0.8115122859200077	2.3686635205189823	3.18017580643899	False	2.5957586366446255	2.408176334456605	4	5	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2023_2	IFN	KL KLE	KL	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.6099436408029923	2.5702321656359977	3.18017580643899	False	3.1284221653796034	2.408176334456605	4	5	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2023_2	IFN	KP B6AL10-1	KP	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.6079708689327261	2.275377432636058	2.883348301568784	False	2.600388396552628	2.2560843387447904	5	4	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2023_2	IFN	KP B6AL10-2	KP	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.6147965617624784	2.275377432636058	2.8901739943985363	False	2.600388396552628	2.2560843387447904	5	4	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2023_2	IFN	KP B6AL10-3	KP	0.0	0.015873015873015872	0	20	0	-1.0	True	False	-0.8200334702287511	2.275377432636058	3.095410902864809	True	2.600388396552628	3.07703197260988	5	4	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2023_2	IFN	KP B6AL10-4	KP	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.6042880479444492	2.275377432636058	2.879665480580507	False	2.600388396552628	2.2560843387447904	5	4	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2023_2	IFN	KP B6AL10-5	KP	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.6137518381553315	2.275377432636058	2.8891292707913894	False	2.600388396552628	2.2560843387447904	5	4	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2023_2	IFN	KL KL155	KL	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.6108758180291183	2.3166697720116867	2.927545590040805	False	2.600388396552628	2.2560843387447904	4	5	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2023_2	IFN	KL KL47	KL	1.0	0.031746031746031744	1	19	0	-0.9	False	False	-0.6489120841017959	2.278633505939009	2.927545590040805	False	2.600388396552628	2.2560843387447904	4	5	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2023_2	IFN	KL KLC	KL	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.633853007690754	2.293692582350051	2.927545590040805	False	2.600388396552628	2.2560843387447904	4	5	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2023_2	IFN	KL KLD	KL	1.0	0.031746031746031744	1	19	0	-0.9	False	False	-0.7334208983838897	2.1941246916569153	2.927545590040805	False	2.2623531394242535	2.2560843387447904	4	5	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2023_2	IFN	KL KLE	KL	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.6337789788181771	2.293766611222628	2.927545590040805	False	2.600388396552628	2.2560843387447904	4	5	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2024_1	IFN	KP B6AL10-1	KP	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.609780356314912	2.5206152494911067	3.1303956058060187	False	3.1284221653796034	2.408176334456605	5	4	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2024_1	IFN	KP B6AL10-2	KP	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.6212798791246503	2.5206152494911067	3.141895128615757	False	3.1284221653796034	2.408176334456605	5	4	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2024_1	IFN	KP B6AL10-3	KP	0.0	0.015873015873015872	0	20	0	-1.0	True	False	-0.8525604249434795	2.5206152494911067	3.373175674434586	True	3.1284221653796034	3.3332985177319214	5	4	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2024_1	IFN	KP B6AL10-4	KP	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.5988938492800346	2.5206152494911067	3.1195090987711414	False	3.1284221653796034	2.408176334456605	5	4	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2024_1	IFN	KP B6AL10-5	KP	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.6152882750763395	2.5206152494911067	3.1359035245674463	False	3.1284221653796034	2.408176334456605	5	4	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2024_1	IFN	KL KL155	KL	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.5920877358974388	2.588088070541551	3.18017580643899	False	3.1284221653796034	2.408176334456605	4	5	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2024_1	IFN	KL KL47	KL	1.0	0.031746031746031744	1	19	0	-0.9	False	False	-0.678346403736263	2.501829402702727	3.18017580643899	False	3.1284221653796034	2.408176334456605	4	5	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2024_1	IFN	KL KLC	KL	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.6059127183827147	2.5742630880562754	3.18017580643899	False	3.1284221653796034	2.408176334456605	4	5	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2024_1	IFN	KL KLD	KL	1.0	0.031746031746031744	1	19	0	-0.9	False	False	-0.8115122859200077	2.3686635205189823	3.18017580643899	False	2.5957586366446255	2.408176334456605	4	5	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2024_1	IFN	KL KLE	KL	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.6099436408029923	2.5702321656359977	3.18017580643899	False	3.1284221653796034	2.408176334456605	4	5	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2024_1	IFN	KP B6AL10-1	KP	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.6079708689327257	2.275377432636058	2.8833483015687835	False	2.600388396552628	2.2560843387447904	5	4	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2024_1	IFN	KP B6AL10-2	KP	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.614796561762478	2.275377432636058	2.890173994398536	False	2.600388396552628	2.2560843387447904	5	4	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2024_1	IFN	KP B6AL10-3	KP	0.0	0.015873015873015872	0	20	0	-1.0	True	False	-0.8200334702287506	2.275377432636058	3.0954109028648085	True	2.600388396552628	3.07703197260988	5	4	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2024_1	IFN	KP B6AL10-4	KP	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.6042880479444492	2.275377432636058	2.879665480580507	False	2.600388396552628	2.2560843387447904	5	4	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2024_1	IFN	KP B6AL10-5	KP	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.6137518381553311	2.275377432636058	2.889129270791389	False	2.600388396552628	2.2560843387447904	5	4	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2024_1	IFN	KL KL155	KL	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.6108758180291183	2.3166697720116867	2.927545590040805	False	2.600388396552628	2.2560843387447904	4	5	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2024_1	IFN	KL KL47	KL	1.0	0.031746031746031744	1	19	0	-0.9	False	False	-0.6489120841017959	2.278633505939009	2.927545590040805	False	2.600388396552628	2.2560843387447904	4	5	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2024_1	IFN	KL KLC	KL	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.633853007690754	2.293692582350051	2.927545590040805	False	2.600388396552628	2.2560843387447904	4	5	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2024_1	IFN	KL KLD	KL	1.0	0.031746031746031744	1	19	0	-0.9	False	False	-0.7334208983838897	2.1941246916569153	2.927545590040805	False	2.2623531394242535	2.2560843387447904	4	5	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2024_1	IFN	KL KLE	KL	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.6337789788181771	2.293766611222628	2.927545590040805	False	2.600388396552628	2.2560843387447904	4	5	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2025_1	IFN	KP B6AL10-1	KP	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.609780356314912	2.5206152494911067	3.1303956058060187	False	3.1284221653796034	2.408176334456605	5	4	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2025_1	IFN	KP B6AL10-2	KP	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.6212798791246503	2.5206152494911067	3.141895128615757	False	3.1284221653796034	2.408176334456605	5	4	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2025_1	IFN	KP B6AL10-3	KP	0.0	0.015873015873015872	0	20	0	-1.0	True	False	-0.8525604249434795	2.5206152494911067	3.373175674434586	True	3.1284221653796034	3.3332985177319214	5	4	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2025_1	IFN	KP B6AL10-4	KP	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.5988938492800346	2.5206152494911067	3.1195090987711414	False	3.1284221653796034	2.408176334456605	5	4	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2025_1	IFN	KP B6AL10-5	KP	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.6152882750763395	2.5206152494911067	3.1359035245674463	False	3.1284221653796034	2.408176334456605	5	4	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2025_1	IFN	KL KL155	KL	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.5920877358974388	2.588088070541551	3.18017580643899	False	3.1284221653796034	2.408176334456605	4	5	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2025_1	IFN	KL KL47	KL	1.0	0.031746031746031744	1	19	0	-0.9	False	False	-0.678346403736263	2.501829402702727	3.18017580643899	False	3.1284221653796034	2.408176334456605	4	5	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2025_1	IFN	KL KLC	KL	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.6059127183827147	2.5742630880562754	3.18017580643899	False	3.1284221653796034	2.408176334456605	4	5	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2025_1	IFN	KL KLD	KL	1.0	0.031746031746031744	1	19	0	-0.9	False	False	-0.8115122859200077	2.3686635205189823	3.18017580643899	False	2.5957586366446255	2.408176334456605	4	5	0.015873015873015872
HALLMARK_INTERFERON_ALPHA_RESPONSE__2025_1	IFN	KL KLE	KL	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.6099436408029923	2.5702321656359977	3.18017580643899	False	3.1284221653796034	2.408176334456605	4	5	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2025_1	IFN	KP B6AL10-1	KP	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.6079708689327257	2.275377432636058	2.8833483015687835	False	2.600388396552628	2.2560843387447904	5	4	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2025_1	IFN	KP B6AL10-2	KP	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.614796561762478	2.275377432636058	2.890173994398536	False	2.600388396552628	2.2560843387447904	5	4	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2025_1	IFN	KP B6AL10-3	KP	0.0	0.015873015873015872	0	20	0	-1.0	True	False	-0.8200334702287506	2.275377432636058	3.0954109028648085	True	2.600388396552628	3.07703197260988	5	4	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2025_1	IFN	KP B6AL10-4	KP	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.6042880479444492	2.275377432636058	2.879665480580507	False	2.600388396552628	2.2560843387447904	5	4	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2025_1	IFN	KP B6AL10-5	KP	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.6137518381553311	2.275377432636058	2.889129270791389	False	2.600388396552628	2.2560843387447904	5	4	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2025_1	IFN	KL KL155	KL	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.6108758180291183	2.3166697720116867	2.927545590040805	False	2.600388396552628	2.2560843387447904	4	5	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2025_1	IFN	KL KL47	KL	1.0	0.031746031746031744	1	19	0	-0.9	False	False	-0.6489120841017959	2.278633505939009	2.927545590040805	False	2.600388396552628	2.2560843387447904	4	5	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2025_1	IFN	KL KLC	KL	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.633853007690754	2.293692582350051	2.927545590040805	False	2.600388396552628	2.2560843387447904	4	5	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2025_1	IFN	KL KLD	KL	1.0	0.031746031746031744	1	19	0	-0.9	False	False	-0.7334208983838897	2.1941246916569153	2.927545590040805	False	2.2623531394242535	2.2560843387447904	4	5	0.015873015873015872
HALLMARK_INTERFERON_GAMMA_RESPONSE__2025_1	IFN	KL KLE	KL	2.0	0.06349206349206349	2	18	0	-0.8	False	False	-0.6337789788181771	2.293766611222628	2.927545590040805	False	2.600388396552628	2.2560843387447904	4	5	0.015873015873015872
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	IFN	KP B6AL10-1	KP	8.0	0.7301587301587302	8	12	0	-0.2	False	False	-0.00989834916703991	2.265820719307211	2.2757190684742508	False	2.366772163577067	2.156120927972099	5	4	0.015873015873015872
REACTOME_INTERFERON_ALPHA_BETA_SIGNALING	IFN	KP B6AL10-2	KP	8.0	0.7301587301587302	8	12	0	-0.2	False	False	-0.013375859649920052	2.265820719307211	2.279196578957131	False	2.366772163577067	2.156120927972099	5	4	0.015873015873015872
