interaction_name	direction	pathway_name	annotation	ligand	receptor	ligand_genes	receptor_genes	ligand_class	n_q1_detected	n_q4_detected	n_compared	n_q1_gse148071	n_q4_gse148071	n_q1_gse205335	n_q4_gse205335	median_prob_q1	median_prob_q4	delta_median	mwu_u	p	r_rb	sig_p05	note
MDK_NCL	outgoing	MK	Secreted Signaling	MDK	NCL	MDK	NCL	other	13	12	25	7	6	6	6	0.5165489481853094	0.77794470677979	0.2613957585944806	129.0	0.006017287005760637	0.6538461538461537	True	1 outgoing pair(s) p<0.05 of 54 detect-gated outgoing rows; Q4/Q1 labels are within-cohort; GSE131907 not included
CD99_CD99	outgoing	CD99	Cell-Cell Contact	CD99	CD99	CD99	CD99	other	12	11	23	6	6	6	5	0.4519316536639786	0.28290611811056693	-0.16902553555341165	34.0	0.05253897729199802	-0.48484848484848486	False	1 outgoing pair(s) p<0.05 of 54 detect-gated outgoing rows; Q4/Q1 labels are within-cohort; GSE131907 not included
JAG1_NOTCH1	outgoing	NOTCH	Cell-Cell Contact	JAG1	NOTCH1	JAG1	NOTCH1	other	3	3	6	0	0	3	3	0.0012173188679381	0.0164918155024537	0.0152744966345156	9.0	0.1	1.0	False	1 outgoing pair(s) p<0.05 of 54 detect-gated outgoing rows; Q4/Q1 labels are within-cohort; GSE131907 not included
LAMA3_CD44	outgoing	LAMININ	ECM-Receptor	LAMA3	CD44	LAMA3	CD44	other	8	3	11	3	1	5	2	0.046511558737152	0.3138252049493156	0.2673136462121636	20.0	0.13333333333333333	0.6666666666666667	False	1 outgoing pair(s) p<0.05 of 54 detect-gated outgoing rows; Q4/Q1 labels are within-cohort; GSE131907 not included
LAMC1_CD44	outgoing	LAMININ	ECM-Receptor	LAMC1	CD44	LAMC1	CD44	other	9	8	17	5	4	4	4	0.0395967031736824	0.09149570087419243	0.05189899770051003	52.0	0.13879062114356233	0.4444444444444444	False	1 outgoing pair(s) p<0.05 of 54 detect-gated outgoing rows; Q4/Q1 labels are within-cohort; GSE131907 not included
MDK_ITGA4_ITGB1	outgoing	MK	Secreted Signaling	MDK	ITGA4_ITGB1	MDK	ITGA4|ITGB1	other	10	7	17	4	3	6	4	0.26273256033422254	0.3619395544473071	0.09920699411308453	50.0	0.16125051419169067	0.4285714285714286	False	1 outgoing pair(s) p<0.05 of 54 detect-gated outgoing rows; Q4/Q1 labels are within-cohort; GSE131907 not included
SPP1_CD44	outgoing	SPP1	Secreted Signaling	SPP1	CD44	SPP1	CD44	other	6	3	9	4	3	2	0	0.5847647482464363	0.08876600693937983	-0.49599874130705646	3.0	0.16666666666666666	-0.6666666666666667	False	1 outgoing pair(s) p<0.05 of 54 detect-gated outgoing rows; Q4/Q1 labels are within-cohort; GSE131907 not included
HLA-E_KLRK1	outgoing	MHC-I	Cell-Cell Contact	HLA-E	KLRK1	HLA-E	KLRK1	inhibitory	6	4	10	0	0	6	4	0.40565600442463423	0.16790767785084715	-0.23774832657378708	5.0	0.17142857142857143	-0.5833333333333333	False	1 outgoing pair(s) p<0.05 of 54 detect-gated outgoing rows; Q4/Q1 labels are within-cohort; GSE131907 not included
ICAM1_SPN	outgoing	ICAM	Cell-Cell Contact	ICAM1	SPN	ICAM1	SPN	other	11	5	16	5	3	6	2	0.06386568648505517	0.1414173637149591	0.07755167722990394	40.0	0.18040293040293043	0.4545454545454546	False	1 outgoing pair(s) p<0.05 of 54 detect-gated outgoing rows; Q4/Q1 labels are within-cohort; GSE131907 not included
LAMB2_CD44	outgoing	LAMININ	ECM-Receptor	LAMB2	CD44	LAMB2	CD44	other	4	4	8	1	2	3	2	0.0218452611134401	0.06843220136642794	0.046586940252987846	13.0	0.2	0.625	False	1 outgoing pair(s) p<0.05 of 54 detect-gated outgoing rows; Q4/Q1 labels are within-cohort; GSE131907 not included
FN1_ITGA4_ITGB7	outgoing	FN1	ECM-Receptor	FN1	ITGA4_ITGB7	FN1	ITGA4|ITGB7	other	3	3	6	1	0	2	3	0.0294203377202355	0.0059218567385743	-0.0234984809816612	1.0	0.2	-0.7777777777777778	False	1 outgoing pair(s) p<0.05 of 54 detect-gated outgoing rows; Q4/Q1 labels are within-cohort; GSE131907 not included
