cohort	patient	n_total	n_epithelial	n_mal_high	n_mal_low	n_TNK	n_T	n_CXCL13pos_T	cldn4_median	mean_CLDN4_epithelial	eligible_TNK	eligible_CXCL13T	gate
GSE148071	P1	5317	3347	1673	1674	147	127	49	1.2682898044586182	1.2112348079681396	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P2	306	268	134	134	1	1	0	2.0994861125946045	2.051734447479248	False	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P3	7835	7107	3553	3554	17	13	6	0.6076167821884155	0.9819597601890564	True	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P4	4558	112	29	83	304	269	72	0.0	0.48664361238479614	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P5	2454	1456	728	728	36	30	5	1.152811050415039	1.0497490167617798	True	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P6	3119	2273	1136	1137	88	68	22	2.306661605834961	2.016552448272705	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P7	3059	240	120	120	1060	970	365	0.787925124168396	0.9905403256416321	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P8	1342	422	211	211	66	65	11	2.0462141036987305	1.9458234310150146	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P9	3520	2126	1063	1063	62	52	15	1.5411723852157593	1.4679841995239258	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P10	3740	2533	1266	1267	70	53	7	1.11721932888031	1.1124194860458374	True	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P11	574	106	3	103	46	39	9	0.0	0.034721460193395615	False	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P12	891	288	144	144	46	29	6	1.8824952840805054	1.7519652843475342	True	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P13	938	165	82	83	90	83	13	1.8601895570755005	1.691848635673523	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P14	1808	690	241	449	31	27	6	0.0	0.5735201835632324	True	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P15	3606	2053	1026	1027	17	15	0	1.5250084400177002	1.295992136001587	True	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P16	1148	940	470	470	0	0	0	1.9215352535247803	1.729628562927246	False	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P17	8700	7322	3572	3750	0	0	0	0.0	0.6989845037460327	False	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P18	3314	1892	946	946	88	71	19	1.4759647846221924	1.310255765914917	True	True	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P19	453	173	86	87	48	28	0	1.657520055770874	1.6047793626785278	True	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P20	429	398	199	199	0	0	0	2.2758476734161377	2.137148141860962	False	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
GSE148071	P21	1968	1788	894	894	12	10	2	1.4677064418792725	1.3813295364379883	False	False	within-patient median CLDN4 log1p(CP10k); CLDN4-only
