term	es	nes	nom_p	n_set_in_rank	mean_stat	lead_genes	n_lead	fdr	rank_pos_all	rank_pos_barrier	is_barrier	cohort	universe
CUSTOM_EPITHELIAL_ADHESION	0.8310797707429312	2.7648189710720974	0.000999000999000999	22	3.905537810740553	CLDN4,CDH1,CGN,F11R,OCLN,CLDN3,CLDN1,NECTIN4,EPCAM,MARVELD2,CTNNA1,DSG2,CLDN7,JUP,TJP3	15	0.00333000333000333	1.0	1.0	True	GSE31210_LUAD	context
HALLMARK_GLYCOLYSIS	0.49312263599136674	2.4654223018718686	0.000999000999000999	196	0.9855681739770739	MET,SDC1,CLDN3,ENO1,BPNT1,P4HA2,GUSB,EGFR,ADORA2B,GPR87,SOD1,SLC35A3,PHKA2,AGRN,SRD5A3,B3GNT3,CASP6,NT5E,TALDO1,COG2,AKR1A1,CTH,NSDHL,IDH1,NOL3	71	0.00333000333000333	2.0		False	GSE31210_LUAD	context
KRT_EPITHELIAL	0.6937559854616041	2.0723436770532424	0.000999000999000999	17	1.7151822500874874	KRT19,KRT7,KRT18,KRT8,KRT10,KRT16,KRT4,KRT15,KRT6B,KRT17,KRT13,KRT6A,KRT6C	13	0.00333000333000333	3.0	2.0	True	GSE31210_LUAD	context
KEGG_TIGHT_JUNCTION	0.4037170537639177	1.99000662308878	0.000999000999000999	160	0.6404944199934133	CLDN4,CGN,F11R,OCLN,EZR,CLDN3,CTTN,CLDN1,ERBB2,LLGL2,MARVELD2,AMOT,CRB3,MARVELD3,MYH14,PATJ,CDC42,RAC1,CLDN23,EPB41L4B,MICALL2,PARD6B,AFDN,CLDN7,DLG3	54	0.00333000333000333	4.0	3.0	True	GSE31210_LUAD	context
GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	0.6342395938960297	1.9852312240435082	0.000999000999000999	18	2.0990826704537886	CLDN4,MET,KDF1,CLDN1,SFN,LSR,FA2H,TMEM79,ALOX12B,KRT16	10	0.00333000333000333	5.0	4.0	True	GSE31210_LUAD	context
HALLMARK_PROTEIN_SECRETION	0.42830815643132275	1.9425805685882311	0.000999000999000999	95	0.6692917615132962	ATP1A1,TOM1L1,EGFR,RPS6KA3,SOD1,KRT18,LAMP2,AP1G1,SCRN1,PPT1,COG2,TSG101,RER1,RAB9A,ARFGEF1,ATP7A,CLTC,VAMP3,CAV2,ICA1,YIPF6,ARFIP1,SGMS1,PAM,VAMP7	35	0.00333000333000333	6.0		False	GSE31210_LUAD	context
HALLMARK_PEROXISOME	0.4239329387399125	1.9246399334213833	0.000999000999000999	101	0.6018554878687989	PRDX5,SCP2,PEX11B,ACOT8,MVP,SOD1,HMGCL,PRDX1,ABCD3,PEX6,DHRS3,ACOX1,PEX11A,IDH1,CTBP1,DHCR24,BCL10,SULT2B1,PABPC1,TSPO,STS,FIS1,PEX13,ECH1,RETSAT	36	0.00333000333000333	7.0		False	GSE31210_LUAD	context
GOBP_KERATINIZATION	0.4725549013739329	1.9099558292212226	0.001998001998001998	56	0.9196495719342417	PPL,EVPL,KRT7,SFN,KRT80,IVL,CDH3,SHARPIN,KRT73,ABCA12,TMEM79,KRT16,CASP14,KRT4,KLK5,SPRR1B,SPRR1A,SPRR3,KRT6B,KRT81,CNFN,KRT17,KRT6A,KRT75,KRT71	28	0.004995004995004995	8.0	5.0	True	GSE31210_LUAD	context
GOBP_TIGHT_JUNCTION_ASSEMBLY	0.484040811084152	1.9058063438007082	0.000999000999000999	47	1.0323789500468334	CLDN4,OCLN,ILDR1,CLDN3,CLDN1,MARVELD2,MARVELD3,GRHL2,PATJ,CLDN23,MICALL2,CLDN7,LSR,STRN,POF1B,PARD3,CLDN12,PDCD6IP,CLDN16,CLDN9	20	0.00333000333000333	9.0	6.0	True	GSE31210_LUAD	context
GOBP_EPIDERMAL_CELL_DIFFERENTIATION	0.45973036869462164	1.8244503529435239	0.000999000999000999	52	0.781114787376467	EVPL,OVOL2,ST14,SCEL,IVL,POU2F3,EPHA2,ADAM9,BCR,ANXA1,WNT5A,OVOL1,KRT10,OPN3,CTNNB1,KRT16,HDAC1,SPRR1B,CFLAR,PPP3CA,SPRR1A,SPRR3,ASAH1	23	0.00333000333000333	10.0	7.0	True	GSE31210_LUAD	context
