gene,spearman_rank,spearman_r,spearman_p,pearson_r,pearson_p,mean_log2_expr,pct_expressed,spearman_q,pearson_q,pearson_rank
EFNA1,1,0.42884745155965065,2.6585057719037297e-50,0.39426851320175427,4.095090412270162e-42,11.24045551504104,100.0,6.959968110843964e-47,5.360473349661642e-39,2
PVRL4,2,0.3507400627950469,4.184149817186672e-33,0.4048121489259106,1.648064544898196e-44,10.475256426618053,100.0,4.856334695490682e-30,4.3146329785434774e-41,1
EFNA4,3,0.3500922596372104,5.564936625848757e-33,0.3481694087066937,1.292364272853807e-32,8.720874567000907,100.0,4.856334695490682e-30,6.766819332662533e-30,5
CLDN4,4,0.34755119623109015,1.6923594621890467e-32,0.38610344261775476,2.561143950029653e-40,12.193443938012743,100.0,1.107649268002731e-29,2.235024953725877e-37,3
TM4SF1,5,0.3408421597612667,3.038049317311328e-31,0.32486093942479505,2.229341434152902e-28,11.834632543299902,100.0,1.5907226225442113e-28,5.836415874612297e-26,10
MPZL2,6,0.34023296010052767,3.9351142000953493e-31,0.3474547539119705,1.7649726525819013e-32,8.839830446672751,100.0,1.6929636558329428e-28,7.701164007432362e-30,6
EPHA2,7,0.3399026493508806,4.526640790997173e-31,0.27404105660532485,2.38149246913668e-20,8.030187146763904,100.0,1.6929636558329428e-28,2.1499128566206303e-18,28
ITGB4,8,0.32826198669107837,5.655925361810658e-29,0.341228323977363,2.5777435343911027e-31,10.97224284412033,100.0,1.8509015746525377e-26,9.640760818622724e-29,7
CD151,9,0.32543629820364184,1.7698580178175926e-28,0.31683604242015867,5.294649133761214e-27,12.500672105742938,100.0,5.148320322940508e-26,1.2601264938351688e-24,11
SLC5A1,10,0.32157239406639143,8.259617198616956e-28,0.3031379134039822,9.479643203842785e-25,6.078664630811306,97.62989972652689,2.1623677825979192e-25,1.5511066192287757e-22,16
MUC16,11,0.32056353527959497,1.2303892189237496e-27,0.3053754111120167,4.1389228943540115e-25,5.54853673655424,97.72105742935278,2.928326341038524e-25,7.739785812442002e-23,14
GPR87,12,0.3197837781957992,1.6725082055136343e-27,0.30018654796949257,2.7972951995997506e-24,3.8093616226071103,96.718322698268,3.648855401695579e-25,4.307834607383616e-22,17
FOLR1,13,0.31626674991394854,6.604620692074132e-27,0.2915538984436707,6.170877774345207e-23,4.791733181403818,94.71285323609845,1.3300689978346214e-24,7.343344551470796e-21,21
RHBDL2,14,0.313164876253031,2.1843818163828748e-26,0.3070590007550719,2.208043695896473e-25,6.070287784867821,100.0,4.084793996635976e-24,4.4466603045053586e-23,13
ABCA4,15,0.3083818273181741,1.3438436043206778e-25,0.29834364303095845,5.46306265040065e-24,4.826508386508661,99.54421148587056,2.3454550374076894e-23,7.527525273025738e-22,18
VSIG2,16,0.3077431136818771,1.70850134182143e-25,0.28542848164694784,5.200430016776595e-22,4.261041385597085,97.35642661804923,2.795535320555315e-23,5.672802409967135e-20,23
PCDHGC3,17,0.3055833656432017,3.830699655129241e-25,0.2642170920536687,5.595830079547226e-19,10.524374111212396,100.0,5.899277468899031e-23,4.439358529774132e-17,32
DUOXA1,18,0.30402084554151115,6.841411859871537e-25,0.28184999411201817,1.7632666566218108e-21,3.4945969006381024,97.44758432087511,9.950453471746489e-23,1.7097155951984818e-19,26
DSG3,19,0.3027282072270308,1.1024384939251173e-24,0.2969196592718994,9.132984294927725e-24,5.6955116681859606,94.07474931631722,1.5190441984715564e-22,1.1955076442060392e-21,19
CLDN3,20,0.3001698978552858,2.8143241095723354e-24,0.29100835023298777,7.476851853136768e-23,10.040335551504114,100.0,3.683950259430187e-22,8.510607891961764e-21,22
KCNS1,21,0.2993057515204174,3.854225596030683e-24,0.22834478443821743,1.9219093246584005e-14,2.651723062898821,94.98632634457613,4.804934576384917e-22,8.115417116057568e-13,60
SLC10A3,22,0.29854067080427243,5.086953802744486e-24,0.25597616194144873,7.154443378634428e-18,9.26351659070192,100.0,6.053475025265938e-22,4.929034938227614e-16,37
CADM4,23,0.2947012156513338,2.022124505288439e-23,0.24210359235114526,4.2637200739218214e-16,9.469099908842297,100.0,2.3017051977587536e-21,2.278044725209659e-14,47
PRSS8,24,0.29406425386358515,2.5372351798578094e-23,0.35412427146424075,9.329506658689216e-34,11.893755059252506,100.0,2.7677007086948934e-21,6.1061621081120915e-31,4
GABRP,25,0.29295627081427866,3.760085968992716e-23,0.27322985047344356,3.1060709016052444e-20,7.862885597082951,99.81768459434822,3.937562026729172e-21,2.710564540134177e-18,29
FAT2,26,0.29143510091214814,6.434537383788904e-23,0.2633625251529719,7.319073912440868e-19,6.214842844120322,99.72652689152234,6.479084181061289e-21,5.635686912579468e-17,33
MUC15,27,0.29027620450989666,9.667655046824859e-23,0.2650986025151869,4.2379067726581337e-19,4.61640127620784,91.06654512306291,9.374044782439808e-21,3.4671374783809356e-17,31
MUC1,28,0.2885497511449787,1.7668262464002475e-22,0.33868225599229757,7.5830501126151626e-31,12.619275022789417,100.0,1.6519825403842313e-20,2.2058250216473886e-28,9
DLK2,29,0.28779000511647884,2.3006966408539947e-22,0.21734421133115653,3.3977033809281306e-13,3.122945670009118,97.53874202370099,2.076973726122675e-20,1.1259730950974488e-11,76
SLC34A2,30,0.286856801920738,3.1785166004483555e-22,0.28310018761247085,1.1532795818506575e-21,6.66420410209662,97.44758432087511,2.773785486657932e-20,1.1612638251096236e-19,25
ANPEP,31,0.28484899242607437,6.345048739548258e-22,0.2565309289822653,6.043712896148685e-18,9.696380401093888,100.0,5.358496000044303e-20,4.276335233004664e-16,36
SLC6A14,32,0.28098359307527493,2.3634549857776278e-21,0.25783864634851406,4.054004009661367e-18,4.537165086599813,91.61349134001823,1.9336016102393216e-19,2.9481618048037386e-16,35
SLC44A3,33,0.28071864069243435,2.584432393101026e-21,0.25053250674531247,3.6661457040997514e-17,7.737631449407463,100.0,1.99001294268779e-19,2.3409681593495485e-15,40
DSC3,34,0.2782040438080564,6.007360921335338e-21,0.2812648019193961,2.149323212937387e-21,6.648236918869652,99.08842297174111,4.493505969158833e-19,2.009617204096457e-19,27
DUOX2,35,0.2762817841086662,1.138064992339617e-20,0.24814001152255422,7.425955289167753e-17,2.9975753874202318,98.54147675478579,8.052578783635453e-19,4.628845463581232e-15,41
VTCN1,36,0.2758272122787405,1.322708711391e-20,0.3132790704288337,2.090802999128659e-26,9.98836289881495,100.0,9.11276685900431e-19,4.561435209765692e-24,12
SLC39A2,37,0.2756032456876879,1.4242650933555592e-20,0.2946760407054921,2.04036459124704e-23,2.9460705560619815,95.16864175022789,9.56083593437142e-19,2.543654523754643e-21,20
SVOPL,38,0.2746396939037051,1.9564408070940812e-20,0.2852555330701579,5.518808210621678e-22,3.065669644484957,92.7073837739289,1.2804905082430761e-18,5.779295958163021e-20,24
AQP5,39,0.2734797572043974,2.862288934086314e-20,0.20798091890160658,3.4786611272918637e-12,4.401356608933452,94.3482224247949,1.827676202301944e-18,9.792618098118387e-11,86
TMPRSS13,40,0.27270713124594254,3.6841846154964175e-20,0.33982493684131376,4.678150670190656e-31,8.446843117593426,100.0,2.296475076992767e-18,1.5309248068198923e-28,8
TTYH1,41,0.269585061336666,1.0133152014872255e-19,0.21724232700426363,3.4868378783672244e-13,4.719766453965367,99.72652689152234,6.1694399941710615e-18,1.1410676956956741e-11,77
