stratum	score	n_requested	n_used	used	missing
chan_nsclc_label_in_sclc	HALLMARK_DNA_REPAIR	150	148	POLR2H,POLR2A,POLR2G,POLR2E,POLR2J,POLR2F,POLR2C,POLR2K,GTF2H3,POLR2D,ERCC3,DDB2,POLR1C,XPC,PCNA,POLR2I,SUPT4H1,POLD3,POLR3GL,POLR3C,GTF2B,POLR1D,NCBP2,NELFE,GTF2F1,ERCC5,LIG1,ERCC1,ERCC4,POLD4,NELFB,RFC2,ELL,TAF10,RRM2B,SUPT5H,RPA3,SNAPC5,SSRP1,RFC3,RPA2,ELOA,TAF12,NELFCD,TAF13,TAF6,TAF9,GTF2A2,VPS37D,NME1,RNMT,ERCC2,POLE4,VPS37B,NT5C3A,SNAPC4,AAAS,RFC4,ITPA,POM121,BRF2,RFC5,SAC3D1,CLP1,NME4,PRIM1,VPS28,TSG101,USP11,TAF1C,TARBP2,POLH,CETN2,POLD1,CANT1,PDE4B,DGCR8,RAD51,SURF1,PNP,ADA,NME3,GTF3C5,NT5C,AK1,GTF2H1,HCLS1,APRT,ERCC8,IMPDH2,POLB,SDCBP,SF3A3,DAD1,UPF3B,GUK1,TP53,ADRM1,SEC61A1,POLA2,FEN1,ZNF707,NUDT9,PDE6G,TYMS,BCAP31,DDB1,NFX1,RAD52,ADCY6,ARL6IP1,DGUOK,POLL,SMAD5,MPG,DUT,POLA1,AGO4,RALA,ZWINT,BCAM,TK2,CSTF3,GTF2H5,HPRT1,BOLA2,GPX4,MPC2,CDA,ALYREF,NPR2,REV3L,EDF1,GSDME,TMED2,STX3,RAE1,UMPS,EIF1B,AK3,NUDT21,RBX1,SRSF6,GMPR2,DCTN4,COX17,CMPK2,CCNO	ZNRD1,MRPL40
chan_nsclc_label_in_sclc	REACTOME_STING	16	15	CGAS,DDX41,DTX4,IFI16,IRF3,MRE11,NLRC3,NLRP4,PRKDC,STAT6,STING1,TBK1,TRIM21,XRCC5,XRCC6	TREX1
chan_nsclc_label_in_sclc	DDR_DSB	24	24	ATM,ATR,CHEK1,CHEK2,H2AX,TP53BP1,BRCA1,BRCA2,RAD51,MDC1,RPA1,RPA2,XRCC5,XRCC6,PARP1,PRKDC,MRE11,RAD50,NBN,FANCD2,TIMELESS,CLSPN,TOPBP1,RAD51AP1	
chan_nsclc_label_in_sclc	STING_SENSOR	6	6	CGAS,STING1,TBK1,IKBKE,IRF3,IRF7	
chan_nsclc_label_in_sclc	STING_ISG	14	14	ISG15,IFIT1,IFIT2,IFIT3,MX1,MX2,OAS1,OAS2,OAS3,CXCL10,CCL5,IFI44,IFI44L,RSAD2	
chan_nsclc_label_in_sclc	PROLIF	10	10	MKI67,TOP2A,PCNA,MCM2,MCM4,MCM6,CDK1,CCNB1,BIRC5,TYMS	
chan_normal_epithelial	HALLMARK_DNA_REPAIR	150	148	POLR2H,POLR2A,POLR2G,POLR2E,POLR2J,POLR2F,POLR2C,POLR2K,GTF2H3,POLR2D,ERCC3,DDB2,POLR1C,XPC,PCNA,POLR2I,SUPT4H1,POLD3,POLR3GL,POLR3C,GTF2B,POLR1D,NCBP2,NELFE,GTF2F1,ERCC5,LIG1,ERCC1,ERCC4,POLD4,NELFB,RFC2,ELL,TAF10,RRM2B,SUPT5H,RPA3,SNAPC5,SSRP1,RFC3,RPA2,ELOA,TAF12,NELFCD,TAF13,TAF6,TAF9,GTF2A2,VPS37D,NME1,RNMT,ERCC2,POLE4,VPS37B,NT5C3A,SNAPC4,AAAS,RFC4,ITPA,POM121,BRF2,RFC5,SAC3D1,CLP1,NME4,PRIM1,VPS28,TSG101,USP11,TAF1C,TARBP2,POLH,CETN2,POLD1,CANT1,PDE4B,DGCR8,RAD51,SURF1,PNP,ADA,NME3,GTF3C5,NT5C,AK1,GTF2H1,HCLS1,APRT,ERCC8,IMPDH2,POLB,SDCBP,SF3A3,DAD1,UPF3B,GUK1,TP53,ADRM1,SEC61A1,POLA2,FEN1,ZNF707,NUDT9,PDE6G,TYMS,BCAP31,DDB1,NFX1,RAD52,ADCY6,ARL6IP1,DGUOK,POLL,SMAD5,MPG,DUT,POLA1,AGO4,RALA,ZWINT,BCAM,TK2,CSTF3,GTF2H5,HPRT1,BOLA2,GPX4,MPC2,CDA,ALYREF,NPR2,REV3L,EDF1,GSDME,TMED2,STX3,RAE1,UMPS,EIF1B,AK3,NUDT21,RBX1,SRSF6,GMPR2,DCTN4,COX17,CMPK2,CCNO	ZNRD1,MRPL40
chan_normal_epithelial	REACTOME_STING	16	15	CGAS,DDX41,DTX4,IFI16,IRF3,MRE11,NLRC3,NLRP4,PRKDC,STAT6,STING1,TBK1,TRIM21,XRCC5,XRCC6	TREX1
chan_normal_epithelial	DDR_DSB	24	24	ATM,ATR,CHEK1,CHEK2,H2AX,TP53BP1,BRCA1,BRCA2,RAD51,MDC1,RPA1,RPA2,XRCC5,XRCC6,PARP1,PRKDC,MRE11,RAD50,NBN,FANCD2,TIMELESS,CLSPN,TOPBP1,RAD51AP1	
chan_normal_epithelial	STING_SENSOR	6	6	CGAS,STING1,TBK1,IKBKE,IRF3,IRF7	
chan_normal_epithelial	STING_ISG	14	14	ISG15,IFIT1,IFIT2,IFIT3,MX1,MX2,OAS1,OAS2,OAS3,CXCL10,CCL5,IFI44,IFI44L,RSAD2	
chan_normal_epithelial	PROLIF	10	10	MKI67,TOP2A,PCNA,MCM2,MCM4,MCM6,CDK1,CCNB1,BIRC5,TYMS	
glasner_luad_epithelium	HALLMARK_DNA_REPAIR	150	149	POLR2H,POLR2A,POLR2G,POLR2E,POLR2J,POLR2F,POLR2C,POLR2K,GTF2H3,POLR2D,ERCC3,DDB2,POLR1C,XPC,PCNA,POLR2I,SUPT4H1,POLD3,POLR3GL,POLR3C,GTF2B,POLR1D,NCBP2,NELFE,GTF2F1,ERCC5,LIG1,ERCC1,ERCC4,POLD4,NELFB,RFC2,ELL,TAF10,RRM2B,SUPT5H,RPA3,SNAPC5,SSRP1,RFC3,RPA2,ELOA,TAF12,NELFCD,TAF13,TAF6,TAF9,GTF2A2,VPS37D,NME1,RNMT,ERCC2,POLE4,VPS37B,NT5C3A,SNAPC4,AAAS,RFC4,ITPA,POM121,BRF2,RFC5,SAC3D1,CLP1,NME4,PRIM1,VPS28,TSG101,USP11,TAF1C,TARBP2,POLH,CETN2,POLD1,CANT1,PDE4B,DGCR8,RAD51,SURF1,PNP,ADA,NME3,GTF3C5,NT5C,AK1,GTF2H1,HCLS1,APRT,ERCC8,IMPDH2,POLB,SDCBP,SF3A3,DAD1,UPF3B,GUK1,TP53,ADRM1,SEC61A1,POLA2,FEN1,ZNF707,NUDT9,PDE6G,TYMS,BCAP31,DDB1,NFX1,RAD52,ADCY6,ARL6IP1,DGUOK,POLL,SMAD5,MPG,DUT,POLA1,AGO4,RALA,ZWINT,BCAM,TK2,CSTF3,GTF2H5,HPRT1,BOLA2,GPX4,MPC2,CDA,ALYREF,MRPL40,NPR2,REV3L,EDF1,GSDME,TMED2,STX3,RAE1,UMPS,EIF1B,AK3,NUDT21,RBX1,SRSF6,GMPR2,DCTN4,COX17,CMPK2,CCNO	ZNRD1
glasner_luad_epithelium	REACTOME_STING	16	15	CGAS,DDX41,DTX4,IFI16,IRF3,MRE11,NLRC3,NLRP4,PRKDC,STAT6,STING1,TBK1,TRIM21,XRCC5,XRCC6	TREX1
glasner_luad_epithelium	DDR_DSB	24	24	ATM,ATR,CHEK1,CHEK2,H2AX,TP53BP1,BRCA1,BRCA2,RAD51,MDC1,RPA1,RPA2,XRCC5,XRCC6,PARP1,PRKDC,MRE11,RAD50,NBN,FANCD2,TIMELESS,CLSPN,TOPBP1,RAD51AP1	
glasner_luad_epithelium	STING_SENSOR	6	6	CGAS,STING1,TBK1,IKBKE,IRF3,IRF7	
glasner_luad_epithelium	STING_ISG	14	14	ISG15,IFIT1,IFIT2,IFIT3,MX1,MX2,OAS1,OAS2,OAS3,CXCL10,CCL5,IFI44,IFI44L,RSAD2	
glasner_luad_epithelium	PROLIF	10	10	MKI67,TOP2A,PCNA,MCM2,MCM4,MCM6,CDK1,CCNB1,BIRC5,TYMS	
glasner_met_epithelium	HALLMARK_DNA_REPAIR	150	149	POLR2H,POLR2A,POLR2G,POLR2E,POLR2J,POLR2F,POLR2C,POLR2K,GTF2H3,POLR2D,ERCC3,DDB2,POLR1C,XPC,PCNA,POLR2I,SUPT4H1,POLD3,POLR3GL,POLR3C,GTF2B,POLR1D,NCBP2,NELFE,GTF2F1,ERCC5,LIG1,ERCC1,ERCC4,POLD4,NELFB,RFC2,ELL,TAF10,RRM2B,SUPT5H,RPA3,SNAPC5,SSRP1,RFC3,RPA2,ELOA,TAF12,NELFCD,TAF13,TAF6,TAF9,GTF2A2,VPS37D,NME1,RNMT,ERCC2,POLE4,VPS37B,NT5C3A,SNAPC4,AAAS,RFC4,ITPA,POM121,BRF2,RFC5,SAC3D1,CLP1,NME4,PRIM1,VPS28,TSG101,USP11,TAF1C,TARBP2,POLH,CETN2,POLD1,CANT1,PDE4B,DGCR8,RAD51,SURF1,PNP,ADA,NME3,GTF3C5,NT5C,AK1,GTF2H1,HCLS1,APRT,ERCC8,IMPDH2,POLB,SDCBP,SF3A3,DAD1,UPF3B,GUK1,TP53,ADRM1,SEC61A1,POLA2,FEN1,ZNF707,NUDT9,PDE6G,TYMS,BCAP31,DDB1,NFX1,RAD52,ADCY6,ARL6IP1,DGUOK,POLL,SMAD5,MPG,DUT,POLA1,AGO4,RALA,ZWINT,BCAM,TK2,CSTF3,GTF2H5,HPRT1,BOLA2,GPX4,MPC2,CDA,ALYREF,MRPL40,NPR2,REV3L,EDF1,GSDME,TMED2,STX3,RAE1,UMPS,EIF1B,AK3,NUDT21,RBX1,SRSF6,GMPR2,DCTN4,COX17,CMPK2,CCNO	ZNRD1
glasner_met_epithelium	REACTOME_STING	16	15	CGAS,DDX41,DTX4,IFI16,IRF3,MRE11,NLRC3,NLRP4,PRKDC,STAT6,STING1,TBK1,TRIM21,XRCC5,XRCC6	TREX1
glasner_met_epithelium	DDR_DSB	24	24	ATM,ATR,CHEK1,CHEK2,H2AX,TP53BP1,BRCA1,BRCA2,RAD51,MDC1,RPA1,RPA2,XRCC5,XRCC6,PARP1,PRKDC,MRE11,RAD50,NBN,FANCD2,TIMELESS,CLSPN,TOPBP1,RAD51AP1	
glasner_met_epithelium	STING_SENSOR	6	6	CGAS,STING1,TBK1,IKBKE,IRF3,IRF7	
glasner_met_epithelium	STING_ISG	14	14	ISG15,IFIT1,IFIT2,IFIT3,MX1,MX2,OAS1,OAS2,OAS3,CXCL10,CCL5,IFI44,IFI44L,RSAD2	
glasner_met_epithelium	PROLIF	10	10	MKI67,TOP2A,PCNA,MCM2,MCM4,MCM6,CDK1,CCNB1,BIRC5,TYMS	
glasner_primary_epithelium	HALLMARK_DNA_REPAIR	150	149	POLR2H,POLR2A,POLR2G,POLR2E,POLR2J,POLR2F,POLR2C,POLR2K,GTF2H3,POLR2D,ERCC3,DDB2,POLR1C,XPC,PCNA,POLR2I,SUPT4H1,POLD3,POLR3GL,POLR3C,GTF2B,POLR1D,NCBP2,NELFE,GTF2F1,ERCC5,LIG1,ERCC1,ERCC4,POLD4,NELFB,RFC2,ELL,TAF10,RRM2B,SUPT5H,RPA3,SNAPC5,SSRP1,RFC3,RPA2,ELOA,TAF12,NELFCD,TAF13,TAF6,TAF9,GTF2A2,VPS37D,NME1,RNMT,ERCC2,POLE4,VPS37B,NT5C3A,SNAPC4,AAAS,RFC4,ITPA,POM121,BRF2,RFC5,SAC3D1,CLP1,NME4,PRIM1,VPS28,TSG101,USP11,TAF1C,TARBP2,POLH,CETN2,POLD1,CANT1,PDE4B,DGCR8,RAD51,SURF1,PNP,ADA,NME3,GTF3C5,NT5C,AK1,GTF2H1,HCLS1,APRT,ERCC8,IMPDH2,POLB,SDCBP,SF3A3,DAD1,UPF3B,GUK1,TP53,ADRM1,SEC61A1,POLA2,FEN1,ZNF707,NUDT9,PDE6G,TYMS,BCAP31,DDB1,NFX1,RAD52,ADCY6,ARL6IP1,DGUOK,POLL,SMAD5,MPG,DUT,POLA1,AGO4,RALA,ZWINT,BCAM,TK2,CSTF3,GTF2H5,HPRT1,BOLA2,GPX4,MPC2,CDA,ALYREF,MRPL40,NPR2,REV3L,EDF1,GSDME,TMED2,STX3,RAE1,UMPS,EIF1B,AK3,NUDT21,RBX1,SRSF6,GMPR2,DCTN4,COX17,CMPK2,CCNO	ZNRD1
glasner_primary_epithelium	REACTOME_STING	16	15	CGAS,DDX41,DTX4,IFI16,IRF3,MRE11,NLRC3,NLRP4,PRKDC,STAT6,STING1,TBK1,TRIM21,XRCC5,XRCC6	TREX1
glasner_primary_epithelium	DDR_DSB	24	24	ATM,ATR,CHEK1,CHEK2,H2AX,TP53BP1,BRCA1,BRCA2,RAD51,MDC1,RPA1,RPA2,XRCC5,XRCC6,PARP1,PRKDC,MRE11,RAD50,NBN,FANCD2,TIMELESS,CLSPN,TOPBP1,RAD51AP1	
glasner_primary_epithelium	STING_SENSOR	6	6	CGAS,STING1,TBK1,IKBKE,IRF3,IRF7	
glasner_primary_epithelium	STING_ISG	14	14	ISG15,IFIT1,IFIT2,IFIT3,MX1,MX2,OAS1,OAS2,OAS3,CXCL10,CCL5,IFI44,IFI44L,RSAD2	
glasner_primary_epithelium	PROLIF	10	10	MKI67,TOP2A,PCNA,MCM2,MCM4,MCM6,CDK1,CCNB1,BIRC5,TYMS	
