interaction_name	prob_high_207422	prob_low_207422	delta_prob_207422	pval_high_207422	pval_low_207422	sig_high_207422	sig_low_207422	sig_207422	detected_207422	prob_high_131907	prob_low_131907	delta_prob_131907	pval_high_131907	pval_low_131907	sig_high_131907	sig_low_131907	sig_131907	detected_131907	pathway_name	annotation	ligand	receptor	ligand_genes	receptor_genes	ligand_class	arm_207422	arm_131907	concordance	sig_either	mean_delta	abs_mean_delta	key_pair	n_mal_high_207422	n_mal_low_207422	n_tnk_207422	n_patients_207422	n_mal_high_131907	n_mal_low_131907	n_tnk_131907	n_patients_131907	n_patients_pair
NECTIN2_TIGIT	0.3822893481702409	0.2864918688952674	0.0957974792749735	0.0099009900990099	1.0	True	False	True	True										NECTIN	Cell-Cell Contact	NECTIN2	TIGIT	NECTIN2	TIGIT	barrier|inhibitory	high	ns	only_207422_undetected_131907	True	0.0957974792749735	0.0957974792749735	True	4203	4204	33760	12	10379	10379	34741	32	44
SPP1_CD44	0.3555445629944828	0.3918433058362913	-0.0362987428418085	0.99009900990099	0.0198019801980198	False	True	True	True	0.0597393181599561	0.1681256196081844	-0.1083863014482282	1.0	0.0099009900990099	False	True	True	True	SPP1	Secreted Signaling	SPP1	CD44	SPP1	CD44	other	low	low	both_sig_same	True	-0.07234252214501835	0.07234252214501835	True	4203	4204	33760	12	10379	10379	34741	32	44
CDH1_ITGAE_ITGB7	0.2530201792151019	0.2121325916861577	0.0408875875289441	0.0099009900990099	1.0	True	False	True	True	0.106864366414579	0.0679183171039248	0.0389460493106541	0.0099009900990099	1.0	True	False	True	True	CDH1	Cell-Cell Contact	CDH1	ITGAE_ITGB7	CDH1	ITGAE|ITGB7	barrier|inhibitory	high	high	both_sig_same	True	0.039916818419799105	0.039916818419799105	True	4203	4204	33760	12	10379	10379	34741	32	44
HLA-E_CD8A	0.8223421376135707	0.8142021450680809	0.0081399925454898	0.0099009900990099	1.0	True	False	True	True	0.3524159793449659	0.2954161564261925	0.0569998229187734	0.0099009900990099	1.0	True	False	True	True	MHC-I	Cell-Cell Contact	HLA-E	CD8A	HLA-E	CD8A	inhibitory	high	high	both_sig_same	True	0.0325699077321316	0.0325699077321316	True	4203	4204	33760	12	10379	10379	34741	32	44
LGALS9_CD45	0.4974844143383837	0.4810919201449625	0.0163924941934211	0.1089108910891089	0.900990099009901	False	False	False	True	0.223313298703433	0.1799038577739686	0.0434094409294643	0.0099009900990099	1.0	True	False	True	True	GALECTIN	Secreted Signaling	LGALS9	PTPRC	LGALS9	PTPRC	inhibitory	ns	high	only_131907	True	0.0299009675614427	0.0299009675614427	True	4203	4204	33760	12	10379	10379	34741	32	44
HLA-E_CD8B	0.4477865792472148	0.4342908918150887	0.0134956874321261	0.0099009900990099	1.0	True	False	True	True	0.2494811119669156	0.2038882406262998	0.0455928713406157	0.0099009900990099	1.0	True	False	True	True	MHC-I	Cell-Cell Contact	HLA-E	CD8B	HLA-E	CD8B	inhibitory	high	high	both_sig_same	True	0.0295442793863709	0.0295442793863709	True	4203	4204	33760	12	10379	10379	34741	32	44
LGALS9_CD44	0.2931416913078211	0.2797342633823214	0.0134074279254997	0.1089108910891089	0.900990099009901	False	False	False	True	0.1876183314934197	0.1498092176805817	0.037809113812838	0.0099009900990099	1.0	True	False	True	True	GALECTIN	Secreted Signaling	LGALS9	CD44	LGALS9	CD44	inhibitory	ns	high	only_131907	True	0.02560827086916885	0.02560827086916885	True	4203	4204	33760	12	10379	10379	34741	32	44
NECTIN2_CD226	0.0667247611494246	0.0443293925629949	0.0223953685864297	0.0099009900990099	1.0	True	False	True	True										NECTIN	Cell-Cell Contact	NECTIN2	CD226	NECTIN2	CD226	barrier|inhibitory	high	ns	only_207422_undetected_131907	True	0.0223953685864297	0.0223953685864297	True	4203	4204	33760	12	10379	10379	34741	32	44
JAM1_ITGAL_ITGB2	0.6991537160592977	0.6882276404521704	0.0109260756071272	0.0099009900990099	1.0	True	False	True	True	0.1097242125211418	0.0787591044460455	0.0309651080750963	0.0099009900990099	1.0	True	False	True	True	JAM	Cell-Cell Contact	F11R	ITGAL_ITGB2	F11R	ITGAL|ITGB2	barrier	high	high	both_sig_same	True	0.02094559184111175	0.02094559184111175	True	4203	4204	33760	12	10379	10379	34741	32	44
MIF_CD74_CD44	0.0	0.0061761322369416	-0.0061761322369416	1.0	0.0099009900990099	False	True	True	True	0.7346108114984883	0.7693132700859697	-0.0347024585874814	1.0	0.0099009900990099	False	True	True	True	MIF	Secreted Signaling	MIF	CD74_CD44	MIF	CD44|CD74	other	low	low	both_sig_same	True	-0.0204392954122115	0.0204392954122115	True	4203	4204	33760	12	10379	10379	34741	32	44
