item	n	note
GEO_cells_in_UMI_matrix	92330	Hu et al. GSE207422
DRMref_annotated_cells	30877	Liu et al. NAR 2024; post-tx only
joined_DRMref_x_GEO	30877	barcode match
post_tx_patients	12	P02–P04, P06, P07, P09–P15
MPR_patients	4	pCR counted as MPR
NMPR_patients	8	
malignant_cells_post	2051	DRMref Malignant cells
cldn4_high_malignant	1026	CLDN4-only: log1p(CP10k) >= malignant median
dual_high_companion_not_used	674	TACSTD2 and CLDN4 >= median; companion count only
cldn4_high_MPR_cells	210	not a patient replicate
cldn4_high_NMPR_cells	816	not a patient replicate
TNK_cells_post	11083	CD4+T + CD8+T + NK
TNK_MPR_cells	2761	not a patient replicate
TNK_NMPR_cells	8322	not a patient replicate
potential_ligands_pooled	147	CLDN4-high ligand + T/NK receptor
potential_ligands_MPR	155	combinatorial MPR senders/receivers
potential_ligands_NMPR	137	combinatorial NMPR senders/receivers
background_genes_restricted	276	panel ∩ prior ∩ T/NK-expressed
a_priori_ifn_in_prior	16	IFN genes present in v2 prior
a_priori_cyto_in_prior	14	cytotoxicity genes present in v2 prior
empirical_NMPR_up_genes	12	patient Wilcoxon p<0.15
empirical_NMPR_down_genes	11	patient Wilcoxon p<0.15
