layer	cohort	gene	n_lines_in_cohort	n_quantified	n_pairwise_vs_TACSTD2	rho_vs_TACSTD2	p_vs_TACSTD2	median_abundance	mean_abundance	q_vs_TACSTD2	in_confirmatory_family	rank_rho_among_claudins	rank_median_among_claudins	n_claudins_tested
RNA	ALL_CANCERS	CLDN1	1517	1517	1517	0.534310343563262	9.898786125558937e-113	3.0125686735030555	3.2656886272136663	3.393869528763064e-112	True	7	2	24
RNA	ALL_CANCERS	CLDN2	1517	1517	1517	0.33065117374204883	5.01662160552489e-40	0.1243281350022017	0.705470790151403	1.337765761473304e-39	True	9	12	24
RNA	ALL_CANCERS	CLDN3	1517	1517	1517	0.5561725688459046	6.520442362776529e-124	0.3895668117627256	1.74817713684935	5.2163538902212235e-123	True	3	8	24
RNA	ALL_CANCERS	CLDN4	1517	1517	1517	0.7140260754208457	7.818927175482941e-237	2.3673710656485296	3.879388008703101	9.382712610579529e-236	True	2	4	24
RNA	ALL_CANCERS	CLDN5	1517	1517	1517	-0.0012665722096635744	0.9606876494842824	0.0840642647884745	0.25992400149132866	0.9606876494842824	True	20	14	24
RNA	ALL_CANCERS	CLDN6	1517	1517	1517	0.22287664938007135	1.5732069732799302e-18	0.1243281350022017	0.47738791725386837	3.4324515780653025e-18	True	10	12	24
RNA	ALL_CANCERS	CLDN7	1517	1517	1517	0.7256020094184968	3.212119111499364e-248	1.8639384504239715	3.3524369637274174	7.709085867598473e-247	True	1	5	24
RNA	ALL_CANCERS	CLDN8	1517	1517	1517	0.5498381351102009	1.3786848813562008e-120	0.0	0.22194004819391927	8.272109288137205e-120	True	4	18	24
RNA	ALL_CANCERS	CLDN9	1517	1517	1517	0.5362220768865618	1.1230432778500522e-113	0.2630344058337938	0.7713329543757987	4.492173111400209e-113	True	6	9	24
RNA	ALL_CANCERS	CLDN10	1517	1517	1517	0.06779152781214538	0.008259997390193799	0.0565835283663675	0.4585979710473927	0.011013329853591733	True	17	16	24
RNA	ALL_CANCERS	CLDN11	1517	1517	1517	0.1522585359660835	2.51986761122874e-09	0.4222330006830478	1.6226210648909347	4.6520632822684435e-09	True	12	7	24
RNA	ALL_CANCERS	CLDN12	1517	1517	1517	0.14702730752755094	8.762628962047974e-09	4.521050736900963	4.346668931907858	1.5021649649225096e-08	True	13	1	24
RNA	ALL_CANCERS	CLDN14	1517	1517	1517	-0.03550049402809154	0.16697373581165206	0.0285691521967709	0.2346407418642074	0.20036848297398246	True	23	17	24
RNA	ALL_CANCERS	CLDN15	1517	1517	1517	-0.2281849926099545	2.274532330017862e-19	2.82781902461732	2.8837136468586793	5.458877592042869e-19	True	24	3	24
RNA	ALL_CANCERS	CLDN16	1517	1517	1517	0.4777311393689305	2.540128261233449e-87	0.137503523749935	0.6422045557047378	7.620384783700347e-87	True	8	11	24
RNA	ALL_CANCERS	CLDN17	1517	1517	1517	0.2077454337323796	2.9813807342047234e-16	0.0	0.018989126465671056	5.962761468409447e-16	True	11	18	24
RNA	ALL_CANCERS	CLDN18	1517	1517	1517	-0.0027849378179836174	0.9136938993886381	0.070389327891398	0.24070301055721383	0.9534197211011876	True	21	15	24
RNA	ALL_CANCERS	CLDN19	1517	1517	1517	-0.004803084954653236	0.8517228005014179	0.0	0.07264498738054652	0.9291521460015468	True	22	18	24
RNA	ALL_CANCERS	CLDN20	1517	1517	1517	0.089970661618357	0.00045069619723501304	0.2265085298086797	0.30895287892228407	0.000636276984331783	True	16	10	24
RNA	ALL_CANCERS	CLDN22	1517	1517	1517	0.047234472797069174	0.0658812656519684	0.0	0.06176984355388503	0.08321844082353905	True	18	18	24
RNA	ALL_CANCERS	CLDN23	1517	1517	1517	0.5418988270161188	1.613054196689061e-116	0.8318772411916731	1.1173093326824861	7.742660144107492e-116	True	5	6	24
RNA	ALL_CANCERS	CLDN24	1517	1517	1517	0.1292218064345406	4.416778948486766e-07	0.0	0.09360709739662088	6.625168422730149e-07	True	15	18	24
RNA	ALL_CANCERS	CLDN25	1517	1517	1517	0.03358606168717812	0.19106893775697242	0.0	0.004549000786550694	0.21836450029368276	True	19	18	24
RNA	ALL_CANCERS	CLDN34	1517	1517	1517	0.13559568390358306	1.1490436544110705e-07	0.0	0.03914994470468366	1.838469847057713e-07	True	14	18	24
