family	k	cohorts	malig_defs	tnk_def	score	n_patients	rho_TAC	p_TAC	I2_TAC	rho_CLDN	p_CLDN	I2_CLDN	stouffer_p_TAC	stouffer_p_CLDN	both_negative	tac_le_cut	cldn_le_cut	both_le_cut	weaker_rho	is_full_family	n_family_units
single/marker_malig/tnk/mean_cp10k	1	GSE253013	marker_malig	tnk	mean_cp10k	9	-0.7833333333333333	0.012519873019449885	0.0	-0.5499999999999999	0.12497678418833194	0.0	0.012519873019449885	0.12497678418833194	True	True	True	True	-0.5499999999999999	0	1
single/marker_malig/tnk/pct	1	GSE253013	marker_malig	tnk	pct	9	-0.8333333333333333	0.005265691029161747	0.0	-0.5333333333333333	0.13922686754397814	0.0	0.005265691029161747	0.13922686754397814	True	True	True	True	-0.5333333333333333	0	1
strict_primary/tnk/pct	1	GSE253013	marker_malig	tnk	pct	9	-0.8333333333333333	0.005265691029161747	0.0	-0.5333333333333333	0.13922686754397814	0.0	0.005265691029161756	0.1392268675439782	True	True	True	True	-0.5333333333333333	0	4
marker_malig/tnk/pct	1	GSE253013	marker_malig	tnk	pct	9	-0.8333333333333333	0.005265691029161747	0.0	-0.5333333333333333	0.13922686754397814	0.0	0.005265691029161756	0.1392268675439782	True	True	True	True	-0.5333333333333333	0	3
single/marker_malig/tnk/mean	1	GSE291670	marker_malig	tnk	mean	6	-0.5428571428571429	0.26570262390670546	0.0	-0.8285714285714287	0.04156268221574335	0.0	0.26570262390670546	0.04156268221574335	True	True	True	True	-0.5428571428571429	0	1
single/marker_malig/tnk/pct	1	GSE291670	marker_malig	tnk	pct	6	-0.4285714285714286	0.3965014577259473	0.0	-0.8857142857142858	0.01884548104956266	0.0	0.3965014577259473	0.01884548104956266	True	True	True	True	-0.4285714285714286	0	1
single/marker_malig/tnk_umi/mean	1	GSE291670	marker_malig	tnk_umi	mean	6	-0.3714285714285715	0.4684781341107872	0.0	-0.5428571428571429	0.26570262390670546	0.0	0.4684781341107872	0.26570262390670546	True	True	True	True	-0.3714285714285715	0	1
strict_primary/tnk/mean	1	GSE291670	marker_malig	tnk	mean	6	-0.5428571428571429	0.26570262390670546	0.0	-0.8285714285714287	0.04156268221574335	0.0	0.2657026239067055	0.04156268221574339	True	True	True	True	-0.5428571428571429	0	6
strict_nsclc_swap/tnk/mean	1	GSE291670	marker_malig	tnk	mean	6	-0.5428571428571429	0.26570262390670546	0.0	-0.8285714285714287	0.04156268221574335	0.0	0.2657026239067055	0.04156268221574339	True	True	True	True	-0.5428571428571429	0	6
strict_primary/tnk/pct	1	GSE291670	marker_malig	tnk	pct	6	-0.4285714285714286	0.3965014577259473	0.0	-0.8857142857142858	0.01884548104956266	0.0	0.39650145772594725	0.018845481049562653	True	True	True	True	-0.4285714285714286	0	4
