cohort	malig_def	immune_def	score	n	rho	p	note	source	unit	a3_tacstd2_rho	a3_tacstd2_p	n_q1	n_q4	n_compared	median_q1	median_q4	delta_median	r_rb	p_q4q1	thin_q4q1	poolable_q4q1
GSE131907	author_malig	b	pct	21	-0.6	0.00403591538162697	author Malignant cells subtype, n_mal>=20; sample-level (not patient)	tnk_extract	sample			6	5	11	0.08393550233523925	0.0053511705685618	-0.07858433176667745	-0.8666666666666667	0.017316017316017316	False	True
GSE207422	tls_malignant	b	pct	8	-0.7857142857142858	0.020815127253525273	PR #274 extract; compartment=malignant only (epithelial/gate dropped); B fraction; CLDN4 %pos	tls_extract	patient			2	2	4	0.12665057195629265	0.0081570783286541	-0.11849349362763854	-1.0	0.3333333333333333	True	False
GSE131907	author_malig	b	mean	21	-0.464935064935065	0.033699231028965625	author Malignant cells subtype, n_mal>=20; sample-level (not patient)	tnk_extract	sample			6	5	11	0.120938095030451	0.029057700290577	-0.091880394739874	-0.8	0.030303030303030304	False	True
GSE207422	tls_malignant	b	mean	8	-0.7142857142857144	0.046528232284167255	PR #274 extract; compartment=malignant only (epithelial/gate dropped); B fraction	tls_extract	patient			2	2	4	0.1329579836532174	0.01834749228428115	-0.11461049136893625	-1.0	0.3333333333333333	True	False
GSE131907	tls_malignant	b	pct	31	-0.3455645161290323	0.05689922098158756	PR #274 extract; compartment=malignant only (epithelial/gate dropped); B fraction; CLDN4 %pos	tls_extract	patient			8	8	16	0.04834312453905035	0.02884100147819655	-0.019502123060853797	-0.34375	0.2786324786324786	False	True
GSE131907	tls_malignant	b	mean	31	-0.3209677419354839	0.07831409664073877	PR #274 extract; compartment=malignant only (epithelial/gate dropped); B fraction	tls_extract	patient			8	8	16	0.059490946625581353	0.02111925054319945	-0.038371696082381904	-0.5	0.10489510489510488	False	True
GSE205335	author_malig	b_plasma	pct	22	-0.15866741953698477	0.48064705182624184	author malignant, all subtypes	tnk_extract	patient			6	6	12	0.06267847690042999	0.03449161861160825	-0.02818685828882174	-0.11111111111111116	0.8181818181818182	False	True
GSE205335_NSCLC	author_malig	b_plasma	pct	17	-0.08088235294117649	0.7576329086921563	author malignant, ADC+SQ only; not in primary grid	tnk_extract	patient			5	4	9	0.0326359832635983	0.03127050287783385	-0.0013654803857644504	0.0	1.0	False	True
GSE131907	author_malig	cd8	pct	21	-0.5727272727272726	0.006656520496826817	author Malignant cells subtype, n_mal>=20; sample-level (not patient)	tnk_extract	sample			6	5	11	0.0903080839835496	0.0079120030876109	-0.0823960808959387	-0.6666666666666667	0.08225108225108226	False	True
GSE205335	author_malig	cd8	pct	22	-0.36420101637492946	0.09564628896671849	author malignant, all subtypes	tnk_extract	patient			6	6	12	0.1899768467296828	0.018831775843531448	-0.17114507088615133	-0.6666666666666667	0.06493506493506493	False	True
GSE131907	author_malig	cd8	mean	21	-0.3532467532467533	0.11623101293161814	author Malignant cells subtype, n_mal>=20; sample-level (not patient)	tnk_extract	sample			6	5	11	0.043716714467522746	0.0105939004815409	-0.033122813985981846	-0.5333333333333333	0.17748917748917747	False	True
GSE205335	author_malig	cd8	mean	22	-0.17786561264822137	0.42841247523808007	author malignant, all subtypes	tnk_extract	patient			6	6	12	0.16356188970608745	0.0353716513550452	-0.12819023835104226	-0.33333333333333337	0.3939393939393939	False	True
GSE205335_NSCLC	author_malig	cd8	pct	17	-0.07107843137254903	0.7863266619781205	author malignant, ADC+SQ only; not in primary grid	tnk_extract	patient			5	4	9	0.1750081779522407	0.12757434394744044	-0.04743383400480025	0.0	1.0	False	True
GSE205335_NSCLC	author_malig	cd8	mean	17	-0.02450980392156863	0.9256077760199252	author malignant, ADC+SQ only; not in primary grid	tnk_extract	patient			5	4	9	0.2049455155071249	0.1441142194589542	-0.0608312960481707	0.0	1.0	False	True
GSE253013	tls_malignant	cxcl13_mean	pct	6	-0.8857142857142858	0.01884548104956266	PR #274 extract; compartment=malignant only (epithelial/gate dropped); CXCL13 mean log1p(CP10k); CLDN4 %pos	tls_extract	patient			2	2	4	0.12935974724182456	0.0098171831633647	-0.11954256407845985	-1.0	0.3333333333333333	True	False
GSE148071	tls_malignant	cxcl13_mean	pct	35	-0.34263772564921396	0.04391426170183207	PR #274 extract; compartment=malignant only (epithelial/gate dropped); CXCL13 mean log1p(CP10k); CLDN4 %pos	tls_extract	patient			9	9	18	0.0483164618135182	0.0157976773004418	-0.0325187845130764	-0.3950617283950617	0.16888327587813468	False	True
GSE148071	tls_malignant	cxcl13_mean	mean	35	-0.2807882348761856	0.10228056398134505	PR #274 extract; compartment=malignant only (epithelial/gate dropped); CXCL13 mean log1p(CP10k)	tls_extract	patient			9	9	18	0.0427429406829978	0.0289724851009034	-0.013770455582094398	-0.40740740740740744	0.15339420681209628	False	True
GSE253013	tls_malignant	cxcl13_mean	mean	6	-0.6	0.208	PR #274 extract; compartment=malignant only (epithelial/gate dropped); CXCL13 mean log1p(CP10k)	tls_extract	patient			2	2	4	0.06642591211272744	0.0375485964548881	-0.02887731565783934	-0.5	0.6666666666666666	True	False
GSE131907	tls_malignant	cxcl13_mean	pct	31	-0.1088709677419355	0.5598965125718907	PR #274 extract; compartment=malignant only (epithelial/gate dropped); CXCL13 mean log1p(CP10k); CLDN4 %pos	tls_extract	patient			8	8	16	0.029795103327556	0.018632659689122352	-0.011162443638433647	0.03125	0.959129759129759	False	True
GSE207422	tls_malignant	cxcl13_mean	pct	8	-0.2142857142857143	0.6103444156452669	PR #274 extract; compartment=malignant only (epithelial/gate dropped); CXCL13 mean log1p(CP10k); CLDN4 %pos	tls_extract	patient			2	2	4	0.31681204873330954	0.0233589686226553	-0.29345308011065424	-1.0	0.3333333333333333	True	False
GSE131907	tls_malignant	cxcl13_mean	mean	31	-0.06330645161290323	0.7351142730158428	PR #274 extract; compartment=malignant only (epithelial/gate dropped); CXCL13 mean log1p(CP10k)	tls_extract	patient			8	8	16	0.029795103327556	0.0232028679566856	-0.006592235370870399	0.1875	0.5737373737373737	False	True
GSE207422	tls_malignant	cxcl13_mean	mean	8	-0.11904761904761905	0.7788857260523796	PR #274 extract; compartment=malignant only (epithelial/gate dropped); CXCL13 mean log1p(CP10k)	tls_extract	patient			2	2	4	0.19578132278224444	0.5438616248384782	0.34808030205623375	0.0	1.0	True	False
GSE148071	tls_malignant	cxcl13pos	mean	31	-0.4086020621109129	0.02248010028418731	PR #274 extract; compartment=malignant only (epithelial/gate dropped); CXCL13+ among T	tls_extract	patient			8	8	16	0.27380701013513514	0.1075862068965517	-0.16622080323858346	-0.609375	0.04440632214550907	False	True
GSE253013	tls_malignant	cxcl13pos	pct	6	-0.6	0.208	PR #274 extract; compartment=malignant only (epithelial/gate dropped); CXCL13+ among T; CLDN4 %pos	tls_extract	patient			2	2	4	0.0820637922118624	0.00975419487783335	-0.07230959733402904	-1.0	0.3333333333333333	True	False
GSE148071	tls_malignant	cxcl13pos	pct	31	-0.2220574643240126	0.22989998793438032	PR #274 extract; compartment=malignant only (epithelial/gate dropped); CXCL13+ among T; CLDN4 %pos	tls_extract	patient			8	8	16	0.25418275418275416	0.16064516129032255	-0.0935375928924316	-0.296875	0.3409871533819059	False	True
GSE207422	tls_malignant	cxcl13pos	pct	8	-0.2380952380952381	0.5701563208157683	PR #274 extract; compartment=malignant only (epithelial/gate dropped); CXCL13+ among T; CLDN4 %pos	tls_extract	patient			2	2	4	0.2521501518739087	0.06515160324428029	-0.18699854862962842	-1.0	0.3333333333333333	True	False
GSE207422	tls_malignant	cxcl13pos	mean	8	-0.2142857142857143	0.6103444156452669	PR #274 extract; compartment=malignant only (epithelial/gate dropped); CXCL13+ among T	tls_extract	patient			2	2	4	0.2471867551923731	0.2509823727814242	0.0037956175890511146	0.0	1.0	True	False
GSE253013	tls_malignant	cxcl13pos	mean	6	-0.2571428571428572	0.6227871720116619	PR #274 extract; compartment=malignant only (epithelial/gate dropped); CXCL13+ among T	tls_extract	patient			2	2	4	0.041024739515801004	0.079155270020991	0.03813053050519	0.0	1.0	True	False
GSE131907	author_malig	tnk	pct	21	-0.5220779220779221	0.015195754492505785	author Malignant cells subtype, n_mal>=20; sample-level (not patient)	tnk_extract	sample			6	5	11	0.3901695415186815	0.0484949832775919	-0.3416745582410896	-0.6	0.12554112554112554	False	True
GSE291670	marker_malig	tnk	pct	6	-0.8857142857142858	0.01884548104956266	marker malignant; epi columns unused	tnk_extract	patient			2	2	4	0.0889109754408155	0.0355900597846779	-0.0533209156561376	-1.0	0.3333333333333333	True	False
GSE291670	marker_malig	tnk	mean	6	-0.8285714285714287	0.04156268221574335	marker malignant; epi columns unused	tnk_extract	patient			2	2	4	0.0889109754408155	0.0355900597846779	-0.0533209156561376	-1.0	0.3333333333333333	True	False
GSE205335	author_malig	tnk	pct	22	-0.43534726143421804	0.042861326301676765	author malignant, all subtypes	tnk_extract	patient			6	6	12	0.5142311424633497	0.11640665785333909	-0.3978244846100106	-0.7777777777777778	0.025974025974025976	False	True
GSE131907	author_malig	tnk	mean	21	-0.39610389610389607	0.07547637795047248	author Malignant cells subtype, n_mal>=20; sample-level (not patient)	tnk_extract	sample			6	5	11	0.34566636142967194	0.1052969502407704	-0.24036941118890154	-0.5333333333333333	0.17748917748917747	False	True
GSE253013	marker_malig	tnk	mean_cp10k	9	-0.5499999999999999	0.12497678418833194	tumor malig-like; existing extract, no RDS; epi columns unused	tnk_extract	patient			3	2	5	0.4106927555203417	0.19068014433720304	-0.22001261118313864	-1.0	0.2	True	False
GSE253013	marker_malig	tnk	pct	9	-0.5333333333333333	0.13922686754397814	tumor malig-like; existing extract, no RDS; epi columns unused	tnk_extract	patient			3	2	5	0.4106927555203417	0.19068014433720304	-0.22001261118313864	-1.0	0.2	True	False
GSE205335	author_malig	tnk	mean	22	-0.20045172219085267	0.3710825718233011	author malignant, all subtypes	tnk_extract	patient			6	6	12	0.33057500838377946	0.16582536241770118	-0.16474964596607827	-0.5555555555555556	0.13203463203463203	False	True
GSE253013	marker_malig	tnk	mean	9	-0.33333333333333337	0.38071318167686347	tumor malig-like; existing extract, no RDS; epi columns unused	tnk_extract	patient			3	2	5	0.4106927555203417	0.19068014433720304	-0.22001261118313864	-1.0	0.2	True	False
GSE205335_NSCLC	author_malig	tnk	pct	17	-0.2058823529411765	0.42791485314270766	author malignant, ADC+SQ only; not in primary grid	tnk_extract	patient			5	4	9	0.3958158995815899	0.36919846245304944	-0.026617437128540478	-0.30000000000000004	0.5555555555555556	False	True
GSE325414	author_malig	tnk	mean	25	-0.11923076923076922	0.5702629145851892	author malignant, donor	tnk_extract	donor			7	6	13	0.2590933052187665	0.23346607000721914	-0.02562723521154736	-0.1428571428571429	0.7307692307692307	False	True
GSE207422	author_DRMref	tnk	mean	12	-0.09090909090909093	0.7787253962454419	CLDN4 from the given A3 12-patient DRMref table; TACSTD2 slide not re-cut	a3_given_table	patient	-0.4895104895104896	0.10625237175934595	3	3	6	0.4876755070202808	0.2170620898536092	-0.2706134171666716	-0.33333333333333337	0.7	False	True
