rank	gene	uniprot	protein_name	is_bait	exclusive	stringent	n_cldn4	n_gfp	mean_lfq_cldn4	mean_lfq_gfp	log2fc	p_mod	fdr_mod	p_welch	fdr_welch	unique_peptides	razor_unique_peptides	categories	majority_protein_ids
1	CLDN4	O14493	Claudin-4	True	True	True	4	0	2.58958e+09		10.3761	1.86938e-17	4.09021e-14	5.17515e-05	0.00781719	3	4	TJ	O14493
2	OAS1	F1PLW6	2-5-oligoadenylate synthetase 1	False	True	True	4	0	9.9739e+07		5.76434	1.17202e-15	8.94719e-13	1.18591e-06	0.00128484	5	5	IFN;immune	F1PLW6
3	INCENP	J9NZS6	Inner centromere protein	False	True	True	4	0	9.95828e+07		5.57881	4.31502e-12	5.90079e-10	0.000804266	0.0217251	6	6		J9NZS6;F6XU88
4	EHMT1	F1Q1D2	Euchromatic histone lysine methyltransferase 1	False	True	True	4	0	4.71705e+07		4.68047	4.09036e-14	1.78994e-11	9.19813e-06	0.00287507	4	4		F1Q1D2
5	SDCBP	F1PKR0	Uncharacterized protein	False	True	True	3	0	9.11103e+07		4.21534	0.00020595	0.00361827	0.0580496	0.179338	3	3		F1PKR0;J9P0F9
6	PTPRA	E2R5J7	Receptor-type tyrosine-protein phosphatase alpha	False	True	True	3	0	6.10897e+07		3.76197	0.000231215	0.00361827	0.0589818	0.179338	3	4		E2R5J7
7	TIMP3	F5CBP3	TIMP metallopeptidase inhibitor 3	False	True	True	3	0	5.67283e+07		3.70494	0.000219854	0.00361827	0.0580885	0.179338	3	3		F5CBP3
8	DDX49	E2RBM7	DEAD-box helicase 49	False	True	True	3	0	5.31613e+07		3.61557	0.000236198	0.00361827	0.0589788	0.179338	2	2		E2RBM7
9	LOC488767	J9P1F7	Uncharacterized protein	False	True	True	3	0	3.84823e+07		3.29163	0.000232293	0.00361827	0.0578241	0.179338	3	3		J9P1F7
10	MGAT4B	E2R4F6	Mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme B	False	True	True	3	0	3.1249e+07		3.04101	0.000272538	0.0037038	0.0594404	0.179338	2	2		E2R4F6
11	RPUSD3	J9NWF9	RNA pseudouridylate synthase domain containing 3	False	False	True	4	1	8.05202e+07	5.1214e+07	4.24838	4.09637e-05	0.00157243	0.0380618	0.149514	3	3		J9NWF9
12	NIF3L1	E2RQI7	NGG1 interacting factor 3 like 1	False	False	True	4	1	6.79025e+07	4.3699e+07	4.04327	4.53745e-05	0.00165957	0.0372709	0.14827	2	2		E2RQI7
13	MLYCD	F6UQZ9	Uncharacterized protein	False	False	True	4	1	6.0665e+07	4.2676e+07	3.8955	6.12243e-05	0.0019137	0.0405778	0.153872	3	3		F6UQZ9
14	PPM1K	E2RJI1	Protein phosphatase, Mg2+/Mn2+ dependent 1K	False	False	True	4	2	1.12268e+08	3.8193e+07	3.75726	0.000230644	0.00361827	0.0584308	0.179338	3	3		E2RJI1
15	CLPB	F6XXW3	ClpB homolog, mitochondrial AAA ATPase chaperonin	False	False	True	4	1	4.38218e+07	3.8448e+07	3.47999	0.000134586	0.0032008	0.0503504	0.171332	2	2		F6XXW3
16	LYPLA2	J9PAN4	Lysophospholipase II	False	False	True	4	2	1.3082e+08	7.0445e+07	3.451	0.00249642	0.0179676	0.105639	0.26029	6	6		J9PAN4
17	ALDH1L2	E2RC62	10-formyltetrahydrofolate dehydrogenase	False	False	True	4	2	1.1622e+08	6.9683e+07	3.37458	0.00254813	0.0182159	0.11095	0.269133	3	3		E2RC62
18	NUMA1	E2R5Y7	Nuclear mitotic apparatus protein 1	False	False	True	4	2	1.00232e+08	4.6123e+07	3.26885	0.00197681	0.0154474	0.0883604	0.230707	4	40		E2R5Y7
19	RNF20	F6XUF9	E3 ubiquitin protein ligase	False	False	True	4	1	2.95632e+07	2.6676e+07	3.01086	0.000203939	0.00361827	0.0501766	0.171264	2	2		F6XUF9
20	ACIN1	E2R8C0	Apoptotic chromatin condensation inducer 1	False	False	True	4	2	6.57682e+07	3.53175e+07	2.95779	0.00184247	0.0147956	0.0931553	0.23939	5	5		E2R8C0
21	KLF5	E2RNV6	Kruppel like factor 5	False	False	True	4	2	9.35472e+07	8.03375e+07	2.93696	0.0087355	0.0423797	0.158867	0.340118	2	2		E2RNV6
22	HSD3B7	E2QS16	Hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 7	False	False	True	4	2	6.74125e+07	4.3012e+07	2.92194	0.00277955	0.0192458	0.111778	0.270244	3	3		E2QS16
23	NNT	F1PLG2	Nicotinamide nucleotide transhydrogenase	False	False	True	4	2	8.55658e+07	7.45595e+07	2.84786	0.00954695	0.0450188	0.161893	0.343904	5	5		F1PLG2
24		E2RRA6	Uncharacterized protein	False	False	True	4	2	6.77818e+07	5.86525e+07	2.68758	0.00921968	0.0440451	0.158518	0.339855	2	2		E2RRA6;J9P7T7
25	LACTB2	E2QXB6	Lactamase beta 2	False	False	True	4	2	3.8693e+07	2.52835e+07	2.49497	0.00252744	0.0181313	0.106061	0.260451	3	3		E2QXB6
26	CLDN3	Q95KM5	Claudin-3	False	False	True	4	2	3.58205e+07	2.1424e+07	2.48622	0.00175442	0.0142975	0.0914742	0.236299	2	2	TJ	Q95KM5
