gene,spearman_rank,spearman_r,spearman_p,pearson_r,pearson_p,mean_log2tpm,pct_expressed,spearman_q,pearson_q,pearson_rank
TGFA,1,0.4703129698930714,1.4758071613687801e-24,0.44476988985567373,7.64311858827913e-22,2.630276577820374,100.0,3.9507357709842244e-21,1.0230314230411615e-18,2
UNC93B1,2,0.44990165916982006,2.2706894444855963e-22,0.4382929648113796,3.4348779814764545e-21,6.501008829776756,100.0,3.0393178214439707e-19,3.065056118804156e-18,3
ITGB8,3,0.43148273527420444,1.6113854256548224e-20,0.4305593944043821,1.9817605286989463e-20,4.797369225413575,100.0,1.43789292815932e-17,1.3262932338317698e-17,4
EVA1C,4,0.4084019896529043,2.3566783402696525e-18,0.39318754170172093,5.1336636688802844e-17,4.282593826870298,100.0,1.577206979225465e-15,1.2493470583265929e-14,11
CXCL16,5,0.4028569498743199,7.37866120219578e-18,0.46462870087773345,6.208092917351993e-24,7.188556131838749,100.0,3.95053520765562e-15,1.6619064739751287e-20,1
SLC37A1,6,0.3974696735534731,2.1915323820102175e-17,0.41454561427063336,6.489536790467815e-19,3.421672805711131,100.0,9.777886977735586e-15,3.2776867540053075e-16,5
PROM2,7,0.3751278913249397,1.6271567035519405e-15,0.4083368704600894,2.388775045890482e-18,4.980032828209546,100.0,6.222712136297921e-13,7.838068122603097e-16,8
CDCP1,8,0.35731750659760025,4.006452124099187e-14,0.40748176225921795,2.852347204418955e-18,4.603474281905058,100.0,1.3406590420266906e-11,7.838068122603097e-16,9
GPR132,9,0.3560555079754592,4.989936218999543e-14,0.34206155727971227,5.335099879876232e-13,2.197371057345765,100.0,1.4842288064735306e-11,5.589896094173845e-11,23
NIPAL2,10,0.3551966253737032,5.790756523536857e-14,0.3367067749537196,1.280812246353057e-12,3.667391178280625,100.0,1.5501855213508166e-11,1.1429114611623777e-10,28
GJB3,11,0.34898162759226725,1.6775474444924265e-13,0.38794670157226546,1.430893537395106e-16,3.5645323795326234,100.0,4.082540462642023e-11,3.192084999672249e-14,12
SERINC2,12,0.34775987147343995,2.0620126185739385e-13,0.3744887895373724,1.831723284486343e-15,6.547677303770563,100.0,4.600006483268695e-11,3.5025165946928147e-13,14
PIEZO1,13,0.3420244219762406,5.367913820102247e-13,0.32089515950588027,1.5428718155957927e-11,3.5634018066462443,100.0,1.1053773304933626e-10,1.1162886082026857e-09,35
HRH1,14,0.3397802866349864,7.763816693501078e-13,0.30611837524665547,1.3894812671286866e-10,2.9074816977753475,100.0,1.4845526634644562e-10,8.65032872582208e-09,40
GPR157,15,0.3385345020534381,9.516748581744324e-13,0.34772559132170394,2.0739590108093698e-13,3.220982981061399,100.0,1.698422396888637e-10,2.4139079443202973e-11,21
CD82,16,0.3358602289741194,1.468739284473997e-12,0.36986294108759815,4.282952602804639e-15,5.544009981811367,100.0,2.4573844153355563e-10,7.165915073567511e-13,16
RHBDL2,17,0.3352652255619611,1.616692264515653e-12,0.3379793136066413,1.0417477998279778e-12,2.2106012199701057,100.0,2.545814818887296e-10,1.0152076064424201e-10,25
SORL1,18,0.33451578197443943,1.823902163837126e-12,0.3590908032882991,2.9382057975866447e-14,4.59582429548673,100.0,2.6814065141096965e-10,4.626809953023204e-12,17
SLC34A2,19,0.3339313656590283,2.0032921285840093e-12,0.3851076874090129,2.4743530497505586e-16,8.39428891961173,100.0,2.6814065141096965e-10,5.095263933986343e-14,13
PTGER2,20,0.33336303124552724,2.1942347100263676e-12,0.32390738897823423,9.710066523485321e-12,2.7829654538401147,100.0,2.797126818447898e-10,7.426813738105772e-10,33
