rank_source	Name	Term	ES	NES	NOM p-val	FDR q-val	FWER p-val	Tag %	Gene %	Lead_genes
scrna_GSE180963_tacstd2_hi_lo	prerank	HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.6809951850225292	2.7352928896560527	0.0	0.0	0.0	103/134	27.08%	Atp1b1;Atp6v1g1;Gpx4;Ldha;Fdx1;Cox8a;Ndufc2;Hsd17b10;Uqcr11;Oat;Suclg1;Etfb;Echs1;Uqcrq;Ndufa7;Ndufa3;Ndufs6;Cox7a2;Cyc1;Uqcr10;Ndufc1;Cox6c;Timm8b;Acaa1a;Cox6b1;Alas1;Ndufb2;Ndufs8;Mdh2;Mpc1;Mrpl34;Idh2;Ndufs2;Ndufab1;Eci1;Timm13;Atp6v0b;Uqcrb;Cox17;Ndufa2;Vdac2;Mdh1;Por;Ndufv2;Cox5a;Ndufs4;Acaa2;Ndufa1;Slc25a5;Ndufs7;Sdhc;Cyb5r3;Ndufb3;Gpi1;Ndufb8;Mrps11;Ndufb6;Cox7b;Atp6v1f;Mgst3;Slc25a4;Pdha1;Sucla2;Cox4i1;Cox7c;Aco2;Ogdh;Vdac1;Ndufa5;Slc25a11;Ndufs3;Phb2;Ndufb7;Ndufa6;Acadsb;Mrps12;Tcirg1;Ndufb5;Cs;Cox5b;Hadha;Cyb5a;Uqcrc1;Cox6a1;Etfa;Ndufv1;Grpel1;Atp6v1e1;Sdhd;Slc25a3;Uqcrfs1;Sdhb;Uqcrh;Mrps15;Pdhb;Phyh;Vdac3;Mrpl35;Idh3b;Idh1;Acat1;Ndufa4;Timm17a
scrna_GSE180963_tacstd2_hi_lo	prerank	HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.6624820096682247	2.1633058293044427	0.0	0.0	0.0	16/36	12.36%	Alcam;S100a11;Pmvk;Fasn;Clu;Errfi1;Fabp5;Atf3;Cxcl16;Tnfrsf12a;Ctnnb1;Chka;Cd9;Nfil3;Lgals3;Hmgcs1
scrna_GSE180963_tacstd2_hi_lo	prerank	HALLMARK_GLYCOLYSIS	0.5654445276389244	2.128360617456996	0.0	0.0	0.0	34/73	19.60%	Sdc1;Gclc;Aldoa;Tpi1;Ldha;Txn1;Hs2st1;Mif;Vegfa;Fam162a;P4ha1;Pkm;Tgfbi;Hdlbp;Hk2;Fkbp4;Mdh2;Glrx;Pgk1;Pgam1;Gfpt1;Taldo1;Pygl;Mdh1;Sdhc;Ndufv3;Copb2;Il13ra1;Cd44;Pam;Cited2;Akr1a1;Slc16a3;Cyb5a
scrna_GSE180963_tacstd2_hi_lo	prerank	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.6385906181396737	2.059657770631114	0.0	0.0	0.0	17/35	12.30%	Prnp;Gclc;Mgst1;Gpx4;Txn1;Prdx2;Prdx4;Sod2;Glrx;Prdx6;Ndufs2;Txnrd1;Atox1;Prdx1;Selenos;Hmox2;Gsr
scrna_GSE180963_tacstd2_hi_lo	prerank	HALLMARK_PROTEIN_SECRETION	0.5211607286570304	1.9392312836786259	0.0	0.0006430495611621237	0.003	35/71	29.38%	Cd63;Ctsc;Tspan8;Tpd52;Rab9;Atp1a1;Ergic3;Arf1;Tmed10;Lman1;Lamp2;Cope;Rer1;Igf2r;Rps6ka3;Copb2;Napa;Pam;Ap2s1;Bet1;Snap23;Cltc;Clcn3;Stx12;Sec22b;Ap3s1;Tsg101;Snx2;Gnas;Ap2b1;Arfgef1;Adam10;Gla;Copb1;Ap3b1
scrna_GSE180963_tacstd2_hi_lo	prerank	HALLMARK_FATTY_ACID_METABOLISM	0.47990388750145124	1.8289966971379479	0.0	0.002322123415307669	0.013	34/82	19.12%	Acsl4;Fasn;Aldoa;Ldha;Acsl5;Hsd17b10;Suclg1;Echs1;Mif;Trp53inp2;Acadl;Psme1;Acaa1a;Mdh2;Prdx6;Eci1;Hadh;Mdh1;Acaa2;Sdhc;Hmgcs1;Mcee;Pts;Pdha1;Sucla2;Aco2;Ostc;Hsd17b4;Erp29;Hsd17b11;Xist;Hsp90aa1;G0s2;Kmt5a
scrna_GSE180963_tacstd2_hi_lo	prerank	HALLMARK_MTORC1_SIGNALING	0.4550559120775857	1.8095698009341454	0.0	0.002449712613950948	0.016	59/116	32.44%	Gclc;Aldoa;Ctsc;Tpi1;Ldha;Nupr1;Ppa1;P4ha1;Atp2a2;Fkbp2;Hk2;Serpinh1;Psma4;Acly;Psmb5;Glrx;Pgk1;Txnrd1;Rpn1;Cd9;Slc7a11;Prdx1;Nfil3;Slc1a5;Gpi1;Cdkn1a;Gsr;Hmgcs1;Hsp90b1;Fgl2;Nmt1;Cyb5b;Btg2;Pdap1;Sdf2l1;Tuba4a;Eif2s2;Arpc5l;Calr;Elovl5;Cfp;Psmc2;Ifrd1;Psmd12;Ccng1;Idh1;Psmc6;Idi1;Stip1;Gla;Psma3;Cops5;Hspe1;Hmgcr;Psmd13;Serp1;Psmd14;Psmc4;Nampt
scrna_GSE180963_tacstd2_hi_lo	prerank	HALLMARK_COAGULATION	0.5136155092611582	1.7860100134526482	0.0	0.0029473104886597336	0.022	18/51	10.12%	Ctsh;Clu;Anxa1;Trf;C3;Dusp6;Csrp1;Thbs1;Gng12;Sparc;S100a1;Crip2;Cd9;Fn1;Maff;Lamp2;Adam9;Arf4
scrna_GSE180963_tacstd2_hi_lo	prerank	HALLMARK_HYPOXIA	0.460231115607339	1.779408116974358	0.0	0.0030961645537435586	0.026	29/89	12.00%	Sdc4;Selenbp1;Fos;Aldoa;Tpi1;Ldha;Errfi1;Atf3;Prdx5;Mif;Vegfa;Fam162a;P4ha1;Tgfbi;Hdlbp;Hk2;Anxa2;Mt1;Cp;Tpd52;Glrx;Pgk1;Maff;Gcnt2;Nfil3;Jun;Gpi1;Cdkn1a;Tiparp
scrna_GSE180963_tacstd2_hi_lo	prerank	KEGG_2019_Mouse::Antigen processing and presentation	0.7765747996658453	1.7536663175465088	0.0	0.003751122440112389	0.035	8/9	17.30%	H2-T23;H2-Q7;H2-M2;H2-K1;H2-T22;H2-Q6;H2-D1;H2-M3
