setting	geneset	ligand	pearson	pearson_p	auroc	aupr	n_background	n_geneset	rank_in_set
merged_cldn4_high_to_TNK	a_priori_cytotoxicity	LRPAP1	0.32072245040522446	9.940851061121607e-08	0.3531428571428572	0.22842226165633958	264	14	1
merged_cldn4_high_to_TNK	a_priori_cytotoxicity	HLA-DRA	0.2862880246769121	2.25729964020725e-06	0.40028571428571424	0.22151332471693	264	14	2
merged_cldn4_high_to_TNK	a_priori_cytotoxicity	HLA-DQB1	0.2512749191513616	3.630585771954207e-05	0.40628571428571425	0.23098660510160698	264	14	3
merged_cldn4_high_to_TNK	a_priori_cytotoxicity	SPP1	0.18857100396902504	0.0020907473156524885	0.344	0.15864464226557146	264	14	4
merged_cldn4_high_to_TNK	a_priori_cytotoxicity	TNC	0.18163294294486967	0.00305789275515259	0.34685714285714286	0.1226583089676234	264	14	5
merged_cldn4_high_to_TNK	a_priori_cytotoxicity	HLA-A	0.1810245581775071	0.0031595900183515125	0.4714285714285714	0.2230883310572651	264	14	6
merged_cldn4_high_to_TNK	a_priori_cytotoxicity	HLA-DRB1	0.1619917727544498	0.008364169348592151	0.40228571428571425	0.1560474915878547	264	14	7
merged_cldn4_high_to_TNK	a_priori_cytotoxicity	ITGB2	0.15181451034048657	0.013537076133163663	0.35914285714285715	0.1620197822261425	264	14	8
merged_cldn4_high_to_TNK	a_priori_cytotoxicity	TIMP3	0.14800088385081794	0.016102374861432556	0.31514285714285717	0.12648102267764214	264	14	9
merged_cldn4_high_to_TNK	a_priori_cytotoxicity	MIF	0.14720736862204575	0.01668661732942499	0.4234285714285714	0.13517354769548404	264	14	10
merged_cldn4_high_to_TNK	a_priori_cytotoxicity	MICA	0.14164537189179954	0.021325965518436824	0.4411428571428571	0.2463000225473841	264	14	11
merged_cldn4_high_to_TNK	a_priori_cytotoxicity	BACE1	0.13298007131842152	0.030771147477342	0.3357142857142857	0.13569684560188947	264	14	12
merged_cldn4_high_to_TNK	a_priori_cytotoxicity	HLA-DPB1	0.12856807059926506	0.03682098468549682	0.39085714285714285	0.24418973788930265	264	14	13
merged_cldn4_high_to_TNK	a_priori_cytotoxicity	CX3CL1	0.12437173209272631	0.04348116784634555	0.3965714285714286	0.07894960384202475	264	14	14
merged_cldn4_high_to_TNK	a_priori_cytotoxicity	CD47	0.12038714175307089	0.050714284783497134	0.3617142857142857	0.14121291036803582	264	14	15
merged_cldn4_high_to_TNK	a_priori_cytotoxicity	CD58	0.11556448848102174	0.06078203943776948	0.3442857142857143	0.1311773484789883	264	14	16
merged_cldn4_high_to_TNK	a_priori_cytotoxicity	ICAM1	0.11175629754006003	0.06984855238058595	0.3588571428571429	0.10113268502038053	264	14	17
merged_cldn4_high_to_TNK	a_priori_cytotoxicity	HLA-DRB5	0.1054117621867859	0.0873812101818741	0.43685714285714283	0.22795671232229164	264	14	18
merged_cldn4_high_to_TNK	a_priori_cytotoxicity	S100A9	0.09792211908646453	0.11244171034909893	0.33399999999999996	0.13045088917885664	264	14	19
merged_cldn4_high_to_TNK	a_priori_cytotoxicity	CLEC2B	0.08678290255495433	0.15971871147201208	0.336	0.15438416186306278	264	14	20
merged_cldn4_high_to_TNK	a_priori_cytotoxicity	CRLF1	0.07880212463704311	0.20185199753619945	0.5311428571428571	0.14666196360188322	264	14	21
