gene,spearman_rank,spearman_r,spearman_p,pearson_r,pearson_p,mean_log2tpm1,spearman_q,pearson_q,pearson_rank
DCSTAMP,1,0.8256332560925939,4.0491807058828534e-127,0.8731191798700106,4.611987069781832e-159,5.213102837638967,1.082750920753075e-123,1.2332453424596618e-155,1
ERBB3,2,0.7789570882554094,5.144586586655184e-104,0.8266240286076192,1.1058852200666692e-127,4.635836312995782,6.878312266357982e-101,4.928561797430455e-125,6
TGFBR1,3,0.7627091591146692,2.9212360459042237e-97,0.7535193811947315,1.122199625387985e-93,5.605255689457888,2.603795062249298e-94,1.7651539989926305e-91,17
MET,4,0.7605932953543801,2.0192705080713393e-96,0.8028560968129246,4.550400531399438e-115,7.391939420815276,1.3498823346456904e-93,1.7382530029945853e-112,7
GJB3,5,0.7590195531747173,8.395635528493027e-96,0.8420497318367468,5.976027032529448e-137,4.0136594218504955,4.489985880638071e-93,5.326632094994581e-134,3
ITGA3,6,0.7587386999569522,1.0814235419474054e-95,0.7824939507364087,1.4605507575922732e-105,7.928842320713518,4.819544251945604e-93,3.5504661143652166e-103,11
TMPRSS6,7,0.7535799893768883,1.0640192071510642e-93,0.8356522564169765,5.450228224711548e-133,4.004487694299523,4.0645533713170654e-91,2.914782054575736e-130,5
QSOX1,8,0.7533155178871924,1.3421157662433937e-93,0.76880739341609,9.899950014971353e-100,5.734341726253932,4.486021948668543e-91,1.8908904528595283e-97,14
GABRB2,9,0.7417011887524156,2.7143683300132736e-89,0.8386801670568876,7.651765723001207e-135,3.60191325916739,8.06468990495055e-87,5.115205385826307e-132,4
CRLF2,10,0.7394375666671814,1.7618598500470668e-88,0.6821997975757333,2.0702861406201102e-70,1.5235584495747407,4.711213239025857e-86,1.1297847224526887e-68,48
MXRA8,11,0.7379985203489293,5.72776204458012e-88,0.7742420482273237,5.363589307239396e-102,7.506900646260327,1.3923668824733854e-85,1.1032490621198571e-99,13
ITGB8,12,0.7373742343178418,9.529204076505838e-88,0.7953251035126556,1.993561447016867e-111,2.6395260249501606,2.123424308381384e-85,5.923092565914558e-109,9
SLC34A2,13,0.7274746418741252,2.5248672579785864e-84,0.8638918987539959,6.26354296494282e-152,9.148193618351607,5.1934577291036465e-82,8.37435694412855e-149,2
GJB4,14,0.7145144290012174,4.592227377093102e-80,0.6279853659173318,9.497861774664352e-57,1.0396720719486052,8.771154290247825e-78,3.2148458715762628e-55,72
LY6G6C,15,0.7124419312147812,2.0951997539133788e-79,0.7138655074339223,7.39705076540062e-80,2.1664735139028366,3.735042761309583e-77,5.993852650509472e-78,33
CD109,16,0.710103743293584,1.1427227225996643e-78,0.6839193623406484,6.822393948683431e-71,2.9252715974067973,1.9097753501446888e-76,3.8006419622457277e-69,47
LY6E,17,0.7086702148475718,3.2062460136646637e-78,0.7955718715291189,1.5231411691210629e-111,7.517843465414695,5.0432363767878295e-76,5.091099357787153e-109,8
EPHB3,18,0.7073164459303073,8.44551508763302e-78,0.786603283950885,2.1401532844828607e-107,3.6577145730947,1.2546281857961498e-75,5.722769882707169e-105,10
ELFN2,19,0.698698783950482,3.5378888994716647e-75,0.5276019110759593,1.5613164501928025e-37,0.960526410328595,4.9791131143090696e-73,2.1192691308708397e-36,163
TMPRSS11E,20,0.6962973259250589,1.8315156662371423e-74,0.5957755015889433,7.714471364449612e-50,1.541918925352897,2.4487364457590596e-72,1.9278968624802115e-48,96
CD55,21,0.6950809987831081,4.1858921895864526e-74,0.7216691957026278,2.1894081251617982e-82,6.843453478238584,5.330036054740083e-72,2.018785285062982e-80,29
DSC2,22,0.6932309852079384,1.4600033952833902e-73,0.723694076944603,4.677116879386817e-83,2.9619061930306056,1.774567763176266e-71,4.810234821338596e-81,26
EPHA10,23,0.6909434427358137,6.754185807558029e-73,0.6864071171815992,1.3506640857413871e-71,2.0035251706703576,7.852475151917465e-71,7.851469054940151e-70,45
IL1RAP,24,0.6833265007399772,1.0012122915920808e-70,0.7512300112033052,8.28919085595513e-93,3.1368025695180863,1.1155173615488433e-68,1.2314053527124455e-90,18
EREG,25,0.6797228263560265,1.0107899971697706e-69,0.46452270395010087,2.1468923172954303e-28,0.7392147693228671,1.0811409809727867e-67,1.919996674397318e-27,235
GABRA6,26,0.6789327186984793,1.670680208099618e-69,0.5622512432462756,1.9750704031261476e-43,0.17692926661439787,1.7182303370993765e-67,3.827056708666173e-42,115
EMP2,27,0.6782162377728456,2.6314626102228256e-69,0.704644784571902,5.619589759225642e-77,4.784785864978343,2.6061225999021613e-67,3.9544165832024656e-75,37
PTPRF,28,0.6774067158268622,4.3898311837939496e-69,0.6892060503161853,2.1412852675034297e-72,6.767182020983787,4.192288780523222e-67,1.2723992900675935e-70,44
IL17RD,29,0.6769727904467465,5.771470582758887e-69,0.7293886896890545,5.652302504660862e-85,2.322097992707431,5.321693909757677e-67,6.870116771574157e-83,22
CLDN4,30,0.676289337008235,8.872564491736343e-69,0.6802105041194113,7.406586985533005e-70,8.371506145733573,7.908412483634326e-67,3.961042719863051e-68,49
MPZL2,31,0.6747845281422552,2.277625362515734e-68,0.7274544097477614,2.564955274282969e-84,7.364649347129972,1.9646355546345397e-66,2.7434761613730635e-82,25
