gene	tj_source	classical_tj	logFC	de_p	de_fdr	rho	p	I2	ci_lo	ci_hi	k	n	n_neg	n_cohorts	member_rhos	predicts_low_tnk	mwu_p	r_rb	delta_median	n_q1	n_q4	fdr_screen	predicts_low_tnk_fdr
GRHL2	GOBP_TJ_ORG	True	1.084433336391141	0.004200667401021024	0.6021706727308888	-0.05097678253900589	0.7129345854019006	0.0	-0.3120582549083659	0.21726335879082923	4	64	2	4	GSE123902:-0.352,GSE131907:0.013,GSE205335:0.183,GSE189357:-0.400	False	0.8081674695160228	-0.052631578947368474	0.05298710811373408	19	15	0.9796735419347636	False
LSR	GOBP_TJ_ORG	True	0.9239199734262054	0.006442570193732722	0.6137299886412091	-0.01506332340134218	0.9134948651644332	0.0	-0.2792491733462002	0.2512425449889785	4	64	3	4	GSE123902:-0.302,GSE131907:-0.055,GSE205335:0.209,GSE189357:-0.083	False	0.5554355294984896	-0.1228070175438597	-0.04179120885732207	19	15	0.9796735419347636	False
DSG2	CUSTOM_ADHESION	False	1.8279390218182459	0.0031259759000860994	0.5877666162074425	-0.01171018412624115	0.9617536431093872	65.11409459778542	-0.45450719214599555	0.4357275999398932	4	64	2	4	GSE123902:-0.593,GSE131907:-0.075,GSE205335:0.416,GSE189357:0.233	False	0.9723314014118226	0.010526315789473717	0.04331812992043621	19	15	0.9796735419347636	False
ERBB2	KEGG_TJ	True	1.0531740895269148	0.0025604875135587517	0.5872782932289088	0.00678638281046767	0.9796735419347636	70.67728292437154	-0.47405509215653374	0.4845099237987572	4	64	1	4	GSE123902:-0.632,GSE131907:0.132,GSE205335:0.471,GSE189357:0.017	False	0.8896575087576093	0.03157894736842115	0.002064304308321774	19	15	0.9796735419347636	False
JUP	CUSTOM_ADHESION	False	0.8938621843783674	0.00836839720537975	0.6407438021187916	0.014951417636539762	0.9141351135663245	0.0	-0.25134740761542496	0.2791459675352689	4	64	1	4	GSE123902:-0.379,GSE131907:0.051,GSE205335:0.190,GSE189357:0.067	False	0.8351458957928674	-0.04561403508771933	-0.057522923059054765	19	15	0.9796735419347636	False
EPHA2	GOBP_TJ_ORG	True	1.7122118586609667	0.0014157712741041607	0.5246344822209427	0.0379438655634882	0.7842778790084131	0.0	-0.22966994553465298	0.30022346404861017	4	64	2	4	GSE123902:-0.280,GSE131907:0.009,GSE205335:0.296,GSE189357:-0.133	False	1.0	0.0035087719298245723	-0.10992584938235828	19	15	0.9796735419347636	False
CLDN23	KEGG_TJ|GOBP_TJ_ORG	True	1.0383296563159474	0.0030847175766654865	0.5877666162074425	0.038745703771151455	0.8816493274793475	69.30999008443561	-0.4394755030432097	0.4998534718391663	4	64	2	4	GSE123902:-0.456,GSE131907:0.103,GSE205335:0.570,GSE189357:-0.283	False	0.466385669439333	0.15087719298245617	0.0683821015363914	19	15	0.9796735419347636	False
AMOTL2	KEGG_TJ	True	1.1983943304342022	0.006865309901231567	0.6137299886412091	0.15869461730207393	0.3196787202335294	22.42574597110737	-0.15395043067727443	0.4424546673189783	4	64	1	4	GSE123902:-0.275,GSE131907:0.099,GSE205335:0.445,GSE189357:0.217	False	0.3858817586602541	0.17894736842105252	0.1432747966256785	19	15	0.9796735419347636	False
SYNPO	KEGG_TJ	True	1.7027472570367546	0.0009981605739451825	0.5109783998225335	0.1703753115633335	0.21471916218344966	0.0	-0.09942039899381368	0.4168357879534478	4	64	1	4	GSE123902:0.198,GSE131907:0.027,GSE205335:0.412,GSE189357:-0.233	False	0.2670417925498	0.22807017543859653	0.09876330379590736	19	15	0.9796735419347636	False
PLEC	GOBP_TJ_ORG	True	1.420563684761073	0.008948266131412197	0.6407438021187916	0.1724946775892316	0.4987411693230339	68.63468548795517	-0.319054721239857	0.5909130119708322	4	64	2	4	GSE123902:-0.242,GSE131907:0.271,GSE205335:0.651,GSE189357:-0.333	False	0.17615419028970103	0.2771929824561403	0.11162464763658547	19	15	0.9796735419347636	False
NECTIN4	CUSTOM_ADHESION	False	1.513395198598114	0.001668728534913422	0.5246344822209427	0.18350527252344365	0.2791327256287266	0.0	-0.14940276754343831	0.4790456396277215	3	43	1	3	GSE123902:-0.099,GSE205335:0.226,GSE189357:0.483	False	0.8767870883365486	0.04615384615384621	-0.03288183778161369	13	10	0.9796735419347636	False
