gene,spearman_rank,spearman_r,spearman_p,pearson_r,pearson_p,mean_log2_expr,pct_expressed,spearman_q,pearson_q,pearson_rank
CLDN4,1,0.38305987618673043,8.118949404070895e-19,0.3767474014964529,3.3039334918914748e-18,13.004614688128775,100.0,1.2468682295918321e-15,1.1993945730540952e-15,6
SLC44A4,2,0.3823414182496568,9.53992524553812e-19,0.3783200798952638,2.3356836026510617e-18,13.708830382293762,100.0,1.2468682295918321e-15,1.0175794895549793e-15,5
CLDN3,3,0.3728211543320921,7.789161800581703e-18,0.3447866728321872,2.5530227228091322e-15,12.364779074446684,100.0,6.786956315573523e-15,3.925647880837101e-13,15
PVRL2,4,0.3656147578500959,3.64770074431521e-17,0.3385078396080311,8.647323457762739e-15,12.393438229376251,100.0,2.3837724364099898e-14,1.0763858818377048e-12,18
SEMA4B,5,0.34332155990993835,3.402200305373683e-15,0.37573141061083637,4.129514597355339e-18,10.863886921529184,100.0,1.111668949780851e-12,1.1993945730540952e-15,8
GPR108,6,0.3394655439366552,7.191871037983362e-15,0.356544404423765,2.411379409993663e-16,10.731375452716312,100.0,2.0888389881431673e-12,4.502389841231025e-14,13
EFNA1,7,0.33826808903757266,9.054727263512511e-15,0.3394308693080471,7.24010149441042e-15,11.38407987927566,100.0,2.3669057066821706e-12,9.46281265319442e-13,17
RPN1,8,0.3333739807884814,2.2973717489446084e-14,0.302701448675643,5.437375935185945e-12,13.021208450704224,100.0,5.0044414597843395e-12,3.4666587059941613e-10,29
SLC37A1,9,0.3227653228922094,1.6340237382049517e-13,0.3634862474458545,5.7129402165464e-17,10.842470824949705,100.0,3.0509557511912454e-11,1.1487404404655605e-14,12
SERINC2,10,0.3176657692051594,4.083964662450656e-13,0.3310740357042738,3.538166326742457e-14,11.883371830985917,100.0,7.116989085097343e-11,3.853652824210326e-12,21
LYPD3,11,0.31402639634139845,7.769544302890141e-13,0.3674360048599281,2.4782675806242498e-17,8.4787569416499,100.0,1.1891620795274226e-10,5.398492879793158e-15,11
SPINT2,12,0.31372694877025614,8.188568259943995e-13,0.30825091746439187,2.1177072596339374e-12,13.387768209255531,100.0,1.1891620795274226e-10,1.724528030696666e-10,24
PCDH1,13,0.31179910489429874,1.1467265385753482e-12,0.2976395124994631,1.2630114764165105e-11,10.79065352112674,100.0,1.4987715859179802e-10,7.024493615644166e-10,34
FURIN,14,0.31074020867636387,1.37828559279017e-12,0.28345615423660203,1.2284003374014232e-10,12.174843460764585,100.0,1.7156373997873832e-10,4.838102022518911e-09,42
CLDN7,15,0.31002965325167553,1.558697714148046e-12,0.21266293139670192,1.7193350256467341e-06,10.987445070422542,100.0,1.7714938368621708e-10,2.2930315086941648e-05,107
VIPR1,16,0.302276478238994,5.839735124343021e-12,0.3818446370392605,1.0662936028445617e-18,10.463521730382285,100.0,4.924215359687954e-10,5.574582955671369e-16,4
TSPAN1,17,0.30202865400934586,6.0876526459771886e-12,0.2741323961205042,5.118120339261663e-10,14.174945070422542,100.0,4.972851255182616e-10,1.7603640219513142e-08,50
LMAN2,18,0.30170982733695584,6.421767986652811e-12,0.29458151430621476,2.084856538004949e-11,11.99599939637828,100.0,5.08681864154862e-10,1.0685911745774386e-09,35
IL10RB,19,0.2976703631414407,1.2566031726271633e-11,0.30507676225847213,3.640532107498212e-12,9.939672434607663,100.0,8.422463316018986e-10,2.440089981794956e-10,27
TM9SF1,20,0.2964322403469687,1.540459124065371e-11,0.2994313618276198,9.389853810552741e-12,11.31261307847082,100.0,9.821366220260682e-10,5.335886491474971e-10,33
P2RX4,21,0.2924867891093409,2.9288026890387914e-11,0.28610852775591344,8.105173970661574e-11,9.811749899396382,100.0,1.6643239628581307e-09,3.4211131463573937e-09,40
TMEM179B,22,0.2889415931819448,5.1733880799286094e-11,0.275369989114411,4.2479631292960063e-10,10.570404627766603,100.0,2.6888049539368197e-09,1.5211199479424328e-08,47
TRPV6,23,0.2888541813367128,5.24594692619655e-11,0.34341093822732743,3.343267431582187e-15,11.663541046277663,100.0,2.6888049539368197e-09,4.599632140082019e-13,16
