term	es	nes	nom_p	n_set_in_rank	mean_stat	lead_genes	n_lead	cohort	contrast	n_high	n_low	bucket	expected	primary	source	enrichr_name	n	fdr_all	fdr_primary
HALLMARK_APICAL_JUNCTION	0.28100553055386357	1.3543671100434629	0.01998001998001998	193	0.29787938719212753	JUP,ITGB4,SRC,CLDN15,NF2,ACTN4,ADAM15,TUBG1,HRAS,PTK2,PARD6G,GRB7,NLGN2,ACTG1,MPZL2,BMP1,ADAMTS5,CTNND1,SHROOM2,CLDN4,COL16A1,BAIAP2,LIMA1,CD34,CLDN7	51	GSE126044	tacstd2_median	8	8	TJ	UP	True	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Apical Junction	200	0.02997002997002997	0.02997002997002997
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.18923097720951768	0.9226232822540076	0.4725274725274725	195	0.17497971692193318	SDC1,POSTN,NID2,COL5A3,GPC1,BMP1,IGFBP3,PDGFRB,ECM2,COL16A1,MCM7,COL7A1,IGFBP2,PTHLH,THY1,PRRX1,NT5E,WNT5A,COL3A1,GPX7,IGFBP4,LOXL1,SDC4,SFRP1,COL4A2	63	GSE126044	tacstd2_median	8	8	EMT	DOWN	True	Enrichr MSigDB_Hallmark_2020 (Liberzon Cell Syst 2015)	Epithelial Mesenchymal Transition	200	0.47252747252747246	0.47252747252747246
KEGG_TIGHT_JUNCTION	0.2752483731412068	1.2910807918765579	0.04295704295704296	164	0.23492261016056182	SRC,CLDN15,ARPC1A,NF2,SCRIB,ACTN4,F11R,PARD6G,ACTG1,CTTN,SLC9A3R1,RAC1,CLDN4,DLG3,LLGL1,CDK4,MAP2K7,CLDN7,TJP2,EPB41L4B,TUBA4A,PPP2R1A,TJP1,PRKCZ,AMOTL2	44	GSE126044	tacstd2_median	8	8	TJ	UP	True	Enrichr KEGG_2021_Human	Tight junction	169	0.05154845154845156	0.05154845154845156
GOBP_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	0.4416985826627872	1.6675522654360833	0.003996003996003996	44	0.544387422751363	TBCD,CLDN15,GRHL2,SLC39A9,CLDN4,CLDN7,CLDN1,POF1B,OCEL1,ARL2,CLDN20,CLDN16,RAMP2,PARD3,MARVELD2,CLDN2	16	GSE126044	tacstd2_median	8	8	TJ	UP	True	Enrichr GO_Biological_Process_2023	Bicellular Tight Junction Assembly (GO:0070830)	47	0.007992007992007992	0.007992007992007992
GOBP_EPIDERMAL_CELL_DIFFERENTIATION	0.6092854760284431	2.3832946925938567	0.000999000999000999	53	1.1256647353061477	EVPL,SPRR1A,OVOL1,HDAC1,BCR,SPRR1B,ST14,ANXA1,SPRR3,EPHA2,KRT10,KRT16,CERS3,IVL,JAG1,CSTA,SPINK5,TGM1,S100A7,DSP,SPRR2G,POU2F3,WNT5A	23	GSE126044	tacstd2_median	8	8	KERATIN_BARRIER	UP	True	Enrichr GO_Biological_Process_2023	Epidermal Cell Differentiation (GO:0009913)	54	0.0023976023976023976	0.0023976023976023976
GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION	-0.22042895749422192	-0.9051546059117378	0.23076923076923078	46	-0.030193687508377257	OLFM1,FOXF2,LIMS1,TGFB2,BMP2,TGFBR1,ROCK2,TBX3,HIF1A,NOG,RBPJ,ROCK1	12	GSE126044	tacstd2_median	8	8	EMT	DOWN	True	Enrichr GO_Biological_Process_2023	Epithelial To Mesenchymal Transition (GO:0001837)	47	0.2517482517482517	0.2517482517482517
GOBP_ESTABLISHMENT_OF_SKIN_BARRIER	0.5888278221987449	1.7635600571169419	0.004995004995004995	18	1.0349891903162476	KRT16,CLDN4,TP63,TMEM79,CLDN1,FLG2,SFN,ALOX12B,LSR,MET,FA2H	11	GSE126044	tacstd2_median	8	8	KERATIN_BARRIER	UP	True	Enrichr GO_Biological_Process_2023	Establishment Of Skin Barrier (GO:0061436)	19	0.008562865705722848	0.008562865705722848
GOBP_KERATINOCYTE_DIFFERENTIATION	0.6524327552534739	2.384329212379869	0.000999000999000999	41	1.2301314350401236	EVPL,SPRR1A,BCR,SPRR1B,ST14,ANXA1,SPRR3,EPHA2,KRT10,KRT16,CERS3,IVL,JAG1,CSTA,TGM1,S100A7,DSP,SPRR2G,POU2F3,WNT5A	20	GSE126044	tacstd2_median	8	8	KERATIN_BARRIER	UP	True	Enrichr GO_Biological_Process_2023	Keratinocyte Differentiation (GO:0030216)	42	0.0023976023976023976	0.0023976023976023976
GOBP_KERATINIZATION	0.4807480437022941	1.9958391478423358	0.000999000999000999	81	0.7374135378478243	KRT80,EVPL,ABCA12,SPRR1A,SPRR1B,SHARPIN,PPL,SPRR3,SPRR2D,SPRR2E,KRT16,CERS3,IVL,KRT78,TGM1,KRT6C,CNFN,TMEM79,KRT6A,KRT5,KRT6B,SPRR2G,KRT17	23	GSE126044	tacstd2_median	8	8	KERATIN_BARRIER	UP	True	MSigDB v2023.2.Hs (embedded; Enrichr GO_2023 lacks these exact terms)		83	0.0023976023976023976	0.0023976023976023976
GOBP_CORNIFICATION	0.5893686131673875	1.5028542387978823	0.03996003996003996	9	0.9161229519298879	CERS3,TMEM79,CASP14,LIPM,LIPK,CYP26B1,KLK5	7	GSE126044	tacstd2_median	8	8	KERATIN_BARRIER	UP	True	MSigDB v2023.2.Hs (embedded; Enrichr GO_2023 lacks these exact terms)		9	0.05154845154845156	0.05154845154845156
