col,ccle,TACSTD2,CLDN1,CLDN4,CLDN7,CLDN3,CLDN5,CLDN18,EPCAM,KRT8,KRT18,KRT19,CellLineName,StrippedCellLineName,ModelType,OncotreeLineage,OncotreePrimaryDisease,OncotreeSubtype,OncotreeCode,disease_group,is_lung_suffix
RERFLCMS_LUNG_TenPx01,RERFLCMS_LUNG,-0.745382022943137,,,-0.119296520930839,-0.18944395205621,,-0.0937396250977977,-1.74301631497979,,,,RERF-LC-MS,RERFLCMS,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,True
ABC1_LUNG_TenPx04,ABC1_LUNG,2.42004783204824,,1.35907839420605,1.59350458542826,1.51780388889893,,,1.8388421249794,,,,ABC-1,ABC1,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,True
NCIH358_LUNG_TenPx06,NCIH358_LUNG,2.02092051722455,-0.449375356705342,2.27815904368953,3.97785306702596,1.30011447603564,,-0.286030079198683,2.60957472940885,,,,NCI-H358,NCIH358,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,True
DMS273_LUNG_TenPx06,DMS273_LUNG,-1.24638140571614,-0.65451866975751,-1.3415908617903,-3.28983536254229,-0.552763118928624,,-0.678946706982348,-1.6755890993057,,,,DMS 273,DMS273,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NET,True
NCIH1299_LUNG_TenPx06,NCIH1299_LUNG,-0.834182839388835,0.343048632090064,-1.26831048249319,-3.16142170096503,-1.12174228500416,,0.232505719947867,-1.34664181959371,,,,NCI-H1299,NCIH1299,Cell Line,Lung,Non-Small Cell Lung Cancer,Large Cell Lung Carcinoma,LCLC,NSCLC,True
NCIH1048_LUNG_TenPx07,NCIH1048_LUNG,-1.13920343347137,0.033573478176521,-0.822462624743977,0.332962216884266,-0.575942267346645,,,0.127434905615609,,,,NCI-H1048,NCIH1048,Cell Line,Lung,Lung Neuroendocrine Tumor,Small Cell Lung Cancer,SCLC,NET,True
NCIH1693_LUNG_TenPx08,NCIH1693_LUNG,0.832171497546333,0.512822575951275,1.85390699585657,1.36576116731677,1.64084893860625,,,1.63114496719049,,,,NCI-H1693,NCIH1693,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,True
DMS114_LUNG_TenPx08,DMS114_LUNG,-1.32058734772584,0.1799986120526,-1.79906692198814,-2.58171370536218,-0.652512814362828,,,-1.57559490815122,,,,DMS 114,DMS114,Cell Line,Lung,SMARCA4-deficient undifferentiated tumor,SMARCA4-deficient undifferentiated tumor,,other,True
LUDLU1_LUNG_TenPx09,LUDLU1_LUNG,1.6576758653625,1.23330383109232,1.09732336115942,0.470700742669474,-1.02254546414397,,,1.191043288523,,,,LUDLU-1,LUDLU1,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Squamous Cell Carcinoma,LUSC,NSCLC,True
HCC827_LUNG_TenPx10,HCC827_LUNG,2.5252116126129,0.602749432203196,1.80847161075187,,1.940182052637,,,1.78701978754308,,,,HCC-827,HCC827,Cell Line,Lung,Non-Small Cell Lung Cancer,Lung Adenocarcinoma,LUAD,NSCLC,True
