patient	cohort	unit	malig_def	cldn4_pct	cldn4_mean	n_malignant	quartile	in_count_matrix
LX255B	GSE123902	donor	marker_malig	35.08771929824561	0.4488016514639581	228	Q2	True
LX653	GSE123902	donor	marker_malig	71.72413793103448	1.2524068271342224	145	Q4	True
LX661	GSE123902	donor	marker_malig	58.97435897435898	0.8576085684228482	117	Q3	True
LX666	GSE123902	donor	marker_malig	67.17557251908397	0.9923952117887151	786	Q3	True
LX675	GSE123902	donor	marker_malig	31.3915857605178	0.582960587751478	618	Q1	True
LX676	GSE123902	donor	marker_malig	42.17687074829932	0.831390019521496	147	Q2	True
LX679	GSE123902	donor	marker_malig	43.25955734406438	0.5643712240448416	497	Q2	True
LX680	GSE123902	donor	marker_malig	73.25581395348837	1.85907788462344	258	Q4	True
LX681	GSE123902	donor	marker_malig	63.29743164871583	1.1775350457817828	1207	Q3	True
LX682	GSE123902	donor	marker_malig	18.76484560570071	0.4613182340255857	421	Q1	True
LX684	GSE123902	donor	marker_malig	72.83236994219652	0.9118972941270772	173	Q4	True
LX699	GSE123902	donor	marker_malig	15.217391304347819	0.3141177643147814	46	Q1	True
LX701	GSE123902	donor	marker_malig	11.11111111111111	0.1116109679423314	90	Q1	True
BRONCHO_11	GSE131907	sample	author_malig	80.78817733990148	1.8059599708830327	203	Q2	True
BRONCHO_58	GSE131907	sample	author_malig	72.17391304347827	1.426353336223562	460	Q2	True
EBUS_06	GSE131907	sample	author_malig	71.16357504215851	1.3552293035869711	1186	Q2	True
EBUS_10	GSE131907	sample	author_malig	84.46866485013625	1.9049734855942484	367	Q3	True
EBUS_12	GSE131907	sample	author_malig	88.32684824902724	2.3549040610356684	257	Q3	True
EBUS_13	GSE131907	sample	author_malig	0.2659574468085106	0.0018434765440424	376	Q1	True
EBUS_15	GSE131907	sample	author_malig	47.265625	1.1294928392821784	256	Q1	True
EBUS_19	GSE131907	sample	author_malig	94.00921658986177	2.4779035334230066	217	Q4	True
EBUS_28	GSE131907	sample	author_malig	96.33620689655172	2.197978326433922	4640	Q4	True
EBUS_49	GSE131907	sample	author_malig	49.122807017543856	0.9512107328950752	114	Q1	True
EBUS_51	GSE131907	sample	author_malig	85.36964980544747	1.581328884787959	1285	Q3	True
NS_02	GSE131907	sample	author_malig	58.5635359116022	1.126727726322637	181	Q1	True
NS_03	GSE131907	sample	author_malig	93.14412089937338	2.264933208146411	2713	Q4	True
NS_04	GSE131907	sample	author_malig	89.34092758340114	1.9523515591538416	1229	Q4	True
NS_06	GSE131907	sample	author_malig	60.24096385542169	1.434511918266367	83	Q1	True
NS_07	GSE131907	sample	author_malig	90.407204385278	1.5931307483262624	5108	Q4	True
NS_12	GSE131907	sample	author_malig	86.33938100320171	1.728830943634575	2811	Q3	True
NS_13	GSE131907	sample	author_malig	72.41124260355029	0.9959480312401604	1352	Q2	True
NS_16	GSE131907	sample	author_malig	11.39240506329114	0.1031375586066322	79	Q1	True
NS_17	GSE131907	sample	author_malig	88.21942446043165	2.300820123330216	1112	Q3	True
NS_19	GSE131907	sample	author_malig	67.1523178807947	1.0082934839931024	755	Q2	True
P0031	GSE205335	patient	author_malig	59.24764890282132	0.9488405678584309	319	Q2	True
P1006	GSE205335	patient	author_malig	74.18096723868955	1.3380774788530891	1282	Q3	True
P1015	GSE205335	patient	author_malig	41.580756013745706	0.7684376084668274	291	Q1	True
P1016	GSE205335	patient	author_malig	82.64617691154422	1.4550707508198382	5336	Q4	True
P1017	GSE205335	patient	author_malig	64.31838975297347	1.4468339255966445	2186	Q3	True
P1018	GSE205335	patient	author_malig	67.03389830508475	1.456712726949631	1180	Q3	True
P1025	GSE205335	patient	author_malig	92.85714285714286	1.6940450124805284	980	Q4	True
P1027	GSE205335	patient	author_malig	78.07283763277694	2.119879172945015	1318	Q3	True
P1030	GSE205335	patient	author_malig	61.69154228855721	1.6170852017252315	603	Q3	True
P1037	GSE205335	patient	author_malig	86.05284663579407	0.954375637171382	3671	Q4	True
P1056	GSE205335	patient	author_malig	49.70662196144174	0.8104878252251735	2386	Q2	True
P1062	GSE205335	patient	author_malig	45.21276595744681	0.9858522627525454	188	Q1	True
P1063	GSE205335	patient	author_malig	35.11450381679389	0.736917035356666	131	Q1	True
P1072	GSE205335	patient	author_malig	58.86699507389162	0.9359386543482128	406	Q2	True
P1076	GSE205335	patient	author_malig	59.36395759717315	0.9238031801089972	849	Q2	True
P1079	GSE205335	patient	author_malig	51.38121546961326	0.9667483711478282	543	Q2	True
P1084	GSE205335	patient	author_malig	86.73469387755102	2.256213852289076	196	Q4	True
P1089	GSE205335	patient	author_malig	87.77046095954844	2.151441746784373	1063	Q4	True
P1090	GSE205335	patient	author_malig	38.16254416961131	0.6880064512464571	566	Q1	True
P1115	GSE205335	patient	author_malig	88.8829928362961	1.6229821464124854	3769	Q4	True
P1119	GSE205335	patient	author_malig	36.08837970540098	0.5610693021147378	1222	Q1	True
P4001	GSE205335	patient	author_malig	48.14814814814815	0.7331695459652892	27	Q1	False
