feature,analysis_family,n_responder,n_non_responder,mean_responder,sd_responder,median_responder,mean_non_responder,sd_non_responder,median_non_responder,mean_difference_R_minus_NR,mean_difference_ci95_low,mean_difference_ci95_high,geometric_mean_ratio_TPM_plus_1,hedges_g,welch_t_p_two_sided,mann_whitney_u,mann_whitney_p_exact_two_sided,auc_higher_value_predicts_response,auc_bootstrap_ci95_low,auc_bootstrap_ci95_high,odds_ratio_response_per_1sd,odds_ratio_ci95_low,odds_ratio_ci95_high,logistic_wald_p_two_sided,mann_whitney_bh_q_two_genes
TACSTD2,primary_gene,7,15,3.2947565087996558,1.7816674705543705,3.34624777408278,2.7749272201909436,1.4770710635212043,2.43562859405209,0.5198292886087121,-1.2039705510792982,2.2436291282967225,1.4337855808261932,0.3175875953995465,0.5169563003168512,65.0,0.4068627450980391,0.6190476190476191,0.3333333333333333,0.8666666666666667,1.4348231975633232,0.5505973966894693,3.739061645848887,0.46002141622288584,0.8137254901960782
CLDN4,primary_gene,7,15,1.5386100002805756,0.8966722137447831,1.31034012061215,1.4021359694405369,0.7556851371389983,1.51096191927738,0.13647403084003873,-0.7330330819189493,1.0059811435990267,1.0992153308806665,0.1639928855527045,0.7342286802783441,54.0,0.9452106201332205,0.5142857142857142,0.23809523809523808,0.780952380952381,1.1984685649321032,0.4800772739954724,2.9918660576796237,0.6981147843865237,0.9452106201332205
two_gene_z_mean,exploratory_composite,7,15,0.17319376352197594,1.0648821049264363,0.018114667139944918,-0.08082375631025555,0.821289803986754,-0.12040998232959839,0.2540175198322315,-0.7672195892590825,1.2752546289235454,,0.2711299556611467,0.5895393850874479,64.0,0.44747396566282005,0.6095238095238096,0.3333333333333333,0.8571428571428571,1.3497859503917853,0.5339795348271023,3.411969922152498,0.5261178096010397,
