gene,spearman_rank,spearman_r,spearman_p,pearson_r,pearson_p,mean_log2_expr,pct_expressed,spearman_q,pearson_q,pearson_rank
NECTIN4,1,0.465363140777703,7.452078889496834e-31,0.5741571417405015,1.8385535619797344e-49,3.746486256846959,100.0,2.050066902500579e-27,5.0578608490062495e-46,1.0
SLC52A3,2,0.41164477695307444,7.257193597556355e-24,0.4475781007535119,2.1156907178239737e-28,2.2096877275155355,100.0,9.982269793438767e-21,1.940088388244584e-25,3.0
TGFA,3,0.40951454976076224,1.29681857059969e-23,0.37742046090474135,4.991939057556201e-20,2.398143057746196,100.0,1.1891826292399157e-20,9.155216231558073e-18,14.0
PLB1,4,0.3610670483609286,2.388381026260704e-18,0.3020831915106549,4.776007913320611e-13,0.7257667135834448,100.0,1.6426090508107994e-15,2.5380581741190994e-11,47.0
CLCA4,5,0.35872467922067447,4.0824324234793246e-18,0.2611073808152875,5.228783656591675e-10,0.30241854713044486,81.23861566484517,2.2461543193983244e-15,1.4384383839283697e-08,90.0
SLC34A2,6,0.35767619959315544,5.182123581739743e-18,0.4687687218751031,2.4314106202384967e-31,5.5278208819590375,100.0,2.3760036622276723e-15,3.3444053081380523e-28,2.0
BACE2,7,0.35622381527371355,7.200587419061023e-18,0.4119525947274158,6.670966755118961e-24,3.774816815023706,100.0,2.8298308556909817e-15,3.493179379497942e-21,5.0
CDCP1,8,0.34742971225101504,5.090807269405427e-17,0.37204498882474324,1.824137708302344e-19,3.8368178339633117,100.0,1.7506013497667913e-14,2.787890464188749e-17,17.0
EMP2,9,0.3433748217494103,1.2289382236605242e-16,0.3545179089732454,1.0573720162756248e-17,3.804121192187279,100.0,3.756454503655669e-14,1.3851573413210684e-15,20.0
PODXL,10,0.3402678212059569,2.393530917529974e-16,0.3599273451207051,3.101864767710612e-18,4.939085851075167,100.0,6.584603554124959e-14,4.2666149879859466e-16,19.0
ITGB4,11,0.3370538216918497,4.732705767045603e-16,0.38448433936214327,8.761922089004147e-21,4.66175189741119,100.0,1.1836066877402229e-13,2.1912770606227643e-18,11.0
PLAUR,12,0.3269072620468282,3.8665928374641986e-15,0.3158061776006865,3.5232644015625683e-14,3.613990244490312,100.0,8.864164079886674e-13,2.3640244801703966e-12,39.0
MPZL2,13,0.32633100768963436,4.3463248887199406e-15,0.4114669683123178,7.618711841871192e-24,4.16650660662695,100.0,9.19749212989889e-13,3.493179379497942e-21,6.0
ECE1,14,0.3252829600298788,5.373100873556118e-15,0.3023142533133825,4.576043001542349e-13,4.996089260947707,100.0,1.0558143216537771e-12,2.5177388594486006e-11,46.0
CD59,15,0.3230396582795769,8.436630941391655e-15,0.3256908208963298,4.947940665100324e-15,4.3198375727293055,100.0,1.4052724470972028e-12,3.6788607485651326e-13,35.0
PSCA,16,0.322896010451773,8.682817060647975e-15,0.2897526902381795,4.431150518380382e-12,1.2511985643445325,97.81420765027322,1.4052724470972028e-12,1.8194171755320045e-10,63.0
TPBG,17,0.3228953408682977,8.683980952618119e-15,0.28022044647666944,2.306004431527654e-11,3.848789930269977,100.0,1.4052724470972028e-12,8.030149609028578e-10,72.0
RAET1L,18,0.32190819582990315,1.0577436114096703e-14,0.24013477990334842,1.2173036637876954e-08,0.49364085532921415,89.43533697632058,1.6165848194377794e-12,2.3418198455104546e-07,121.0
MUC1,19,0.3201495389457577,1.5004214321544562e-14,0.4077673810929667,2.081164707423583e-23,6.499161084692292,100.0,2.1724522946615312e-12,8.178977300174681e-21,7.0
UNC93A,20,0.31652687255205125,3.0608828609055017e-14,0.22192652582992245,1.4906921675854168e-07,0.5944740372347953,94.1712204007286,4.210244375175517e-12,2.2532385456194956e-06,149.0
SLC28A3,21,0.3152615146187633,3.9175136908618234e-14,0.3009998696927682,5.833542899804303e-13,0.9724710025207217,99.4535519125683,5.131942935028989e-12,2.917832094065752e-11,51.0
CLDN4,22,0.31385954797466104,5.142202604237186e-14,0.4424891820466923,1.0028089627308535e-27,6.427371235416208,100.0,6.325292740545516e-12,6.896818641181445e-25,4.0
GJB3,23,0.3137147186459008,5.288321811433911e-14,0.3116041709704572,7.941352412506897e-14,1.9208952963987214,99.27140255009107,6.325292740545516e-12,4.965150110637835e-12,41.0
SCNN1G,24,0.3130011724528863,6.069789382609694e-14,0.3220550926809556,1.02719536753885e-14,2.569961009158514,98.90710382513662,6.957496079816361e-12,7.436353831840464e-13,36.0
RHBDL2,25,0.31220590339478893,7.074483938191045e-14,0.3377075847061055,4.122542663471532e-16,1.1796007019431032,99.81785063752277,7.784762125585425e-12,3.910729264555236e-14,28.0
CD74,26,0.3113276839231129,8.373791627399482e-14,0.29813255403816674,9.86514068390795e-13,8.810900253742133,100.0,8.860115679606144e-12,4.773989264646483e-11,52.0
MUC21,27,0.3098664362738821,1.1071955992137885e-13,0.22469734558690485,1.031885429922482e-07,0.1954001341861759,77.41347905282332,1.1281092938656045e-11,1.6408767732466752e-06,141.0
CD9,28,0.30668037319467256,2.024800738961807e-13,0.35248654383633643,1.6657366451965937e-17,5.802971160881172,100.0,1.9893667260299753e-11,1.9093506295565955e-15,23.0
QSOX1,29,0.3042153012716612,3.213936458136071e-13,0.30113257141589556,5.692605214812743e-13,5.340126229198282,100.0,3.048806619424942e-11,2.900066101101825e-11,50.0
GJB2,30,0.3016644783662486,5.160396314160454e-13,0.31256955944245113,6.596311911470544e-14,3.0472999545766637,100.0,4.7320834200851364e-11,4.220105597315225e-12,40.0
ITGB6,31,0.3010069276166039,5.825961669720999e-13,0.31747120321961675,2.5441237428199516e-14,2.332610813801207,99.81785063752277,5.170071146258861e-11,1.7497211041244217e-12,38.0
APCDD1,32,0.30000054934894993,7.010394393092586e-13,0.3383971833452277,3.562709672412484e-16,4.225446158757287,100.0,6.026748429811782e-11,3.500362253145266e-14,27.0
FURIN,33,0.2992670996189005,8.019050277467913e-13,0.30128738235038693,5.53239596999471e-13,5.421687570922575,100.0,6.684971913125524e-11,2.8716266629161224e-11,49.0
GPRC5A,34,0.2986587183308495,8.96236519391317e-13,0.31100530272832694,8.907211138802211e-14,3.573578623586704,100.0,7.251607837780921e-11,5.445275076187752e-12,42.0
FZD10,35,0.2978881539296819,1.031418112204809e-12,0.3324390143212947,1.2422469623324925e-15,3.0485110732285206,100.0,8.106946361929799e-11,1.0679441854302146e-13,30.0
