ligand	n_patients	n_cohorts	median_delta	mean_delta	paired_p	frac_patients_expressed_high	paired_fdr	pearson	pearson_p	n_background	receptor_score	scaled_delta	scaled_activity	scaled_receptor	scaled_frac	prioritization_score	rank	receptors	activity_ifn	auroc_ifn	activity_cyto	activity_exh
COPA	60	3	0.0766604021191597	0.10673167109489441	1.8052113765605007e-09	1.0	6.593841703111054e-08	0.29537686123283224	0.004256601492664128	92	2.255017717679342	0.36449801655391667	0.8911956799447159	0.9712552037171465	1.0	0.8067372250539447	1	CD74,MTNR1B,NTRK1,NTSR2,P2RY6,SORT1	0.12382070220621764	0.8058628318584071	-0.07969607875623243	-0.07836871938522039
APP	60	3	0.13815899938344955	0.2294304515661982	3.2443940549068886e-09	0.9666666666666667	9.456221696618859e-08	0.14558506035018431	0.16614422493225836	92	2.255017717679342	0.49979738374734733	0.6506024946886764	0.9712552037171465	0.9555555555555556	0.7693026594271815	2	BACE1,CD74,FLT1,FPR2,GPC1,LRP1	0.08876291555877007	0.7853982300884956	0.10009778733783688	-0.05262206578376445
CD59	60	3	0.1327420175075531	0.2103464571138223	3.784174323743986e-07	1.0	4.522088316874063e-06	0.15781442372309287	0.13298389838635793	92	1.7419434388478596	0.48787980753406596	0.6702451017619883	0.750269772293871	1.0	0.7270986703974813	3	CD2,SIGLEC1,STAB1	0.11243857548189444	0.8263274336283186	-0.052960200643753376	-0.06703981251008491
HMGB1	60	3	-0.0009732246398925781	-0.04184093276659648	0.5029177955295423	1.0	0.6503554451310293	0.1319844075584955	0.2097926945755841	92	2.2099717458089194	0.19370094083703773	0.6287573445707642	0.9518535226382641	1.0	0.6935779520115165	4	AGER,CD163,CXCR4,HAVCR2,SDC1,THBD	0.21362635887127573	0.7925884955752213	0.05647411835334043	-0.02221562536043296
CD9	60	3	0.32375654578208923	0.4127665051569541	4.019475902109398e-11	1.0	7.211133406331625e-09	0.2191345766931828	0.035842691639433766	92	0.14191265652577081	0.9081193894099151	0.7687365467978864	0.061122981448600115	1.0	0.6844947294141004	5	ADAM2,CD36,CLDN1,IGSF8,KIT	0.023306042970527716	0.8091814159292035	0.10697922302179426	-0.04141576485015877
NECTIN2	31	2	0.23948606848716736	0.24026861173972006	1.862645149230957e-09	0.967741935483871	6.593841703111054e-08	0.18444544585891332	0.07839350542093758	92	0.7596933941046397	0.7227209777665995	0.7130194218818243	0.3272063702510535	0.956989247311828	0.6799840043028262	6	CD226,CD96,NECTIN2,NECTIN3,NECTIN4,PVR	0.19106184053096967	0.8462389380530972	-0.1654126496301826	-0.0730824745570472
LAMB2	60	3	0.03292214870452881	0.05194493343005888	3.8169685741811265e-08	0.8666666666666667	6.424334431192177e-07	0.1291578834870671	0.2198046675365542	92	2.32175612449646	0.26827211429936704	0.6242174269948977	1.0	0.8222222222222223	0.6786779408791218	7	ITGA3,ITGA6,ITGB1,ITGB4,RPSA,RPSAP58	0.2094166714873285	0.8191371681415929	-0.0681586383268701	-0.10354562084681704
CD58	60	3	0.019266370683908463	0.03694948207121342	3.9948989575036536e-05	0.85	0.0002637516162550755	0.30821737176944175	0.0027986905975278856	92	1.7419434388478596	0.23822885791770093	0.9118199017787063	0.750269772293871	0.7999999999999999	0.6750796329975696	8	CD2,PTPRT	0.3443804385530899	0.8351769911504425	0.19984403161008826	-0.0415231396885045
CD47	60	3	0.14328449964523315	0.16416900157928466	1.7252657716459867e-07	1.0	2.4155189554262594e-06	0.3631177451965599	0.0003743687930941303	92	0.3887416422367096	0.5110736887822227	1.0	0.16743431324899358	1.0	0.669627000507804	9	PCSK4,SCN1B,SIGLEC1,SIRPA,SIRPG	0.08145137654353547	0.75	0.21164629787045428	-0.05359075795251113
F11R	60	3	0.18399015069007874	0.24178713783621789	2.2059707532770726e-11	1.0	5.272270100332204e-09	0.11400062704484733	0.27923598114616643	92	1.0580961505572002	0.6006277448511114	0.5998720850890796	0.4557309613156201	1.0	0.6640576978139527	10	F11R,ITGAL,ITGB2,JAM2,JAM3,ROBO3	0.19380121171073195	0.7925884955752214	-0.05569043481939833	-0.08679719173459317
