interaction_name	direction	pathway_name	annotation	ligand	receptor	ligand_genes	receptor_genes	ligand_class	n_q1_detected	n_q4_detected	n_compared	n_q1_cohorts	n_q4_cohorts	median_prob_q1	median_prob_q4	delta_median	p	r_rb	sig_p05
MDK_NCL	outgoing	MK	Secreted Signaling	MDK	NCL	MDK	NCL	other	24	23	47	4	4	0.5229166237971214	0.72314804859317	0.2002314247960485	0.0011727935534334146	0.5543478260869565	True
APP_CD74	outgoing	APP	Cell-Cell Contact	APP	CD74	APP	CD74	other	23	23	46	4	4	0.491081916322755	0.6659733007433509	0.17489138442059593	0.014745133678053244	0.42155009451795844	True
NECTIN2_CD226	outgoing	NECTIN	Cell-Cell Contact	NECTIN2	CD226	NECTIN2	CD226	barrier|inhibitory	9	3	12	2	2	0.029529372101428034	0.10389156616696092	0.07436219406553289	0.01818181818181818	0.9259259259259258	True
ICAM1_SPN	outgoing	ICAM	Cell-Cell Contact	ICAM1	SPN	ICAM1	SPN	other	19	15	34	4	4	0.09488380091325317	0.18660560804255796	0.09172180712930479	0.01834702603754914	0.48070175438596485	True
LGALS9_P4HB	outgoing	GALECTIN	Secreted Signaling	LGALS9	P4HB	LGALS9	P4HB	inhibitory	14	15	29	3	4	0.031240156592191773	0.19952528072813913	0.16828512413594737	0.04705744628217285	0.4380952380952381	True
JAM1_ITGAL_ITGB2	outgoing	JAM	Cell-Cell Contact	F11R	ITGAL_ITGB2	F11R	ITGAL|ITGB2	barrier	17	10	27	4	4	0.15459185362466835	0.4265246611004298	0.27193280747576143	0.047336055102535496	0.47058823529411775	True
SPP1_CD44	outgoing	SPP1	Secreted Signaling	SPP1	CD44	SPP1	CD44	other	14	9	23	4	3	0.5847647482464363	0.08882148011079415	-0.49594326813564216	0.05469145227353499	-0.4920634920634921	False
CDH1_KLRG1	outgoing	CDH1	Cell-Cell Contact	CDH1	KLRG1	CDH1	KLRG1	barrier|inhibitory	12	9	21	4	4	0.021119789813564587	0.05904991192790176	0.037930122114337175	0.059663381250402686	0.5	False
CLEC2B_KLRB1	outgoing	CLEC	Cell-Cell Contact	CLEC2B	KLRB1	CLEC2B	KLRB1	other	17	13	30	4	4	0.031074182856957233	0.09017892919368878	0.059104746336731545	0.07191982029621005	0.39366515837104066	False
MDK_ITGA4_ITGB1	outgoing	MK	Secreted Signaling	MDK	ITGA4_ITGB1	MDK	ITGA4|ITGB1	other	20	13	33	4	4	0.21149943980245947	0.4117872002195317	0.20028776041707222	0.09366120252602836	0.3538461538461539	False
LGALS9_CD44	outgoing	GALECTIN	Secreted Signaling	LGALS9	CD44	LGALS9	CD44	inhibitory	15	17	32	4	4	0.10144540859391951	0.3291797137267322	0.2277343051328127	0.09660086735923616	0.34901960784313735	False
CLEC2C_KLRB1	outgoing	CLEC	Cell-Cell Contact	CD69	KLRB1	CD69	KLRB1	other	9	3	12	4	2	0.1244471873050904	0.006427195302720525	-0.11801999200236987	0.09999999999999999	-0.7037037037037037	False
HLA-E_CD94:NKG2C	outgoing	MHC-I	Cell-Cell Contact	HLA-E	CD94:NKG2C	HLA-E	KLRC2|KLRD1	inhibitory	3	3	6	2	2	0.5207527590915892	0.13429266891204544	-0.3864600901795438	0.1	-1.0	False
HLA-E_KLRC2	outgoing	MHC-I	Cell-Cell Contact	HLA-E	KLRC2	HLA-E	KLRC2	inhibitory	3	3	6	2	2	0.3427966847962325	0.035524104704409476	-0.307272580091823	0.1	-1.0	False
ICAM1_ITGAL_ITGB2	outgoing	ICAM	Cell-Cell Contact	ICAM1	ITGAL_ITGB2	ICAM1	ITGAL|ITGB2	other	16	8	24	4	4	0.11690772057703598	0.2397466654711502	0.12283894489411422	0.12004008315759561	0.40625	False
ICAM1_ITGAL	outgoing	ICAM	Cell-Cell Contact	ICAM1	ITGAL	ICAM1	ITGAL	other	17	8	25	4	4	0.04106986402140848	0.18179463367272475	0.14072476965131628	0.13984605783232787	0.38235294117647056	False
MIF_CD74_CD44	outgoing	MIF	Secreted Signaling	MIF	CD74_CD44	MIF	CD44|CD74	other	22	21	43	4	4	0.7903517457011955	0.6855223055764452	-0.10482944012475026	0.14157886335524383	-0.2640692640692641	False
JAG1_NOTCH1	outgoing	NOTCH	Cell-Cell Contact	JAG1	NOTCH1	JAG1	NOTCH1	other	5	5	10	2	2	0.0012173188679381526	0.011589310785236102	0.01037199191729795	0.15079365079365079	0.6000000000000001	False
MIF_CD74_CXCR4	outgoing	MIF	Secreted Signaling	MIF	CD74_CXCR4	MIF	CD74|CXCR4	other	21	21	42	4	4	0.8608196826112748	0.7667964358795519	-0.09402324673172291	0.16649147398308384	-0.2517006802721088	False
HLA-E_KLRK1	outgoing	MHC-I	Cell-Cell Contact	HLA-E	KLRK1	HLA-E	KLRK1	inhibitory	6	4	10	1	1	0.40565600442463423	0.16790767785084718	-0.23774832657378706	0.17142857142857143	-0.5833333333333333	False
HLA-E_CD94:NKG2A	outgoing	MHC-I	Cell-Cell Contact	HLA-E	CD94:NKG2A	HLA-E	KLRC1|KLRD1	inhibitory	7	3	10	4	2	0.28223649632678427	0.1553419439679988	-0.12689455235878547	0.18333333333333335	-0.6190476190476191	False
COL1A1_ITGA1_ITGB1	outgoing	COLLAGEN	ECM-Receptor	COL1A1	ITGA1_ITGB1	COL1A1	ITGB1|ITGA1	other	5	4	9	3	2	0.07633984562523372	0.015579791500866072	-0.06076005412436764	0.19047619047619047	-0.6	False
SFTPD_ADGRE5	outgoing	ADGRE	Cell-Cell Contact	SFTPD	ADGRE5	SFTPD	ADGRE5	other	3	9	12	3	4	0.4645979967089058	0.08534306220635711	-0.37925493450254866	0.20909090909090908	-0.5555555555555556	False
LAMA3_CD44	outgoing	LAMININ	ECM-Receptor	LAMA3	CD44	LAMA3	CD44	other	15	7	22	4	4	0.07402354314228898	0.18265422887074512	0.10863068572845613	0.21006895581198984	0.35238095238095246	False
LAMC1_CD44	outgoing	LAMININ	ECM-Receptor	LAMC1	CD44	LAMC1	CD44	other	20	19	39	4	4	0.07110931319334614	0.10890963317301804	0.0378003199796719	0.21117462071537185	0.23684210526315796	False
LAMB1_CD44	outgoing	LAMININ	ECM-Receptor	LAMB1	CD44	LAMB1	CD44	other	12	6	18	4	4	0.02744157923563332	0.06943329833818723	0.041991719102553914	0.21288515406162467	0.38888888888888884	False
JAG2_NOTCH1	outgoing	NOTCH	Cell-Cell Contact	JAG2	NOTCH1	JAG2	NOTCH1	other	3	4	7	2	2	0.0010384614092268961	0.005660144650962345	0.004621683241735449	0.22857142857142856	0.6666666666666667	False
LAMB2_CD44	outgoing	LAMININ	ECM-Receptor	LAMB2	CD44	LAMB2	CD44	other	15	14	29	4	4	0.050408788813454855	0.1278509472258556	0.07744215841240075	0.23006229802639666	0.2666666666666666	False
TNFSF15_TNFRSF25	outgoing	VEGI	Secreted Signaling	TNFSF15	TNFRSF25	TNFSF15	TNFRSF25	other	4	7	11	3	4	0.00044032129353745457	0.002957726745325144	0.002517405451787689	0.2303030303030303	0.5	False
COL4A4_CD44	outgoing	COLLAGEN	ECM-Receptor	COL4A4	CD44	COL4A4	CD44	other	6	7	13	3	4	0.1125196596123077	0.028506283243030322	-0.08401337636927737	0.23426573426573427	-0.4285714285714286	False
LGALS9_HAVCR2	outgoing	GALECTIN	Secreted Signaling	LGALS9	HAVCR2	LGALS9	HAVCR2	inhibitory	9	5	14	3	3	0.018452953885079303	0.0012319597258875772	-0.017220994159191726	0.23976023976023977	-0.4222222222222223	False
