cohort	patient	split	eligible	reason	n_malignant	n_tnk	n_high	n_low	mean_CLDN4_high	mean_CLDN4_low
GSE131907	P2007	q4q1	False	floor	0	0	0	0		
GSE131907	P2008	q4q1	False	floor	0	0	0	0		
GSE131907	P2011	q4q1	False	floor	0	0	0	0		
GSE131907	P2012	q4q1	False	floor	0	0	0	0		
GSE131907	P3002	q4q1	False	thin_bins	181	977	0	0		
GSE131907	P3003	q4q1	True	ok	2713	145	678	679	2.806635856628418	0.973939061164856
GSE131907	P3004	q4q1	True	ok	1229	131	307	308	2.0750129222869873	0.4539503753185272
GSE131907	P3006	q4q1	False	thin_bins	83	383	0	0		
GSE131907	P3007	q4q1	True	ok	5108	166	1277	1277	2.6088082790374756	0.6886262893676758
GSE131907	P3012	q4q1	True	ok	2811	22	703	703	2.6243090629577637	0.4953920543193817
GSE131907	P3013	q4q1	False	thin_bins	1352	1780	0	0		
GSE131907	P3016	q4q1	False	thin_bins	79	385	0	0		
GSE131907	P3017	q4q1	True	ok	1112	410	278	278	3.14312481880188	0.7845639586448669
GSE131907	P3019	q4q1	False	thin_bins	755	370	0	0		
GSE205335	P0031	median	True	ok	319	5182	160	159	1.7445602416992188	0.14811651408672333
GSE205335	P1006	median	True	ok	1282	2998	641	641	2.096580743789673	0.579574465751648
GSE205335	P1015	median	True	ok	291	473	121	170	1.8480607271194458	0.0
GSE205335	P1016	median	True	ok	5336	763	2668	2668	2.233929395675659	0.6762121319770813
GSE205335	P1017	median	True	ok	2186	2370	1093	1093	2.6173486709594727	0.27631908655166626
GSE205335	P1018	median	True	ok	1180	2546	590	590	2.4544496536254883	0.4589758515357971
GSE205335	P1025	median	True	ok	980	128	490	490	2.24580979347229	1.1422804594039917
GSE205335	P1027	median	True	ok	1318	2619	659	659	3.082699775695801	1.1570587158203125
GSE205335	P1030	median	True	ok	603	140	302	301	2.847838878631592	0.3822425603866577
GSE205335	P1037	median	True	ok	3671	611	1837	1834	1.4289727210998535	0.4790021777153015
GSE205335	P1056	median	True	ok	2386	1354	1186	1200	1.6305429935455322	0.0
GSE205335	P1062	median	True	ok	188	1934	85	103	2.1804730892181396	0.0
GSE205335	P1063	median	True	ok	131	3144	46	85	2.09861159324646	0.0
GSE205335	P1072	median	True	ok	406	586	203	203	1.7771579027175903	0.0947195366024971
GSE205335	P1076	median	True	ok	849	2089	425	424	1.7084521055221558	0.13730359077453613
GSE205335	P1079	median	True	ok	543	501	272	271	1.919776201248169	0.01020380575209856
GSE205335	P1084	median	True	ok	196	2350	98	98	3.133726119995117	1.3787014484405518
GSE205335	P1089	median	True	ok	1063	272	532	531	2.8693981170654297	1.4321333169937134
GSE205335	P1090	median	True	ok	566	247	216	350	1.802831768989563	0.0
GSE205335	P1115	median	True	ok	3769	271	1885	1884	2.2163925170898438	1.029256820678711
GSE205335	P1119	median	True	ok	1222	621	441	781	1.5547090768814087	0.0
GSE205335	P2001	median	False	floor	0	2365	0	0		
GSE205335	P2009	median	False	floor	0	606	0	0		
GSE205335	P2016	median	False	floor	0	3652	0	0		
GSE205335	P3032	median	False	floor	0	252	0	0		
GSE205335	P4001	median	True	ok	27	1801	13	14	1.5227367877960205	0.0
GSE205335	P0031	q4q1	False	thin_bins	319	5182	0	0		
GSE205335	P1006	q4q1	False	thin_bins	1282	2998	0	0		
GSE205335	P1015	q4q1	False	thin_bins	291	473	0	0		
GSE205335	P1016	q4q1	True	ok	5336	763	1334	1334	2.6451823711395264	0.17274975776672363
GSE205335	P1017	q4q1	False	thin_bins	2186	2370	0	0		
GSE205335	P1018	q4q1	False	thin_bins	1180	2546	0	0		
GSE205335	P1025	q4q1	True	ok	980	128	244	245	2.4931604862213135	0.689862072467804
GSE205335	P1027	q4q1	True	ok	1318	2619	330	330	3.3839807510375977	0.14977382123470306
GSE205335	P1030	q4q1	False	thin_bins	603	140	0	0		
GSE205335	P1037	q4q1	True	ok	3671	611	918	918	1.70792555809021	0.19676996767520905
GSE205335	P1056	q4q1	False	thin_bins	2386	1354	0	0		
GSE205335	P1062	q4q1	False	thin_bins	188	1934	0	0		
GSE205335	P1063	q4q1	False	thin_bins	131	3144	0	0		
GSE205335	P1072	q4q1	False	thin_bins	406	586	0	0		
GSE205335	P1076	q4q1	False	thin_bins	849	2089	0	0		
GSE205335	P1079	q4q1	False	thin_bins	543	501	0	0		
GSE205335	P1084	q4q1	True	ok	196	2350	49	49	3.5116467475891113	0.6054615378379822
GSE205335	P1089	q4q1	True	ok	1063	272	266	266	3.208254337310791	0.7644504308700562
GSE205335	P1090	q4q1	False	thin_bins	566	247	0	0		
GSE205335	P1115	q4q1	True	ok	3769	271	942	943	2.499764919281006	0.5604032278060913
GSE205335	P1119	q4q1	False	thin_bins	1222	621	0	0		
GSE205335	P2001	q4q1	False	floor	0	2365	0	0		
GSE205335	P2009	q4q1	False	floor	0	606	0	0		
GSE205335	P2016	q4q1	False	floor	0	3652	0	0		
GSE205335	P3032	q4q1	False	floor	0	252	0	0		
GSE205335	P4001	q4q1	False	thin_bins	27	1801	0	0		
