panel,symbol,role,on_platform,scored_ge2_arrays,n_probes,n_arrays,raw_symbols,mapping,mapped_via,GSM558700,GSM558701,GSM558702,mean_log2_KD_over_ctrl,median_log2_KD_over_ctrl,t_1samp,p_1samp,q_BH_within_panel,direction_median
NHEJ,XRCC6,Ku70; DNA end binding,yes,yes,1,3,G22P1,synonym:G22P1,ORF,-1.7370,0.0704,-1.5564,-1.0743,-1.5564,-1.8693,0.2025,0.6787,DOWN
NHEJ,XRCC5,Ku80; DNA end binding,yes,yes,1,3,XRCC5,current_symbol,ORF,-1.1844,0.4222,-0.8365,-0.5329,-0.8365,-1.0920,0.3888,0.6787,DOWN
NHEJ,PRKDC,DNA-PKcs,yes,yes,2,3,PRKDC,current_symbol,ORF,0.4343,-0.1288,0.7728,0.3594,0.4343,1.3668,0.3051,0.6787,UP
NHEJ,XRCC4,XRCC4-LIG4 complex,yes,yes,1,3,XRCC4,current_symbol,ORF,-2.9434,0.2630,2.4931,-0.0624,0.2630,-0.0396,0.972,0.9720,UP
NHEJ,LIG4,XRCC4-LIG4 complex,yes,yes,1,3,LIG4,current_symbol,ORF,-0.6439,2.4568,0.0000,0.6043,0.0000,0.6397,0.5879,0.6787,ZERO
NHEJ,NHEJ1,XLF; XRCC4-LIG4 complex,no,no,0,0,,absent,,,,,,,,,,NA
NHEJ,PAXX,XRCC4-LIG4 complex,no,no,0,0,,absent,,,,,,,,,,NA
NHEJ,DCLRE1C,Artemis; end processing,yes,yes,2,3,DCLRE1C,current_symbol,ORF,-0.7714,-1.9784,-4.1904,-2.3134,-1.9784,-2.3109,0.147,0.6787,DOWN
NHEJ,APLF,end processing,yes,no,1,1,C2orf13,synonym:C2orf13,ORF,,,0.8718,0.8718,0.8718,,,,NA
NHEJ,PNKP,end processing,yes,yes,1,3,PNKP,current_symbol,ORF,-0.6215,0.1375,2.2357,0.5839,0.1375,0.6833,0.5649,0.6787,UP
NHEJ,APTX,end processing,yes,yes,3,3,APTX,current_symbol,ORF,1.4436,0.7312,-0.5995,0.5251,0.7312,0.8770,0.473,0.6787,UP
