gene	direction	mt_ribo	min_patient_delta	max_patient_delta	GSE123902__n_units	GSE123902__n_high	GSE123902__n_low	GSE123902__patient_delta	GSE123902__sign_up	GSE123902__sign_down	GSE123902__cell_delta	GSE123902__auc	GSE123902__pct_high	GSE123902__pct_low	GSE123902__stat_up	GSE123902__cut_up	GSE123902__stat_down	GSE123902__cut_down	GSE131907__n_units	GSE131907__n_high	GSE131907__n_low	GSE131907__patient_delta	GSE131907__sign_up	GSE131907__sign_down	GSE131907__cell_delta	GSE131907__auc	GSE131907__pct_high	GSE131907__pct_low	GSE131907__stat_up	GSE131907__cut_up	GSE131907__stat_down	GSE131907__cut_down	GSE205335__n_units	GSE205335__n_high	GSE205335__n_low	GSE205335__patient_delta	GSE205335__sign_up	GSE205335__sign_down	GSE205335__cell_delta	GSE205335__auc	GSE205335__pct_high	GSE205335__pct_low	GSE205335__stat_up	GSE205335__cut_up	GSE205335__stat_down	GSE205335__cut_down	GSE189357__n_units	GSE189357__n_high	GSE189357__n_low	GSE189357__patient_delta	GSE189357__sign_up	GSE189357__sign_down	GSE189357__cell_delta	GSE189357__auc	GSE189357__pct_high	GSE189357__pct_low	GSE189357__stat_up	GSE189357__cut_up	GSE189357__stat_down	GSE189357__cut_down	GSE123902__wilcoxon_p	GSE131907__wilcoxon_p	GSE205335__wilcoxon_p	GSE189357__wilcoxon_p
ELF3	up	False	0.8424496	1.4920917	12	1167	1167	1.0413858	1.0	0.0	1.0111761861084876	0.8006775882615984	0.818337617823479	0.2262210796915167	1.1108640998045256e-194	1213	0.0001312021250336	17	19	6076	6076	0.8424496	1.0	0.0	0.6791515043090166	0.6791843582343638	0.8778801843317973	0.6973337722185649	3.9507354792284805e-229	7281	0.9687757148725684	5	21	7112	7112	1.0795051	1.0	0.0	0.7536280277936149	0.6756499791698563	0.672806524184477	0.3823115860517435	3.0857604020883717e-295	5280	0.5	7	9	3559	3559	1.4920917	1.0	0.0	1.4627218861509133	0.7977118506710743	0.8359089631919079	0.2629952233773532	0.0	3898	0.6875527018488587	4	0.000244140625	1.9073486328125e-06	4.76837158203125e-07	0.001953125
JUN	up	False	0.74316305	1.0379988	12	1167	1167	0.74316305	0.9166666666666666	0.0833333333333333	0.6561756812571627	0.6711420681127463	0.8414738646101114	0.4627249357326478	3.678220529830222e-86	1520	0.0525925574356256	39	19	6076	6076	0.8218249	1.0	0.0	0.5611115097680419	0.6479657658684532	0.8383805134957208	0.6787360105332455	4.836824843359251e-146	6350	0.9892831161988266	10	21	7112	7112	1.0379988	1.0	0.0	0.8512385179514717	0.6887539208751887	0.8922947131608548	0.625281214848144	2.317e-321	9921	0.1249736342543767	3	9	3559	3559	0.94509846	1.0	0.0	0.8755673343787862	0.6623325768222444	0.9089631919078393	0.701882551278449	1.662270141712413e-112	5733	0.0004845173614461	11	0.00048828125	1.9073486328125e-06	4.76837158203125e-07	0.001953125
SOX4	up	False	0.73117864	0.8983368	12	1167	1167	0.83216816	0.9166666666666666	0.0833333333333333	0.7962211470527856	0.7459848049290361	0.8286203941730934	0.3367609254498714	2.054436762813277e-136	1354	0.0349219927435892	8	19	6076	6076	0.73117864	1.0	0.0	0.4955417842932726	0.6287408808157892	0.7263001974983542	0.553982883475971	1.0108948016578308e-119	6782	0.5	1	21	7112	7112	0.7357482	1.0	0.0	0.5529399173061984	0.6394199912124314	0.8075084364454443	0.5559617547806525	1.0418157045937636e-232	9695	0.5	1	9	3559	3559	0.8983368	1.0	0.0	0.8423281236549491	0.6977747410665993	0.6448440573194718	0.2697386906434392	4.123249124036639e-227	3249	0.9271717930205836	12	0.00048828125	1.9073486328125e-06	4.76837158203125e-07	0.001953125
TACSTD2	up	False	0.7136954	1.3160949	12	1167	1167	0.77420187	0.9166666666666666	0.0833333333333333	0.750892476935986	0.7407391498132373	0.6203941730934018	0.1413881748071979	1.3758091149871468e-132	889	0.1441088620682539	8	19	6076	6076	0.7136954	1.0	0.0	0.651645222424767	0.6938848916576124	0.7857142857142857	0.554312047399605	3.962334593629747e-282	4847	0.9807592864637004	12	21	7112	7112	1.1394829	1.0	0.0	0.8552139552808959	0.691151028347975	0.6143138357705287	0.2876827896512935	0.0	5219	0.9999999708207218	25	9	3559	3559	1.3160949	1.0	0.0	1.2970950645028334	0.794030323023419	0.8019106490587243	0.2475414442259061	0.0	3733	0.9687938996934188	5	0.00048828125	1.9073486328125e-06	4.76837158203125e-07	0.001953125
MUC1	up	False	0.5660789	1.3192053	12	1167	1167	0.8043626	1.0	0.0	0.8801666267064086	0.7564001177775869	0.8234790059982862	0.2973436161096829	1.7157983721129465e-153	1306	0.2498928418345478	2	19	6076	6076	0.57872343	0.9473684210526316	0.0526315789473684	0.3786237977690101	0.6075130852952789	0.8438117182356814	0.706056616194865	6.546010465001022e-75	9417	0.5	1	21	7112	7112	0.5660789	1.0	0.0	0.3300830731316512	0.6139612001800534	0.4339145106861642	0.202052868391451	1.9288291853862093e-197	4520	0.0156085248851554	6	9	3559	3559	1.3192053	1.0	0.0	1.1268028513788533	0.7524793981848629	0.7319471761730824	0.2413599325653273	0.0	3462	0.2499648728396796	2	0.000244140625	3.814697265625e-06	4.76837158203125e-07	0.001953125
GPRC5A	up	False	0.554152	0.9446746	12	1167	1167	0.66262054	1.0	0.0	0.7162136985514993	0.7581858727106248	0.702656383890317	0.1876606683804627	9.79092717552602e-146	1029	0.0016684605751922	13	19	6076	6076	0.554152	1.0	0.0	0.3892423394437692	0.6283414526378837	0.6601382488479263	0.4629690585911784	8.481261622317785e-114	5462	0.7500205744383178	2	21	7112	7112	0.69903505	1.0	0.0	0.4917100297638613	0.6373873124021758	0.3775309336332958	0.1039088863892013	0.0	3424	0.8750263657456233	3	9	3559	3559	0.9446746	1.0	0.0	0.8288322358216874	0.7257010846185298	0.6611407698791796	0.1916268614779432	0.0	3035	0.5	3	0.000244140625	1.9073486328125e-06	4.76837158203125e-07	0.001953125
CLDN3	up	False	0.53503686	0.8108382	12	1167	1167	0.7194629	1.0	0.0	0.7428301310805215	0.7767597065546458	0.6760925449871465	0.117395029991431	2.686808005707075e-180	926	0.0036596956972901	18	19	6076	6076	0.53503686	1.0	0.0	0.4547814244018483	0.6481467762305075	0.7142857142857143	0.4950625411454905	1.193651377884096e-165	4107	0.9375308603873452	4	21	7112	7112	0.8108382	1.0	0.0	0.6177591692612392	0.6748817094572964	0.6383577052868391	0.3016029246344207	0.0	6685	0.9453742947120252	10	9	3559	3559	0.70726544	1.0	0.0	0.7773105897753874	0.7337357944957246	0.5841528519246979	0.1140769879179544	0.0	2483	0.8750526907404805	3	0.000244140625	1.9073486328125e-06	4.76837158203125e-07	0.001953125
ZFP36L1	up	False	0.52793664	0.7961137	12	1167	1167	0.6759724	0.9166666666666666	0.0833333333333333	0.5858043311819978	0.6880582778772719	0.7660668380462725	0.3813196229648671	5.63537078618572e-82	1334	0.1872319321954984	5	19	6076	6076	0.56102806	1.0	0.0	0.3317994408352569	0.5861497994895467	0.7806122448979592	0.640882159315339	4.320340875610608e-69	8316	0.5	5	21	7112	7112	0.52793664	0.9523809523809524	0.0476190476190476	0.4148447205703134	0.6272257570025345	0.5985658042744657	0.3572834645669291	2.4001024180678225e-184	6798	0.0478143735310613	44	9	3559	3559	0.7961137	1.0	0.0	0.8395743452078737	0.6881433762068565	0.8159595391964035	0.49255408822703	1.5327078281071857e-186	4656	0.9989720356854804	32	0.00048828125	1.9073486328125e-06	2.384185791015625e-06	0.001953125
KRT19	up	False	0.48409405	0.9689131	12	1167	1167	0.9689131	1.0	0.0	0.9591128919832188	0.7467326632346689	0.8723221936589546	0.4198800342759212	5.8611609803337925e-123	1492	0.9688838615113796	5	19	6076	6076	0.48409405	1.0	0.0	0.4428228090553028	0.608686083907113	0.9186965108624094	0.8418367346938775	3.68671590689131e-80	5521	0.5	1	21	7112	7112	0.925962	1.0	0.0	0.6242386380253555	0.6312196049136997	0.750421822272216	0.5276996625421823	6.699351084977213e-180	8558	0.3124736314733755	4	9	3559	3559	0.6584699	1.0	0.0	0.7115966445502095	0.6700114656943787	0.8238269176735038	0.5453779151447036	3.374520175014952e-146	4867	0.0012716016410613	20	0.000244140625	1.9073486328125e-06	4.76837158203125e-07	0.001953125
RHOB	up	False	0.47646412	0.92329925	12	1167	1167	0.65960526	0.9166666666666666	0.0833333333333333	0.5707755736859086	0.7135603562404865	0.7472150814053128	0.3170522707797772	3.2577431234357067e-100	1240	2.9166890541258088e-05	15	19	6076	6076	0.47646412	1.0	0.0	0.3471099974651748	0.6205255294901838	0.6394009216589862	0.4634628044766293	5.923542818381293e-123	5223	0.9955263944286692	34	21	7112	7112	0.70621634	1.0	0.0	0.4545290157424463	0.6478968276814104	0.639341957255343	0.3692350956130483	1.403783442821941e-230	7173	0.8868094013699618	11	9	3559	3559	0.92329925	1.0	0.0	1.0450602839556071	0.7187014293867413	0.8145546501826356	0.4256813711716774	1.691060750005812e-260	4411	0.9961091019374768	8	0.00048828125	1.9073486328125e-06	4.76837158203125e-07	0.001953125
