method	destination	rule	interaction_name	pathway_name	ligand	receptor	ligand_genes	receptor_genes	ligand_class	pair_origin	n_patients	n_cohorts	cohorts	median_delta	mean_delta	mean_score_high	mean_score_low	frac_detected_high	frac_detected_low	median_n_sender_high	median_n_receiver	pval	padj
cellchat	B	median	C3_CR2	COMPLEMENT	C3	CR2	C3	CR2	other	cellchatdb_v2	11	1	GSE241934_IIT	-0.05310147906350787	-0.04957737145735203	0.16877800987215968	0.2183553813295118	1.0	1.0	38.0	1142.0	0.013671875	0.036230468749999994
cellchat	B	median	TNFSF13_TNFRSF13B	APRIL	TNFSF13	TNFRSF13B	TNFSF13	TNFRSF13B	other	cellchatdb_v2	10	1	GSE241934_IIT	-0.047976709489449015	-0.04402103818366507	0.10434598373871325	0.14836702192237833	0.8	1.0	45.5	1038.5	0.009765625	0.02875434027777778
cellchat	B	median	SFTPD_ADGRE5	ADGRE	SFTPD	ADGRE5	SFTPD	ADGRE5	other	cellchatdb_v2	14	2	GSE131907,GSE241934_IIT	-0.02208816208994573	-0.04498018640783171	0.20844164443135513	0.2534218308391868	1.0	0.9285714285714286	73.5	1038.5	0.0494384765625	0.10301795372596154
cellchat	B	median	PPIA_BSG	CypA	PPIA	BSG	PPIA	BSG	other	cellchatdb_v2	25	2	GSE131907,GSE241934_IIT	-0.00734074651539085	-0.005219186573889221	0.5339253270707658	0.5391445136446549	1.0	1.0	129.0	648.0	0.03933870792388916	0.09065006608548372
cellchat	B	median	C4A_CR2	COMPLEMENT	C4A	CR2	C4A	CR2	other	cellchatdb_v2	6	1	GSE241934_IIT	-0.0013814986720735271	0.005602994676599489	0.018039616918824112	0.012436622242224624	0.6666666666666666	1.0	37.0	1351.0	1.0	1.0
cellchat	B	median	COL4A5_CD44	COLLAGEN	COL4A5	CD44	COL4A5	CD44	other	cellchatdb_v2	9	2	GSE131907,GSE241934_IIT	-0.0009754987145286647	0.01247118386188354	0.07539020600629465	0.06291902214441111	0.6666666666666666	1.0	53.0	935.0	0.91015625	0.9844547193877551
cellchat	B	median	TNFSF13B_TNFRSF13B	BAFF	TNFSF13B	TNFRSF13B	TNFSF13B	TNFRSF13B	other	cellchatdb_v2	9	2	GSE131907,GSE241934_IIT	-0.00017427908542184273	-0.03099612730280484	0.0028719527756252655	0.033868080078430104	0.6666666666666666	0.7777777777777778	109.0	176.0	0.49609375	0.6114643895348837
cellchat	B	median	COL9A3_SDC1	COLLAGEN	COL9A3	SDC1	COL9A3	SDC1	other	cellchatdb_v2	3	1	GSE131907	0.0	0.0016070860625724617	0.0016842370677234188	7.715100515095705e-05	0.6666666666666666	0.6666666666666666	109.0	70.0		
cellchat	B	median	CXCL9_CXCR3	CXCL	CXCL9	CXCR3	CXCL9	CXCR3	recruit	cellchatdb_v2	3	2	GSE131907,GSE241934_IIT	0.0	-0.0023566744815898184	5.9220130753166045e-05	0.0024158946123429845	0.3333333333333333	0.6666666666666666	31.0	1142.0		
cellchat	B	median	PTPRC_CD22	CD45	PTPRC	CD22	PTPRC	CD22	other	cellchatdb_v2	7	2	GSE131907,GSE241934_IIT	0.0	0.0007789343374552676	0.0027939577332749604	0.002015023395819693	0.7142857142857143	0.7142857142857143	109.0	176.0	1.0	1.0
cellchat	B	median	TNFSF13B_TNFRSF13C	BAFF	TNFSF13B	TNFRSF13C	TNFSF13B	TNFRSF13C	other	cellchatdb_v2	11	2	GSE131907,GSE241934_IIT	0.0	-0.024976454707530484	0.010410027085519552	0.03538648179305004	0.7272727272727273	0.6363636363636364	109.0	162.0	0.556640625	0.6431183510638298
cellchat	B	median	LPAR1_ADGRE5	ADGRE	LPAR1	ADGRE5	LPAR1	ADGRE5	other	cellchatdb_v2	7	2	GSE131907,GSE241934_IIT	1.5026202186218222e-05	-0.0005940172410540287	0.0006154071984296566	0.0012094244394836855	0.7142857142857143	0.42857142857142855	102.0	176.0	0.5625	0.6431183510638298
cellchat	B	median	CCL20_CCR6	CCL	CCL20	CCR6	CCL20	CCR6	other	cellchatdb_v2	9	2	GSE131907,GSE241934_IIT	7.911539364947461e-05	0.017096932506833643	0.060164537610558746	0.0430676051037251	0.8888888888888888	0.7777777777777778	91.0	1413.0	0.5703125	0.6431183510638298
