gene	present	set
Cldn4	TRUE	Cldn4
Cd3d	TRUE	T_NK
Cd3e	TRUE	T_NK
Cd3g	TRUE	T_NK
Cd2	TRUE	T_NK
Cd8a	TRUE	T_NK
Cd8b1	TRUE	T_NK
Cd4	TRUE	T_NK
Nkg7	TRUE	T_NK
Gzma	TRUE	T_NK
Gzmb	TRUE	T_NK
Prf1	TRUE	T_NK
Klrb1c	TRUE	T_NK
Ncr1	TRUE	T_NK
Klrd1	TRUE	T_NK
Klrc1	TRUE	T_NK
Ifng	TRUE	T_NK
Stat1	TRUE	IFN
Stat2	TRUE	IFN
Irf1	TRUE	IFN
Irf7	TRUE	IFN
Irf9	TRUE	IFN
Isg15	TRUE	IFN
Ifit1	TRUE	IFN
Ifit2	TRUE	IFN
Ifit3	TRUE	IFN
Mx1	TRUE	IFN
Oasl2	TRUE	IFN
Rsad2	TRUE	IFN
Ifih1	TRUE	IFN
Ddx58	TRUE	IFN
Ifnb1	TRUE	IFN
B2m	TRUE	MHC
H2-K1	TRUE	MHC
H2-D1	TRUE	MHC
H2-Q4	TRUE	MHC
H2-Q6	TRUE	MHC
H2-Q7	TRUE	MHC
H2-Aa	TRUE	MHC
H2-Ab1	TRUE	MHC
H2-Eb1	TRUE	MHC
Tap1	TRUE	MHC
Tap2	TRUE	MHC
Psmb8	TRUE	MHC
Psmb9	TRUE	MHC
Nlrc5	TRUE	MHC
Ciita	TRUE	MHC
Cldn1	TRUE	TJ
Cldn3	TRUE	TJ
Cldn7	TRUE	TJ
Cldn18	TRUE	TJ
Tjp1	TRUE	TJ
Tjp2	TRUE	TJ
Tjp3	TRUE	TJ
Ocln	TRUE	TJ
F11r	TRUE	TJ
Marveld2	TRUE	TJ
Marveld3	TRUE	TJ
Cgn	TRUE	TJ
Crb3	TRUE	TJ
Epcam	TRUE	lineage
Cdh1	TRUE	lineage
Krt8	TRUE	lineage
Krt18	TRUE	lineage
Krt19	TRUE	lineage
Sftpc	TRUE	lineage
Scgb1a1	TRUE	lineage
Ager	TRUE	lineage
Ptprc	TRUE	lineage
Stk11	TRUE	lineage
Tacstd2	TRUE	lineage
Nkx2-1	TRUE	lineage
